,Question,Answer
327204,"
   Сережа,как истинный импровизатор,вбрасывает шутейки😍😍
  ","
  Может идти к Серёже
  "
327205,"
   Что не сделаешь ради любви😹
  ","
  Хотя бы меня любят
  "
327206,"
   Ничего страшного, я твоя поклонница
  ","
  Ну ты и Арс, разве больше надо?
  "
327207,"
   Просто Арс восемьсот с фигом раз на тебя подписался и создал иллюзия 12-ти летний поклонниц 😹
  ","
  Ну или 3 тысячи раз
  "
327208,"
   У него нет поклонниц, просто Арса нет седня,сидим тут развлекаемся😀
  ","
  Обидно было
  "
327209,"
   Натрави еще на меня своих поклонниц
  ","
  Надо будет - натравлю
  "
327210,"
   А я нет(
  ","
  Ну бывает
  "
327211,"
   Это я написал про парня, галочку не снял
  ","
  Ну пиздец, ну Серый
  "
327212,"
   Всегда были. Только обычно мы тихо сидим, но уже и нас достали, если честно. 
Шутки шутками, я про Артон тоже пошутить люблю, но девушку то втягивать в это не надо.
  ","
  Я рад, что моя девушка под защитой
  "
327213,"
   Кто такая Маша? Ты же тоже знаешь, да?
  ","
  Вам же сказал Сережа, что не знает ее, зачем вот это начинать? Моему другу неприятно говорить, неприятно и читать, харош
  "
327214,"
   Так, Иру не трогать, она солнышко. А я за солнышко порву😑
  ","
  Ого, у нее защитники появились
  "
327215,"
   Потому что
  ","
  Блять, классный ответ, я запомню
  "
327216,"
   Или парень
  ","
  Ну зачем вы так про Иру?
  "
327217,"
   Идеальный ответ😹
  ","
  Лучше может только моя девушка
  "
327218,"
   Ты гей?
  ","
  Да
  
  Нет
  
  Не знаю
  "
327219,"
   Есть же видео из трансляции Сережи, где Сережа Арса хочет поцеловать. Так что не канон
  ","
  Всё, расходимся, Артон давно не канон
  "
327220,"
   Да, такие еще есть, не все мы еще с ума сошли 😆😆😆
  ","
  И я очень рад
  "
327221,"
   Арс секс-символ,зачем ему вы с вашей жухлой розочкой?😑
  ","
  Всё, отменяем Артон-канон
  "
327222,"
   Ну, у тебя то без проблем, а вот остальные ребята то постарше будут😆 ни на что не намекаю, но, как когда-то кто-то сказал, после 30 все еще так же хочется, но уже так не можется.
Так что тройничек все еще под вопросом😂
  ","
  Старперы все испортили
  "
327223,"
   Я просто не могу с тех, для кого это канон. То есть, именно в романтическом плане. Камон, ребята, мы все взрослые люди. Я понимаю, в нашем мире мы сейчас все опошляем, но блин мозги то нужно включать иногда. Химия между людьми естественна, тем более между актерами, зачем все в постель переносить ?
  ","
  Я люблю людей, которые видят в нас просто хороший дуэт. Для них важен юмор, важно то, что происходит на сцене. Для таких людей мы все работаем. Спасибо, что вы есть
  "
327224,"
   Арс просто очень просил
  ","
  Ну ради него можно
  "
327225,"
   Ну пожалуйста
  ","
  Вот кто-то фанфики пишет, мечтает, а тут Сережа сказал и всё , канон
  "
327226,"
   Артон канон
  ","
  Правда? Ну ладно
  "
327227,"
   Подкатывают😏
  ","
  Спасибо, автозамена. Теперь не нормальный ответ, а подкол
  "
327228,"
   Не, ну в таком возрасте еще без проблем вставать должно, вот дальше хуже будет 😂
  ","
  Тогда тройничку быть
  "
327229,"
   Вот чисто из любопытства. Вас с Арсом друзья и знакомые подкалывают на тему артона и фанатов? Не раз видела, что Димка подкалывал, а как насчет остальных ?
  ","
  Все, кому не лень подкатывают, но это даже не подколы, мы сами шутим на эту тему и любуемся на реакцию тех, для кого это канон
  "
327230,"
   Вот видишь. Не переживай. Все обязательно встанет
  ","
  Без твоей поддержки точно не встанет
  "
327231,"
   Вы ещё совсем юны,все обязательно встанет на место😊😊
  ","
  Ира, ты слышишь, всё наладится, вернись
  "
327232,"
   Почему тебя нельзя упоминать на Аске Сережи?
  ","
  Потому что он вредный
  "
327233,"
   Дотянул
  ","
  Даже девушка бросила
  "
327234,"
   Смотрите,чтоб не увяла😏😏
  ","
  Уже поздно
  "
327235,"
   Да куда ты вообще лезешь, девственник?
  ","
  Не для всех моя розочка цвела
  "
327236,"
   Правильно,Сергей мужчина опытный,а не ты,Антошка-ромашка
  ","
  Ну правильно, всего-то 27 лет прожил и ни капли опыта
  "
327237,"
   Главное это умение правильно вставить цветы в вазу
  ","
  Пришел тут со своими метафорами
  "
327238,"
   Зачем тратить деньги на цветы, если можно купить покушоть и разделить эти прекрасные минуты с любимым
  ","
  Потому что девушки хотят кушать и цветов. Просто запомните
  "
327239,"
   Вот лично мне такие букетики даже намного больше нравятся обычных роз😊 хоть розы тоже красивы, но это уже банально, а вот полевые цветочки-очень креативно
  ","
  Дело вкусов на самом деле. Кто-то любит ромашки, а кто-то 101 розу
  "
327240,"
   Ты правда считаешь что лучше подарить полевой букетик чем розы?
  ","
  Что плохого в полевых букетиках? Чем они уступают розам или другим цветам?
  "
327241,"
   чьи аски по-твоему интересны?
  ","

   @stnkvdr
  

   @kkeshchyan
  

   @clappkaterina
  

   @shaykir
  

   @evgenybad
  

  Обязательно зайдите каждому из них, почитайте их аски, задайте вопросы. Это мое вам домашнее задание
  "
327242,"
   При чем все вместе 😂
  ","
  Хорошие, однако, кусты
  "
327243,"
   А ты просто дай наводку на человечка,который этим занимается, так мы его доставать будем 🤣
  ","
  Директора канала ТНТ
  "
327244,"
   Видите вон те кусты?Так,вот там мы и сидим🧐
  ","
  Меня это уже пугает
  "
327245,"
   Ну дак правильно,ты говоришь о съемках,а зрители то хотят знать,когда по телевизору будет.Как я понимаю,еще не было тех выпусков,что вы в конце весны снимали.Люди интересуются,когда они выйдут,а то,что следующие будут сниматься осенью,мы уже поняли.Хотя,мне кажется,что этот вопрос вообще не к тебе)
  ","
  Правильно, этот вопрос вообще никаким боком не может задаваться именно мне, потому что не я решаю, когда, какие и что выйдет в эфир, особенно со мной не советуются и через меня это не проходит. Мое дело лишь сняться в выпусках
  "
327246,"
   Они таким образом хотят вычислить, в каком месте ты находишься, а вдруг не в Эстонии 🤣🤣🤣
  ","
  Слишком заигрались в Шерлоков, прекращайте
  "
327247,"
   Спасибо,что отвечаете практически на все вопросы.Это реально очень круто🖤🖤🖤
  ","
  Всегда пожалуйста, обращайтесь
  "
327248,"
   Антон, ну когда ты уже поймешь? Пока ты отдельно каждому не ответишь, никто не поймет. Разве не очевидно? А так, реально заебали.
  ","
  Я посчитал, 5 ответов вниз пролистать и там будет ответ про съёмки в сентябре. Вот
  "
327249,"
   Что за поза альфа-самца на главной?🙃
  ","
  Это моя обычная поза
  "
327250,"
   А когда выходит новый сезон Импровизации?
  ","
  Я повторяю уже раз 1000,я то съёмки будут ТОЛЬКО В СЕНТЯБРЯ
  "
327251,"
   Самый лучший совет в мире😹
  ","
  Открываю людям возможности гугла
  "
327252,"
   Но у нас с тобой разные часовые пояса!
  ","
  Прикиньте, в интернете можно загуглить время в разных уголках мира. Пользуйтесь, не благодарите
  "
327253,"
   Сколько времени?
  ","
  Посмотрите на часах
  "
327254,"
   Антоха,как дела в ""Импровизации""? Паше Привет!
  ","
  Я не знаю, как там дела, встретимся на съёмках только в сентябре
  "
327255,"
   На что у тебя аллергия?
  ","
  Крупы. Особенно на рис
  "
327256,"
   Мне прошлое больше нравится 🙈😂😅
  ","
  Она меня уже напрягать начинала
  "
327257,"
   Арс фоткал?)
  ","
  Опять исподтишка
  "
327258,"
   Фотка огоньь🤩
  ","
  Теперь всех главное фото устраивает?
  "
327259,"
   Почему на Импре вы именно так сидите?Вас рассадили так?
  ","
  Двое высоких по бокам и двое низких посередине. Так повелось с первых выпусков , так и осталось до сих пор
  "
327260,"
   Назови несколько фильмок которые нужно посмотреть каждому?
  ","
  Вот это как раз таки запрос для Гугла. Я не знаю, какие фильмы должны посмотреть именно вы, потому что какие-то фильмы могут зайти, какие-то нет. Выбирайте для себя сами
  "
327261,"
   Когда снимаете с баду есть чувство неловкости?
  ","
  А почему оно должно быть? Я снимаюсь в проекте со своими друзьями и это даже прикольно
  "
327262,"
   Вы там горячи,как ад?А то смысл смотреть😏
  ","
  Судите сами
  

   https://m.youtube.com/watch?v=DHDsWf8lC7g
  






















"
327263,"
   Антон,голова,как картон
  ","
  Да, есть такое
  
  Вы, кстати, уже в курсе, что вышла 3 серия нашего онлайн сериала для Badoo?
  "
327264,"
   Подписалась 💕
  ","
  Аннет, пиарю как могу. Не пройдите мимо актрисы, которая была у нас в гостях на шоу
  "
