,Question,Answer
182376,"
   رئيكم فى اخر انسر شعرى عن قدس
  ","

   @abdallahalhidy
  
  رأيك بهمنا 😂
  "
182377,"
   الحياه رائعه. يا رب تدوم الايام الحلوه علينا وعليكم 😊😊😊😊
  ","

   يربي 👐👐
  
"
182378,"
   ﺍﻧﺸﺮﻫﺎﺑﻘﺪﺭ ﺣﺒﻚ ﻟﻠﻘﺮﺁﻥ ! ﷽.﴿.ﻗُﻞ.ﻫُﻮَ.ﺍﻟﻠَّﻪُ.ﺃَﺣَﺪٌ.۞ﺍﻟﻠﻪُ.ﺍﻟﺼَّﻤَﺪُ.۞.ﻟَﻢْ.ﻳَﻠِﺪْ.ﻭَﻟَﻢْ.ﻳُﻮﻟَﺪْ.۞.ﻭَﻟَﻢْ.ﻳَﻜُﻦ.ﻟَّﻪُ.ﻛُﻔُﻮًﺍ.ﺃَﺣَﺪ.﴾.. ﺗﺨﻴﻞ ﻳﻮﻡ ﺍﻟﻘﻴﺎﻣﻪ ﺗﻘﻮﻝ ﻳﺎﻟﻴﺘﻨﻲ ﺍﺭﺳﻠﺘﻬﺎ
  ","

   لا اله الا الله
  
"
182379,"
   الله يسعد هل مسا👍👍✌👋
  ","

   صباحوو
  
"
182380,"
   Ggood morning💙check my last answer💙if u want💙
  ","
  Morning 💚
  "
182381,"
   - في #ناآس حطيتهم ع #العين_والرآس 

بس طلعو #بخافو الآماكن #العالية'ة 

فورآ نزلو #لتحت  -,-
صباح الخير
  ","

   صباحو
  
"
182382,"
   صبحو دكتورة
  ","

   صباحو
  
"
182383,"
   ابكتني غيرتي عليك سراااااا
فهل اذنبت حين عشقتك حد الألم😖😖
.....
يسعد صباحكوااا
  ","

   صباحكك
  
"
182384,"
   وَقْتّ آلقَلّب بِيْنّجِرّحح ... 💔
آلعَقِلّ بِيفّقَد تَرْگيزّوو 😔 
يسعد صباحكم
  ","

   وصباحكك
  
"
182385,"
   اكثر لهجه بتحبيها من اللهجات العربيه بعد لهجيتك 😏😏😏
انا بحب الجزائريه 😍😍😍
  ","

   لبنانية😍
  
"
182386,"
   .                    و آن سـآلوڪ عـن نعـيم الـجنۃ
.              ف قل فيـهآ #رسـول_الـله وڪـفى..😍❤!

.                          ﷺ❤#םבםב❤ﷺ
اللهم ما صلي عليك يا نبي
  ","

   اللهم صل وسلم وبارك عليه 💚
  
"
182387,"
   عندك فوبيا من ايه ؟ وليه اعتبرتها فوبيا !؟
  ","

   ما عندي
  
"
182388,"
   gud morning have a nice day
  ","
  Morning Bb💕
  "
182389,"
   good morning😍😍

happy day♡♡
  ","
  Morning💚
  "
182390,"
   من وين من جنين ؟
  ","
  ....
  "
182391,"
   كلام كبير  ومأثر .. بس اعتقد  انه بما انه فش علاقة شرعية وفش اشي رسمي الثنين بتعاقبوا لانه من بني على باطل فهو باطل .. والله اعلم
  ","

   @koko179
  
  احم احم
  "
182392,"
   رئيك فى اخر انسر عندى
  ","

   @abdallahalhidy
  
  احكيلو رايك😭😭😭😭
  "
182393,"
   كلمة ،اغنية ،صورة ... اي شي 😍😍
  ","

   فوق النخل فووووق يبا فوق النخل فوووق 💕
   
   يبا فوق النخل فوق ❤💚
   
   مدري لمع خدا يبا مدري القمر فوووق😍😍
  
"
182394,"
   ولما تحس بالكآبة .. و تدور عسعادتك وما تلاقيها ~ 
حاول تعمل شي حلو لغيرك ..
صدقني #السعادة_بتعدي
#جربها
#k1k_96
  ","
  😊
  "
182395,"
   وقد يأتي الابتلاء على هيئتي,,
  ","

   للأسف..
  
"
