,Question,Answer
632952,"
   How do I get ur looks?
  ","
  I ask lana del rey the same thing
  "
632953,"
   when the cute guy you met has a girlfriend ummm booow
  ","
  happens WAY too often and then i become a homewrecker.
  "
632954,"
   Fave boys on here?
  ","
  Guys, i need to rant. I really fucked up like omfg im so pissed at myself. Ok so like there was this guy who was SUPER into me. And like he was really nice, super sweet, like all around great to me. But then i learned hes very VERY Jewish. And like my mom was all chill with it but the rest of my family made fun of me, kinda werent too thrilled. NOW i just found out, hes rich as shit, like RICH and he just started his own real estate company. God fuckin fuck ass bitch. WHYD I LET THAT ONE SLIP?
  "
632955,"
   What is the most popular sport in your country?
  ","
  Its either Baseball, Basketball, or Football
  "
632956,"
   Last time you had sex
  ","
  Ive answered this 100000 times.
  
  666 B.C.
  "
632957,"
   How was your day
  ","
  I had a pretty good day ?
  "
632958,"
   I've been following you for a while. Seem legit. And your interest in Trailer Park Boys <3
  ","
  Omg ? thank you so much!! People like you keep me coming on ask ? & TPB is the best thing in life ?
  "
632959,"
   I ask random or silly questions normally
  ","
  Oh, thats fine ? keep askin them
  "
632960,"
   Leedle Leedle
  ","
  Louuu
  "
632961,"
   Are you left haned or right handed
  ","
  Right handed✍
  "
632962,"
   1. Ever Smoked Weed, 2 Ever been arrested 3. Ever had a car crash 4. Ever had Sex 5. Ever had a speeding ticket 6. Got a tattoo 7. Ever shot a gun
  ","
  1. Yes
  
  2. Ive been almost arrested lol
  
  3. No
  
  4. Yes
  
  5. No
  
  6. Yes
  
  7. Yes
  "
632963,"
   @ (recent don't hate me please....)
  ","
  Youre very nice, we've only talked a little but i think youre a sweetie ??
  "
632964,"
   I ask 2-3  daily questions to everyone on here do you still want them or should I unfollow you
  ","
  I think i want the questions lol idk what type of questions you ask
  "
632965,"
   This woman said she wants Death Metal banned, what's your opinion on this?
  ","
  The amount of times i have to block egghead Ben, is annoying.
  "
632966,"
   Are you an aunt
  ","
  Yes i am, to this cutie
  "
632967,"
   Sorry to bug but I'm bored beyond relief. Send your followers this way for Honesty Night??
  ","
  EVERYBODY SEND THIS LOVELY QUESTIONS ??
  "
632968,"
   What are the qualities you like about your best friend?
  ","
  Makes me laugh, like constantly. I cant be friends with someone who isnt super funny! Lol
  "
632969,"
   Been busy all day
  ","
  Thats a good thing tho!
  "
632970,"
   Do you make sacrifices for the people around you or do they make sacrifices for you ?
  ","
  Omg
  
   @CelineM96
  
  i thought of you
  "
632971,"
   Hey u
  ","
  My lap kitty?
  "
632972,"
   If you cold meet your ancestors for a day and say anything to them what would you say and what would be your reaction ?
  ","
  I would still marry you, jimmy ?
  "
632973,"
   ""what is the point of being alive if you don't at least try to do something remarkable?""
 -- John Green ?
  ","
  OMG YASS FINALLY. Amen ?
  "
632974,"
   Worst date you've ever been on?
  ","
  God i love him ??
  "
632975,"
   In the movie 10 Cloverfield Lane there is a scene where John Goodman twerks. xD lol
  ","
  Twerk team ?
  "
632976,"
   What hairstyle do you find most attractive, if any, on yourself? What's your favourite hairstyle on people of the opposite sex (or whichever sex you prefer)? Post pictures, if you wish!
  ","
  Myself; long layers & i want to dye my hair black or grey.
  
  Opposite sex: i like gentlemen cuts. I think its super cute when a guy can tie the top of their hair in a little bun. Lol but most gentlemen cuts are the best
  "
632977,"
   Why are so many people drawn into electronics ? Do you agree that we need find better ways to use our time ?
  ","
  I try to do other things with my day then spend my whole day with technology. Ive noticed a lot of people stopped hanging out with people in real life and rather spend their time on social media talking to people online.. and it makes me really sad. I used to be around people so much and never used social media and im really depressed since i cant go and hang out with my friends since i moved from them and thats why im going back. I should be going out instead of being on my phone. Thats why whenever i traveled somewhere, i do not come on any social media.
  "
632978,"
   Lit! Try eating cookies and ice cream, that'll do tha trick. Oh dayum, your anons. I wanna borrow your anons Lol
  ","
  TAKE THEM PLEASE
  "
632979,"
   So, how did the cookie bakin go? Lol
  ","
  THEY CAME OUT SO GOOD. Omfg sooo yummy. Ive eaten way too many ☹
  "
632980,"
   If you an animal that you would find in the zoo would you rather be in the zoo or the wild and why
  ","
  Ok this is the way i think about it;
  
  Would i rather be in my perfect habitat with enough psychological stimuli for me so i wont go insane. Some two legged creature always feeds me all the food i want, and cleans up my poop.
  
  OR would i rather be back in the food chain. Have to hunt for my food, while being hunted. Constantly in worry that ill be someone elses dinner. And not live as long as i probably should..
  
  Hmmmm, id rather live like a lazy fuck in a zoo.
  "
632981,"
   Describe what it takes to be a perfect and decent role model ?
  ","
  I swear
  
   @Pookeo9
  
  &
  
   @CelineM96
  
  more people need to think like you. ?
  "
632982,"
   Is there anyone you have a hard time being nice to?
  ","
  Yeah, my anons make me wanna give them cyanide.
  
  Then theres people on my feed that just make me hdjsksljdjdkdmd like jesus SHUT UP FOR ONCE. Like theres nothing i can do to get them off my feed.
  "
632983,"
   So my uncle is going to have a baby son born in a few weeks. His only 48 years old, do you think this is a bad age to have a kid ? I need an opinion
  ","
  Awh, yay congratulations to your uncle ??
  "
632984,"
   Most humiliating experience if your life ?
  ","
  Why would i remember a humiliating experience?
  "
632985,"
   No I don't want to come along with you. Im gonna be honest with you. I dont want to be involved in anything you're talking about, okay? I just want to run a square joint. I just want my license & I want everything to be nice & quiet. Thats it.
  ","
  I dont know what youre talking about, and i really do not care lol
  "
632986,"
   What kind of relationship do you want to have with your family ? Have things gotten better with your family or have things gotten worse ?
  ","
  I want the relationship i already have lol and it just gets better and better ?
  "
632987,"
   Why although we are real powerful men
  ","
  Are you telling me that, or trying to tell yourself?
  "
632988,"
   Dirty onion ring bastard randy
  ","
  Popsicle eating hippopotamus
  "
632989,"
   The liquor wants to speak to you Randy
  ","
  I am the liquor
  "
632990,"
   My 2 friends got to meet mr lahey in Mahoney bay and got pics sticking up the finger with him
  ","
  Omg. I wanna meet him so bad. Id say i would love to get some drink with him but he doesnt drink ahahah
  "
632991,"
   I miss you everyday
  ","
  Awwwh! I miss you ? what have you been up to today
  "
632992,"
   What's your favorite flavor of bubble gum?
  ","
  * just to let everyone know, i have a lot of messages and questions. I will do my very best to reply!
  "
632993,"
   So you think after life is real
  ","
  No, i think the possibility is real lol i like to pretend. But what religion thinks after life is does NOT sound like a good time and i rather make up my own.
  "
632994,"
   Tpb is the best thing in my province
  ","
  Its the best thing thats ever existed. I WANT TO MEET THEM SO BAD.
  "
632995,"
   Do you belive in past life and after life
  ","
  I like to pretend ive had a past life and i like to think after life isnt what we think it is, i like to think you go to a judgment where some extraterrestrial tells whether we lived a good life or a bad life - then tell us if were gonna be born to be someone better or be born as a goddamn ant and have to start over again ? OR its like the matrix and when we die we just wake up somewhere where we were just in our heads and none of it was real. lol
  "
632996,"
   Randy bobandy
  ","
  Frick off Randy
  "
632997,"
   What's your favorite booze?
  ","
  I love vodka and ive gotten a new taste for tequila ?
  "
632998,"
   Are you a people person ? Or shy generally ?
  ","
  I love people, put a little booze in me and we will be friends
  "
632999,"
   When people make mistakes do you forgive then right away or does it take you a while ?
  ","
  If they come back and apologize ill forgive them.
  "
633000,"
   What is your opinion about same gender relationships?
  ","
  Love is love.
  
  Love is freedom.
  
  We should have freedom in choosing who we love.
  "
633001,"
   Ever pee outside ?
  ","
  Yes lol when you gotta go you gotta go & ive gone backpacking a lot.
  "
633002,"
   Do you ever catch your brain having schizophrenic thoughts?
  ","
  No, cause that would mean I'm schizophrenic
  "
633003,"
   If slavery bothers you so much, what are you doing for the people in the world who are still slaves today, like the children in east Asian sweatshops who make your electronics and clothes?
  ","
  Do you realize how different the laws are in those countries? All our greatest achievements have been from slavery. My best friends dad owns 4 sweatshops lol slavery will always be around. Technically people who are religious are slaves to whomever they believe in, they are subservient. It doesnt bother me that much, just bothers me when people who own slaves tell people we are all equal.
  "
633004,"
   Omfg you like trailer park boys too?
  ","
  I love them ? so much
  "
633005,"
   Why is it that when girls are upset they usually flip their hair and walk away ?
  ","
  Dramatic effect
  "
633006,"
   What questions do you prefer ?
  ","
  Im trying to find cookie recipes, cause i want cookies haha
  "
633007,"
   What makes you who you are?
  ","
  My past experiences
  "
633008,"
   What is the movie riverdale about ?
  ","
  Who the fuck eats and doesnt pay attention to what their tasting, like dont ruin the beauty of eating.
  "
633009,"
   Do you sometimes hate talking to random people ?
  ","
  Yeah, especially when they are needy asf like bro I DONT KNOW YOU, LEAVE.
  "
633010,"
   Who is your least favorite relative?
  ","
  My psychopathic uncle
  "
633011,"
   I'm a girl and I think I'm in love with you. Can we .. make out?
  ","
  Awh, thats cute but no we cannot make out ?
  "
633012,"
   You from California?
  ","
  I am indeed ?
  "
633013,"
   Do you have snapchat?If so do you get a lot of trolls sending you weird things?
  ","
  I do have snapchat, but i dont give out my snap to randoms for that exact reason lol
  "
633014,"
   What interests you that others find dull?
  ","
  Secret societies, secret government, conspiracies. I just want the truth, while everyone else rather live blind.
  "
633015,"
   Have you ever failed an exam in school so badly that you had to retake it and then still failed it again ?
  ","
  Yes ive failed a test badly, but when i retook it i didnt fail again ?
  "
633016,"
   have you experience to talked to a guy through social media and meet him in person?
  ","
  Wait,
  
   @Pookeo9
  
  the way their pupils move IS NOT normal
  "
633017,"
   Which part of day is the most productive for you?
  ","
  My foot is asleep, i hate when my foot falls asleep.
  "
633018,"
   Have you ever met someone in real life through social media?
  ","

   @Pookeo9
  
  i lost 2 followers as well. It just means we are way too cool and they dont know what to do ?
  "
633019,"
   So today I won't be asking a hard question because I'm just super tired, but I'm looking for some good Hip-Hop, Trap, EDM, etc songs for my run. So take this question as an opportunity to impress me with the most lit song  you have on your playlist
  ","
  •Trap on acid - RL Grime
  
  • Faded - Zhu
  
  • Tonight we're kids again - Dada Life
  
  • Walk that Talk - Dr. Fresch
  
  • Windows ft. Rick ro$$
  
  • House Work
  
  • Paris - $uicideboy$
  
  • Thief - ookay
  
  • Ultimate - Denzel Curry
  "
633020,"
   Have you ever met someone in real life through social media?
  ","
  Yes i have, like a lot of people ?
  "
633021,"
   If you could meet any two people in person right now who would it be ?
  ","
  Hmmm, tough question.
  
  • George Carlin
  
  • Michael Jackson
  "
633022,"
   Mom
  ","
  KARI? hey, how are you today?!
  "
633023,"
   As a new iPhone user what does Low Power Mode do ?
  ","

   @Pookeo9
  
  DUUUUUUUDE i swear nobody on this site understands me like the way you do like omggggg. You need to stop leaving meee lol. How are you tho?!
  "
633024,"
   A guy who smokes cigarettes: is that a turn on or a turn off for you ?
  ","
  A turn off but I have a lot of friends who still smoke cigarettes. And im always like, ""why why why?"" But thats pretty much it. Its one of those things where i think if you want to ruin your lungs for no goddamn reason, have at it. Just dont be giving me second hand smoke. I dont wanna ruin my lungs with ya.
  "
633025,"
   Tell me one wish thats on your mind?
  ","
  I FUCKIN MISSED YOU
  
   @Pookeo9
  
"
633026,"
   have you ever just like had a day where you wanted to cry all day
  ","
  Ugh, yes. Really not a high point in my life.
  "
