,Question,Answer
321840,"
   Класс,за сутки больше 100 постов у тебя вышло!!#Активживи
  ","
  Ну всё благодаря людям, которые пишут
  "
321841,"
   Я знаю,как.Если позовут ещё,озвучивай дальше.Хоть один,да поймаю
  ","
  Если позовут, то я подумаю
  "
321842,"
   Я все никак не могу посмотреть мультик с твоей озвучкой.У нас в кино его не было,а в инете найти не могу.Ждал 2 месяца.
  ","
  Я даже не знаю, чем помочь в данной ситуации
  "
321843,"
   Антон просто с подростками на одной волне😉к тому же,Ира за психологию шарит
  ","
  Как говорят, я остановился в подростковом возрасте
  "
321844,"
   А что вы в офисе в свободное от съёмок время делаете?Что-то новое пытаете придумать,монтируете или как?
  ","
  Обычно снимаем какие-то штуки, разминаемся в импровизации, думаем над новыми прикольными играми. Но в основном мы там снимаем что-то прикольное на разные ютуб каналы и не только
  "
321845,"
   Как думаешь, какой средний возраст твоих подписчиков во всех соцсетях?
  ","
  Да в основном подростки
  "
321846,"
   Чем занимаетесь на карантине?
  ","
  Сидим в аске, гуляем с друзьями. Я всё ещё работаю в офисе время от времени. Ира занимается домом
  "
321847,"
   Ты долго можешь терпеть или быстро вспыхиваешь?
  ","
  Я вообще очень терпеливый по натуре. Не люблю конфликты, ссоры, споры. Но если уж получилось, что меня разозлили, тогда я не скоро успокаиваюсь
  "
321848,"
   А сейчас другим занимается?
  ","
  Почти что тем же самым
  "
321849,"
   Хоть кому-то диплом пригодился в жизни😂
  ","
  Ну она действительно работала в Воронеже по специальности
  "
321850,"
   Ира случайно не психолог?
  ","
  Нет, Ира закончила универ на специальность работы с персоналом, как-то так
  "
321851,"
   О чем поговорим?
  ","
  Нам без разницы, предлагайте темы, которые вас волнуют
  "
321852,"
   Кстати, когда и почему начал курить?
  ","
  Просто захотелось и начал курить лет в 18
  "
321853,"
   Ну, если не устали, то с удовольствием) Я уже не так стесняюсь, поэтому делаю деанон)
  ","
  Кароче, появится тема, то пишите
  "
321854,"
   Дико захотелось поговорить с Ирой)
  ","
  Вы пишите, по ому что она рядом, могу писать и ее мнение в том числе. Или она его будет вписывать
  "
321855,"
   Ира права на 100%. Был печальный опыт, когда мне дико хотелось отношений, потому что тупо не хватало заботы
  ","
  Ира просто шарит за такие темы
  "
321856,"
   Господи, как же я люблю такие дискуссии, реально интересно бывает и почитать и написать своё видение. Кстати,  кто-то может прочитать и одуматься, это ещё лучше) В общем, Антон, ты реально молодец, мое уважение🥰
  ","
  Мы с Ирой сидим и прям вдвоём кайфуем от того, что есть над чем подумать
  "
