,Question,Answer
332568,"
   Тоша, ты живой?
  ","
  Живой. И снова, как летом, возвращаю актив, помогайте
  "
332569,"
   Можно вопрос? Это розыгрыш или правда по поводу ""Холостяка""?
  ","
  Ну, увидите в новом сезоне, правда или нет
  "
332570,"
   Девушка есть?
  ","
  Есть
  "
332571,"
   Как дела с Ирочкой?
  ","
  Всё классно
  "
332572,"
   Антош,готов к новому туру?
  ","
  Готов
  "
332573,"
   В последнем выпуске ты был просто бесподобен!
  ","
  Спасибо)
  "
332574,"
   К примеру? Что они тебе сделали?
  ","
  Например
  "
332575,"
   Хотела проверить что это 😂 сорри
  ","
  Я до сих пор не понял штуку обновления, я просто рачок
  "
332576,"
   Носочки ночью греют ножки?
  ","
  Тут такое дело, есть люди, на которых нужно накидать жалобу
  "
332577,"
   Reb
  ","
  Чё так сложно стало на аске?
  "
332578,"
   Какой вкус попкорна нравится?
  ","
  Карамель и ягодный
  "
332579,"
   5 фактов о том, кто нравится / о себе / о том, кто выводит тебя из себя 😏
  ","
  Шо цэ такое
  "
332580,"
   Какой у тебя рост? Сколько лет? Как родные называют тебя? Где гуляешь? Как называют друзья? Что хочешь в этом месяце чтобы сбылось?
  ","
  .....
  
  Уже так много раз отвечал на это
  "
332581,"
   Блинчики или вафли?🍯
  ","
  Пицца
  "
332582,"
   Что в жизни мы делаем недостаточно?
  ","
  Аск обновился. Я тупой. Шо цэ такое
  "
332583,"
   У тебя осталась тяга к самосовершенствованию или уже для себя все достиг? Этап саморазвития сейчас? Прости, много вопросов, но интерес играет свое)
  ","
  Тяга есть, но сила тяжести тянет вниз
  "
332584,"
   Ты вредный?)
  ","
  не знаю
  "
332585,"
   От чего ревнуют люди?
  ","
  От неуверенности как в себе, так и в окружающих
  "
332586,"
   Какие книги читаешь?
  ","
  Книги читает только Поз
  "
332587,"
   Как у вас с Арсением ?💕
  ","
  Убейтесь просто с такими вопросами
  "
332588,"
   Антош, какие у тебя прозвища(кроме Шаст)есть?
  ","
  Каланча
  "
332589,"
   Каких компьютерных игр тебе не хватает?
  ","

   @popovarseniy
  
  снова начинает отвечать на своем аске
  "
