,Question,Answer
139464,"
   Am I the only one who is most comfortable and gets the best sleep when the fan is on high and the AC is on low (66° is perfect) and I'm wrapped in my big blanket?
  ","
  I keep my house 68 degrees and I often kick off all of the blankets because of hot flashes at night
  "
139465,"
   What's your favorite juice? 🧃 Do you ever go for something more ""exotic"" than regular orange juice? 🍍🍎🍋🍌🍒🍐
  ","
  cran-grape or cran-tangerine
  "
139466,"
   How expressive would you say you are when it comes to your body language? Could someone easily tell how you're feeling without you having to saying so? 😊🤩😎😱😒😡😭
  ","
  I am very expressive.
  "
139467,"
   short-term VS long-term goals?
  ","
  short term- get covid tested, feel better
  
  long term- sell more art
  "
139468,"
   What have you learned from your mistakes, if there's any?
  ","
  I learned to watch for toxic warning signs
  "
139469,"
   How do you behave when among new people? Do you try to find a common ground with them or do you keep your distance trying to figure out if these people are your type and only then start a conversation?
  ","
  I can be stand-offish or I can be outgoing. It depends on the energy.
  "
139470,"
   Do you judge people based on their political beliefs?
  ","
  yes
  "
139471,"
   private or public transportation? which on do you prefer to use?
  ","
  I prefer to use private
  "
139472,"
   What are your plans for Thanksgiving?
  ","
  we have a nice meal but don't really celebrate more than that. We plan on calling our families and eating a big seafood feast. I have scallops, shrimp, lobster-stuffed sole and then veggies and stuffing and pie
  "
139473,"
   Have you ever been sleepwalking or done anything else in your sleep? 😴🚶‍♂️
  ","
  I used to be a really awful sleepwalker, like, leave my house and go places sleepwalking. I woke up in a construction site once, on an ocean pier once, halfway across the bridge to the next town once
  "
139474,"
   Do you think that aliens exist? 👽
  ","
  maybe
  "
139475,"
   Why did you start an ASKfm account? What made it interesting for you? 🔥
  ","
  some folks in my industry were using it at the time and it seemed cool. They all left. I stayed because I find it entertaining to answer questions
  "
139476,"
   Can we safely assume all white thanksgivings are bound to have less flavor?
  ","
  I mean, mine will be good
  "
139477,"
   What’s the difference between white and black thanksgivings ?
  ","
  the quality of the food
  "
139478,"
   What is a “Karen” to u
  ","
  someone who uses their privilege to demand special treatment
  "
139479,"
   Have you ever locked yourself out of the house?
  ","
  yes so I climbed a fence and opened a back kitchen window and shimmied through
  "
139480,"
   What’s the best fake song? Like a song that exists in the world of a show/movie but not our world
  ","
  that freddy kreuger song where it's like ""one, two, Freddy's coming for you, three four, better lock your door etc""
  "
139481,"
   Do you think you have a pretty good WORK-LIFE / STUDY-LIFE balance? Why or why not?
  ","
  I only work between 1 and 3 hours a day so I think I'm doing pretty good balance-wise
  "
139482,"
   What is the strangest way you have broken something?
  ","
  I was recovering from foot surgery and wearing one of those support boots, so I could still get around and I was on my way into a pot dispensary and tripped over my own foot and fell and broke my elbow but didn't realize it so I still bought like an ounce and went home before I realized maybe my arm was broken
  "
139483,"
   Good luck
  ","
  thanks homie
  "
139484,"
   I just got out of quarantine myself. I hope you’re ok.
  ","
  thanks. I feel awful BUT I'm breathing fine so I'll probably be fine.
  "
139485,"
   Which celebrity would you like to be for one day and what would you do?
  ","
  so I am quarantined with covid symptoms, I get tested tomorrow
  "
139486,"
   What is your favorite month of the year?✨
  ","
  October
  "
139487,"
   There's a say ""What you don't know, won't hurt you'. Do you agree that sometimes it's better to just not know? BQ: Do you prefer a painful truth or a sweet lie?
  ","
  I'd rather know.
  "
139488,"
   My sister (23) is 4 months pregnant and she didn't quit smoking cigarettes. I visited her today and she was with a friend, I know for certain they smoked and drank, I saw the half empty bottles. She doesn't live with us, she lives with her partner. Should I tell my mother about it to handle her?
  ","
  your mother doesn't need to ""handle"" an adult. Just mind your business she knows the risk.
  "
139489,"
   Do you like Instagram as it is now with the button for video reels at the bottom and the shop button at the bottom on the right of reels?
  ","
  no. I don't care about reels, I don't care about the shop, the add button isn't convenient anymore, and they took away collages too
  "
139490,"
   Why so sad?
  ","
  I'm almost never sad
  "
139491,"
   • DEJA-VU: is there anything to it or merely coincidence? 🤔
  ","
  There's probably an explanation though I don't know what it is
  "
139492,"
   What’s the most amazing true story you’ve heard in real life?
  ","
  my partner just told me this awful story about a woman who ate 5 day old sushi from a gas station and had a giant tapeworm undetected for 9 months
  "
139493,"
   What's your favorite things to eat during Thanksgiving and if you don't celebrate Thanksgiving with your favorite thing to eat during a feast or get-together / event?
  ","
  stuffing probably
  "
139494,"
   Have you ever been in a log cabin before?
  ","
  yes, my mother in law lives in one
  "
139495,"
   Do you like jelly beans? Of you do which is your favorite? 
Mines the popcorn flavored ones!
  ","
  I used to like them before my tastes changed and I stopped caring for sweets. My favorites were the black ones.
  "
139496,"
   Is anyone up for playing Among Us together? It's free and cross platform. For those that don't know of it, it's a game where there's at least one imposter(killer) amongst our group and we need to find out who and finish tasks before we're all dead.
  ","
  it looks like a fun game but I don't really play anything so I won't be joining but I hope you get a good group together
  "
139497,"
   Ever fantasize about being in a rock band? What would your group be called? 🎸🥁🎙🎸🎶
  ","
  I was very briefly in a noise band in highschool called, regrettably, ""Ol Mama Crack Fiend""
  
  it was mostly a joke but we made our own instruments in welding class
  "
139498,"
   Name two things you like to do at the state fair?
  ","
  eat a fried thing
  
  pet the bunnies
  "
139499,"
   May Christmas decorations na ba kayo? [Do you already have Christmas Decorations?] 🎄🎁
  ","
  we put lights up outside on both porches but we're not doing trees in side this year because of a new kitten who gets into everything
  "
139500,"
   Would you rathertake a pill a day for nutrients and to feel full, but never eat anything again or eat whatever you want but never really feel full?
  ","
  I guess the pill but I would really miss food
  "
139501,"
   What are the top three things on your bucket list?
  ","
  visit all of the states, live to be 100, be as healthy as possible
  "
139502,"
   What’s the strangest dream you’ve had recently?
  ","
  last night I dreamed I woke up and a creepy man with a too big pointy tooth grin had my kitten and was going to take him but then I woke up for real and me and the kitty were curled up together safe
  "
139503,"
   Whose opinion is more important to you — your loved ones’ or that of other people?
  ","
  my loved ones
  "
139504,"
   I think I'm in love with you. Is that okay? 🥺
  ","
  I am married and I'm not interested in anyone else so I mean, sucks for you
  "
139505,"
   are there any reality tv shows you like?
  ","
  I never watch any so I don't even know what's out there but I did like flavor of love back in the day
  "
139506,"
   When people talk about the statistic that 55% of white women voted for Trump, like what are we supposed to do with that information?
  ","
  you are supposed to do better
  "
139507,"
   If you could eat only one flavor of ice cream, which would it be? If you could only drink one brand of liquor, which would it be?
  ","
  I haven't even wanted ice cream in months but probably like, lime sorbet
  
  gin, no specific brand preference
  "
139508,"
   Should the united states stop funding israel ?
  ","
  yeah prob
  "
139509,"
   Big Mac?
  ","
  yup
  
  or if I'm not that hungry a number 4 (2 cheeseburger meal) and I'll save one of the cheeseburgers for the next day's lunch
  "
139510,"
   What's your favorite thing to order at McDonald's?
  ","
  number 1
  "
139511,"
   What is something people say is ""childish""
But you enjoy anyways? 
I enjoy coloring, crafting, and watching Disney movies 😊♥️
  ","
  I like coloring too though i haven't done it in a while. I can't think of anything else really.
  "
139512,"
   Sleep well. ❤
  ","
  thanks homie
  "
139513,"
   Wyd
  ","
  trying to stay awake long enough to take my evening pills on time and then I'm prob going straight to bed
  "
139514,"
   Who was president when you were born?
  ","
  Jimmy Carter
  "
139515,"
   Do you ever just have those days where you cannot bring yourself to do anything because even the thought of doing something is exhausting?
  ","
  that was today for me. I almost never get headaches but I've had one off and on all day today and add that to already feeling nauseous and having an inflamed throat I didn't want to do anything but sit here. BUT I made myself run the dishwasher and take care of my animals at least
  "
139516,"
   I hope you feel better soon ❤️ Ignore the haters. You’re too rad for them.
  ","
  thank you
  "
139517,"
   some people just have too much free time on their hands just to cause issues to others. glad you are telling the haters like it is, you don't deserve that.
  ","
  eh I'm just like, really ill and it's making me reflect on the dumb shit in my inbox more. I'll be over it all again once I'm feeling better
  "
139518,"
   Space
  ","
  We needed something to move and fill up the space
  
  We needed something this always is just the case
  
  Jefrey with one f Jeffery took up his place
  
  Sat on a carpet and with tablas in hand took up the chase
  
  Jefrey with one f Jeffrey
  
  Now it occurred to me as he drove away
  
  D= are x t
  
  Spacious (he's so) spacios
  
  Space
  
  (I belive in ) space
  
  Jefrey with one f Jeffery
  
  Now I'm going to sing the perry mason theme
  
  (he's so) spacious
  
  Spacious
  
  (he's so) spacious
  
  (he's so) spacious
  
  Jefrey with one f Jeffery
  
  Jefrey with one f Jeffery
  
  Jefrey with one f one f.
  "
139519,"
   What did you eat today?
  ","
  char siu bao, a small/personal sized charcuterie, a breadstick, and like 3 bites of pepperoni pizza
  "
139520,"
   Have you been to a sports game? What game is it?
  ","
  I've been to several basketball and soccer games, a baseball game or two, at least one hockey game
  "
139521,"
   Are you a light or a heavy sleeper? 😴 Maybe something in between? Has there been any moments when that was very noticeable? 🥱
  ","
  I am a heavy sleeper normally but right now I have a kitten to wants to sleep curled up on my face so I'm not getting deep sleep
  "
139522,"
   What is a movie front your childhood that you still love to this day? 
I'm currently watching Mary Poppins and I love it 😊
  ","
  any of the muppets movies, the first three star wars
  "
139523,"
   heyooo, how was your week so far? 
i hope you're doing well! 💙
  ","
  I've been ill but it's fine. I have an appointment with the doc tomorrow.
  "
139524,"
   Have you ever cheated on a test? 🙊
  ","
  not that I recall
  "
139525,"
   .
  ","
  What happens if I just don't bother with vip this week? Do I immediately lose it or do I get a second chance the following week?
  "
139526,"
   When is the last time you broke something? 
I dropped my phone in water today and we think I messed with the connection between my mother board and my speaker because now I can only head things with my phone in speaker or with headphones in lol
  ","
  Well technically a squirrel did the breaking but I take the blame because I left some pottery on an unsteady shelf that the squirrels for whatever reason love to jump all over and it got knocked down and shattered
  "
139527,"
   Post a selfie? 
I just wanna let y'all know that you're all beautiful!
  ","
  I didn't take one today but here's yesterdays
  "
139528,"
   .
  ","
  I'm sick, I've started my day off on the wrong foot so to say, I barely slept, I need you all to know that I'm not trying to be a giant fucking asshole like that's never my goal in life
  "
139529,"
   Who killed the Dead Sea?
  ","
  Bear did. With his cuteness.
  "
