,Question,Answer
112644,"

    http://ask.fm/abuanaaas08/answer/140072756596
   
   😂😂😂😂  دا أكيد حضرتك صح
  ","

   ربنا حليم ستير😬
  
"
112645,"
   تقدمت لفتاة قبل اكثر من سنتين و تمت الموافقة ثم تم الغاء الخطبة لعدة اسباب و من يومها لم نلتقي، قبل اربع شهور بدات في البحث عن زوجة "" بعد رجوع شاهية الزواج"" و اصبحت اكثر نشاطا لكن اليوم قابلتها في الشارع، عدت كما كنت حالة من التيه ، ارغب فيها هي و اشعر ان لا احد يستطيع ان يعوضها؟ هل اواصل البحث ام ؟
  ","

   هل فيه أمل للرجوع لها ؟!
  
"
112646,"
   ادعيلي ادخل الجنه
  ","

   يا رب صحبة ..
  
"
112647,"
   شيخ محمد... تقدم لخطبتى شاب ولكنه لم ينظر لى طوال الحديث.. وفى منتصف الكلام قال أنه لاينظر لى لأنه يكتفى أنه فقط رانى عند الدخول.. هو كده ممكن مكنش عجبته ومش عايز ينظر لى.
  ","

   وممكن عجبتيه أوي .. وشايف إنه كده اكتفى !
   
   فيه واحد كده صاحبنا بعد الرؤية دخلوا عروسته عليه يوم الشبكة وهي لابسة طقم حلو كده وشيك .. عشان يعني يملى عينه لين العقد .. قام باصص في الأرض ومتنح وقال: قد اكتفيت بيوم الرؤية 😬
   
   وقامت يا عيني محرجة .. ورجعت قعدت بالطقم الأسود !
   
   ربنا يكرمه .. كان طيب أوي :)
  
"
112648,"
   التوبه هى الإقلاع عن الذنب وعدم العودة مرة أخرى وانا أفعل الذنب واتوب واتضرع واعود مرة أخرى فأين التوبه هنا؟
  ","

   التوبة هي الإقلاع والندم .. وقد يعود .. فيقلع ويندم .. وهكذا ..
   
   المهم ألا ييأس .. وألا يستمرئ الذنب.
  
"
112649,"
   وبشتغل حاليا في مكان تاني وكل شوية افكر انقل منه انا متدلعة شوية من اسرتي ومن اصدقائي اعتقد حتى في شغلي كمان بس موضوع الزهق ده بيأثر على علاقاتي بالناس جدا ياريت تنصحني
  ","

   لازم تغيري من نفسك وتتعودي تتحملي مسؤولية .. وتجاهدي مللك على إكمال الحاجة اللي تنفعك ..
   
   للأسف أنت ضحية أخطاء تربوية .. لكن مع العزيمة تقدري جدا تتجاوزيها ..
   
   وفقك الله.
  
"
112650,"
   حضرتك بتقول ادام مش عاطفي سيبيه
ادام عندي سيبيه
ادام بارد سيبيه
ادام اي صفه وحشه يبقي الشخص يتساب 
طب سؤال منطقي جه فبالي الناس اللي فيهم الصفات دي او غيرها من صفات غير ممدوحه .. مش هيتجوزو مثلا او ملهمش حق يعيشو حياه زي البني ادمين ..بشوف ان البنت اتخطبت ومرتضياه دين وخلق يبقي تطبع ع طبعه ولا ايه؟
  ","

   فيه عيوب سهلة التقبل والتعايش معها .. وفيه عيوب صعبة على ده !
   
   فيه عيوب تنفع مع شخصيات معينة وتقبلها عادي .. ونفس العيوب دي ممكن تكون بمعنى (القتل البطيء) لشخصيات تانية !
   
   البارد عاطفيا مثلا مصيبة مع إنسانة حالمة ورومانسية .. لكنه متحمل ومقبول جدا مع إنسانة عملية وعقلانية ومش عايزة أكتر من التعامل باحترام !
   
   مفيش قاعدة .. وطباع البشر أكثر تنوعا وتعقيدا من حصرها في إطار معين.
  
"
112651,"
   لو سمحت لو واحدة متقدم لها عريس مناسب لها  29 سنة ومحاسب بيسافر السعودية 
بس مش موجود في مصر حاليا وعايز يشوفها علي النت ولو حصل توافق ينزل اسبوع يعمل خطوبة علشان كان هنا في مصر ومينفعش ياخد اجازة طويله الوقتي ..
هل علي النت دا ينفع تحكم وتاخد قرار ولا ترفض لما يبقي ينزل مصر؟
  ","

   مش بحب خطوبات النت دي !
   
   لكن ممكن من باب القبول المبدئي ..
  
"
112652,"
   ماتت أمى وتزوج أبى وزوجه تعاملنا بالحسنى وأنا أحاول جاهدة أن أبر أبى وأرضيه فيها ..ولكن أشعر دائما أنى لا أحب وجودها معى واتودد إليها إرضاء لأبى وفى قرارة نفسى أكره ذلك..
هل أنا منافقة ؟؟
انصحنى بالله !
  ","

   لا أبدا .. توددي لها .. وستحبينها، أو تتعودي وجودها على الأقل.
  
"
112653,"
   هو ايه ذنب المعتقلين لما يتبهدلوا ولما يخرجوا يترفضوا انهم كانو معتقلين !!! 😢😢
  ","

   ابتلاء .. والدنيا دار ابتلاء !
   
   يعوضهم الله بخير .. آمين.
  
"
112654,"
   استاذ محمد ازاى حضرتك فى ( من وحى نظرة ) قادر تبكينا وتضحكنا بالشكل ده ،، والله اتعبت القلب بكلماتك ، دُمت عطرا لنا فى هذه الحياة ، دُمت سند لأنس ورقية ، بارك الله لك فيهم وبُوركت لهم 
أسال الله الكريم رب العرش العظيم ان يجازيك عنّا خير الجزاء
  ","

   اللهم آمين .. آمين ..
   
   (من وحي النظرة) تظل لها مكانة خاصة عندي :)
  
"
112655,"
   لو عايز اجيب هدية لخطيبتي في صيدلة .. حاجة لها علاقة بمجالها .. اجيب ايه ؟
  ","

   هات لها حذاء طبي ماركة ومحترم (سكيتشر مثلا) .. هيريحها في الشغل والتدريب :))
  
"
112656,"
   جزاك الله الفردوس يا شيخنا..
أجِد ما أعاتبك عليه سامحني.. 😣 
أحيانا يُرسَل إليك سؤال او مشكله او غير ذلك ، ويكون رد حضرتك كأنك تقلل من السائل ، (ترد بتريقة) ، انت لا تعلم كم الألم احياناً الذي يعانوه من تلك المشكله او حتي الذنب الذي فعلوه ، هداني الله وإياك وعظم أجرك ولكن أرجوك احذر بعض كلماتك
  ","

   تريقة ؟!
   
   معاذ الله !
   
   الردود اللي بتحسوها ساخرة أحيانا = والله ما بيكون هدفي منها إلا (خبطة) خفيفة كده تفوق اللي بيسأل عشان تعرفه إنه يا إما بيدلع يا إما مصعب الأمور على نفسه يا إما ظالم بزيادة .. وكثيرا ما تؤتي أكلها ولله الحمد ..
   
   وأستغفر الله من أن أسيء من حيث أطلب الإحسان .. وأي حد زعلان من حاجة = حقه علي .. وزيادة.
  
"
112657,"
   ممكن تتزوج على زوجتك ؟؟ جماعي
  ","

   ده من باب:
  
"
112658,"
   يا مولانا خطيبتي متابعاك...قولها تحن علينا شوية وتخلينا نعقد ونخلص بأه...هي قالت نصبر كمان شهر لغاية ما اتخرج(قال خايفة علي يعني) 
يا سيدي بلاه التخرج من اصله...اي ده :)))
  ","

   ههههههه
   
   يا بنت الإسلام .. حني على الغلبان .. الميه في اديك .. وهيتخرج عطشان :)
  
"
112659,"
   انا عاوز آخذ منك وعد :)
فرحي ان شاء الله تحضره واحنا والله نحملك فوق رؤوسنا :)
الفرح مش في مصر ولا ف السعودية....انت وافق بس ثم انس كل شيء وسيب كل شيء علينا...احنا نجيبك ف طيارة رئاسي بتاعت 300 مليون :)))
  ","

   وده طلب يترفض برضه ؟!
   
   بس اوعى يكون اختطاف 😬
   
   أنا لابس نضارة .. وبعمل رجيم .. وحكاية سرقة الأعضاء دي مش هتنفعكم معايا خالص.
  
"
112660,"
   ممكن تدعيلى براحة القلب والبال ؟ :)
  ","

   يا رب .. أنا وأنت وكل من ها هنا ..
   
   تصبحوا على خير :)
  
"
112661,"
   الله يحفظك والدتى بتقول شتايم وحشه بهزار هى وقرايبها دايما انفر منهم واتضايق وازعق معاهم هم يقولوا انتى متكبره علينا ايه الحل معاهم انا زعلانه جدا علشانهم انهم مش فاهمين فعلا اللي هم بيعملوه
  ","

   ما تقعديش معاهم تاني.
  
"
112662,"
   هو لو شخصيه كانت بتعز واحد جدا طول عمرها ومتعرفش عنه حاجه طول الوقت ولا اكونت حتي ومن فتره كبيره من كام سنه حد اتقدم من ارايبها وكان فيه نصيب وارتبطوا اتخطبوا وبعدها عرفت اكونت بالصدفه الحد ده وعلطول بتابعه هيا كده بتظلم خطيبها بالتفكير دايما ف الشخص ده وعمري م كلمته ورفضه ده انا مش عارفه اخد قرار
  ","

   تبلك التاني .. وتتقي الله في نفسها وفي خطيبها !
  
"
112663,"
   مخطوبين بنتعامل بقالنا 3شهور هو خجول ومش عاطفي انا  عقلانيه بس اكتشفت اني زي اي ست هبله بتعامل معاه هو بس بعاطفيه.احنا الحمد لله ملتزمين ومفيش اي مجال للخروج عن النص بس زيي زي اي ست نفسي احس ان الراجل اللي معايا بيحبني لو قعد شهرين كمان هبقي وقعت.  رسمي لاني فعليا مشاعري ابتدت تتحرك هو صنم اعمل اي
  ","

   يمكن ملتزم بس الحدود بزيادة .. لكن لو عرفت إن طبعه مش عاطفي = يبقى لازم وقفة.
  
"
112664,"
   لو واحد قالى انه بيجبتى من زمان وجه لبابا وحجزنى وباباه جه واتفقوا أننا لبعض وقعدنا شهرين مع بعض ومش لاقيه اى حركه منهم خالص ولابيتكلموا عن المستقبل ولاحاجه هو لسا فى 2كليه بعدين سبته عشان اتقدملى واحد جاهز انا كده ظالمه؟
  ","

   لأ.
  
"
112665,"
   كنت مرتبطه بواحد وحصل بينا تجاوزات كتيير اوي وصلت لعلاقه غير كامله :-(  بس سبته واستغفرت وتبت وندمت ..واتقدملي شخص بفضل اقول انا مستهلش حاجه وببعد بس ده عاجب اهلي ..انا اعمل ايه . انا كارهه نفسي
  ","

   توبي واستغفري .. واقبلي المتقدم !
   
   لا يستحوذ عليك الشيطان .. استأنفي حياتك بطهر ونقاء.
  
"
112666,"
   هو ليه دايما حاسه اني زهقانه صحابي في سني بيحبوا ويتحبوا وانا لا هو انا كده وحشه؟ انا22 سنه
  ","

   هو أنت اللي مصحيك الوقت ؟!
   
   اشربي الحليب .. ونامي يلا يا ماما.
  
"
112667,"
   ظننت بك سوءا فلتسامحنى 
قلت فى نفسى ينصح الناس ولايصلى صلاة الفجر !
  ","

   غفر الله لي ولك .. بل صليت إماما بالناس في مسجدي، وأسأل الله ألا يحرمني ما أحياني.
  
"
112668,"
   تمت خطبتي لشخص منذ ٥ أشهر ومن ثم تم اعتقاله وتم الحكم عليه من يومان ب ٧ سنوات ف هل علي الانتظار أم انهاء الأمر والمضي في حياتي؟ مع العلم أن والدته هي من اقترحت انهاء الأمر لما فيه من ظلم لي ..وأنا أراه يستحق الانتظار ولكن أهلي معترضون لأني في ال٢٥ من عمري
  ","

   الله المستعان !
   
   أنهي الأمر ..
   
   اللهم انتقم من الظالمين .. نسخة مع الشكر للمطالبين بالدية !
  
"
112669,"
   اتقدملى شخص ""قريبي"" محترم و أهلى مش رافضينه كشخص لكنهم رافضين الميعاد .. انا فى طب و لسه فاضلى 3 سنين .. و أنا محرجة أقول لوالدى إنى عايزاه .. و خايفة يفهم رفض أبويا للتوقيت إنه رفض تام .. اعمل إيه ؟
  ","

   صارحي والدك .. أو والدتك وهي تفهمه.
  
"
112670,"
   حضرتك منين يا شيخ ؟ 
ومسافر أى بلد حاليا ؟
  ","

   مصر - السعودية
  
"
112671,"
   يا شيخ محمد
والدي ووالدتي واخي واختي
محدش منهم بيصلي
واكتر من مره اجيبها ليهم بكذا اسلوب
واشجع وارغب مرات وارهب مره
بخصوص الصلاة
وبردو مش بيصلوا
حتي الجمعة
يمكن امي في رمضان ممكن تصلي بعض الصلوات 
وأخواتي ايام الامتحانات 
غير كده محدش بيصلي
ولو اناسهيت عن صلاة او كنت نايمة محدش بيهتم
  ","

   (يا أيها الذين آمنوا عليكم أنفسكم لا يضركم من ضل إذا اهتديتم).
  
"
112672,"
   سؤال قد يكون غريب ... انا والحمدلله لم يكن لى علاقة بأى بنت "" علاقة عاطفية "" ....اكيد احسن الظن بالله انه سيرزقنى زوجة صالحة.. لكن لما بشوف اشكال البنات حاليا واللى بيعملوه بقول صعب جدا انى الاقى واحدة ملهاش ماضى ! ... وكمان لو اتقدمت ميحقليش انى اسألها عن ماضيها ! ....كيف السبيل؟
  ","

   سيبك من الوسوسة دي .. الصالحات موجودات .. بكثرة.
  
"
112673,"
   اللي متقدملي انسان كويس لكن انا خايفة و قلقانة .. و اهلي مقلقين من الناحية المادية بس هو انسان مجتهد .. اعمل ايه؟
  ","

   ما تقلقوش.
  
"
