,Question,Answer
370116,"
   Cual es tu comida favorita
  ","
  Arroz con huevo .*.
  "
370117,"
   Hola, Que dices si hacemos un reto de 20 x 20 Mg y 10 preguntas?

Besos.
  ","
  Dale, inicia <3
  "
370118,"
   🍥🍦[ MG & ....💖 ] 🍦🍥
  ","
  5 MG 👅
  "
370119,"
   30 mg a los 3 primeros💗
  ","
  Si y  a los demás 1 MG
  "
370120,"
   🍪🍫¿MG Y 10Mg a todos ? 🍕🍨
  ","
  Si le dan si.
  "
370121,"
   Color favorito
  ","
  Verde
  "
370122,"
   ¿Qué preferirías? ¿Ser rico y feo o pobre y guapo?
  ","
  Rico y feo.
  "
370123,"
   Foto+Frase🍂🙌
  ","
  ""El hecho de que seas capaz de dar todo tu esfuerzo es un talento único""
  "
370124,"
   ¿Deporte favorito? 🙈
  ","
  Fútsal 😍
  "
370125,"
   Hola ,Nos seguimos en instagram ? sophie_mikaa 😍😚
  ","
  Vale
  
  ❤
  "
370126,"
   MG &???
  ","
  3 MG + seguir
  "
370127,"
   🍪🍫¿MG Y 10Mg a todos ? 🍕🍨
  ","
  Va ❥
  "
370128,"
   🍍Hola*-*🍕 Te parece si nos seguimos?
  ","
  Hola 😍
  
  Obvio ❤
  "
370129,"
   Cosas tuyas,foto favorita❤pasate
  ","
  :D
  "
370130,"
   ¿Cuál es la canción que escuchais mucho ultimamente?
  ","
  los auténticos decadentes- y la banda sigue
  

   https://www.youtube.com/watch?v=t5-8nS72jjY&index=9&list=PLRsCMovbFICkCFx8I2h2EsYwk0Z4JUkmZ
  






















"
370131,"
   Mg y 20 mg + seguir al primero y 2 a los demás?
  ","
  Vale
  "
370132,"
   Ya te sigo. ¿Ya me sigues? 😊
  ","
  Si :)
  "
370133,"
   Hola👋💕🙊
  ","
  Hola <3
  "
370134,"
   ¿Cuál es el reto más importante al que te estás enfrentando actualmente?
  ","
  Kuzu no Honkai *-*
  "
370135,"
   me quiero meter al gym pero mido 165 soy muy bajito i ya tengo 19 años  cres que crecere mas o wstoy bien de altura?
  ","
  se crece hasta los 20-21 años
  
  también todo  depende de la genética
  
  inténtalo, seguro el instructor del gym te dirá que debes hacer
  "
370136,"
   MG Y..
  ","
  10 MG + 2 preguntas y los sigo <3
  "
370137,"
   Hola te sigo *-*❤ me sigues?
  ","
  Claro :)
  "
370138,"
   9
  ","
  Uhh muchas gracias ❤
  "
370139,"
   🍥🍦[ MG & ....💖 ]🍦🍥
  ","
  7 MG y los  sigo a todos
  "
370140,"
   Mg y.. ?
  ","
  3 MG + seguir 😉
  "
370141,"
   nos seguimos?
  ","
  Si :)
  "
370142,"
   Edad?
  ","
  21
  "
370143,"
   ¿Qué haces cuando te aburres?
  ","
  Veo anime 🙌
  "
370144,"
   Como le tiro la caña a una tia
  ","
  Sea original pues
  "
370145,"

    https://ask.fm/antesdellover/photopolls/8684933
   
   y ati cual te gusta más?
  ","
  Ninguno que le pasa hp
  "
370146,"
   ¿Andarias con alguien mas grande que tu?🙈💙
  ","
  Si 😊
  "
370147,"
   ¿Nos seguimos?
  ","
  Claro :)
  "
370148,"
   🍉[¤MG &....?♡]🍉
  ","
  5 MG + SEGUIR
  "
370149,"
   Un 3
  ","
  💔
  "
370150,"
   Cf  estas guapo :') 😊
  ","
  Gracias  <3
  "
370151,"
   🐣
  ","
  Gisela *-*
  "
370152,"
   CF, tienes buenas fotos, vistes bien no te conozco.
- mías?
  ","
  Tienes linda sonrisa y tienes  unos ojos muy  lindos
  "
370153,"
   -
  ","
  Demi Chan  ❤
  "
370154,"
   💫💥 [...¿MG' Y UNA PREGUNTA?...] 🌙☄️
  ","
  Bueno
  "
370155,"
   ♕•❀[Mg y...]❀•♕
  ","
  5 MG ^^
  "
370156,"
   🌼•|🍫MG & 6 MG + Seguir A Todos?🍟•|🍉
  ","
  Si ❤
  "
370157,"
   Hey, nos seguimos
  ","
  Bueno 😊
  "
370158,"
   ⭐Ya te sigo,me sigues? ⚡
  ","
  Claro :)
  "
370159,"
   ❥Mg &…?
  ","
  5 MG A TODOS
  "
370160,"
   ❥• [Mg &…] 🍟
  ","
  3 MG
  "
370161,"
   💚°•°•¿MG y...?•°•°💙
  ","
  7 MG y 2 Preguntas
  "
370162,"
   Que te gusta de los chicos.? :)
  ","
  ??
  "
370163,"
   10/10 te sigo
  ","
  🙇
  "
370164,"
   Se ve que eres buen pedo!:)
  ","
  Lo soy :)
  "
370165,"
   Buenas noches, ¿nos seguimos? :3 💖
  ","
  Claro <3
  "
370166,"
   Desaburreme, te sigo bby👅
  ","
  Y si nos besamos ? Digo para matar el aburrimiento
  "
370167,"
   🗻Mg &...?🗻
  ","
  10 MG
  "
370168,"
   💞[Te reto] 💞
Al primero le das 50 MG
Al segundo 20 MG
Al tercero 10 MG

💟💪¿Aceptas ? 💪💟
  ","
  Vale
  "
370169,"
   La chica mas bella que conoces?
  ","
  Tu <3
  "
370170,"
   Holis 15×15 mg y mas 3 preguntas en anónimo? 😏😘👌
  ","
  Dale ❤❤
  "
370171,"
   Pareces buen chicooo
  ","
  Lo soy c:
  "
370172,"
   nos seguimos?
  ","
  Claro
  "
370173,"
   10X10MG? si aceptas empieza y avisa
  ","
  Empieza tu :)
  "
370174,"
   ❌[Mg y...🍟]❌
  ","
  3 Mg a todos c:
  "
370175,"
   Hooli, estoy malita, me das mimitos?  Te sigo 😳
  ","
  Holaaa <3
  
  Pero claro *-*
  "
370176,"
   Te gusta la música de banda JSJSJSJS😂😂
  ","
  No parce😍
  "
