,Question,Answer
831420,"
   Send some of those followers of yours this way! haha. Have a great day :) xoxo
  ","
  ^^^^^^
  "
831421,"
   Why do zombies like brain so much?
  ","
  ask me real questions guys
  "
831422,"
   What's your opinion on Bill Cosby?What do you make of the allegations against him?
  ","
  i think he's funny and i don't hear anything recently about him
  "
831423,"
   how old are you
  ","
  I'm 20
  "
831424,"
   ever kissed a girl
  ","
  yeah i have
  "
831425,"
   another picture
  ","
  my whole world in one picture ❤
  "
831426,"
   what's your son doing
  ","
  standing right next to me
  "
831427,"
   pap pf Joseph
  ","
  ❤
  "
831428,"
   what are you doing
  ","
  just got home from work
  "
831429,"
   Can you do a OOTD(:
  ","
  no im in my work clothes
  "
831430,"
   If you made a ""starter pack"" describing yourself like what is trending on twitter what would it include?
  ","
  idk lmaoo wth
  "
831431,"
   Sending to everyone I follow, I'm doing opinions, so if you get this 1) I follow you which means you're amazing  and 2) send me your @'s Only if you're interested :*
  ","
  (:
  "
831432,"
   Whoever likes this, ask them three questions?
  ","
  no
  "
831433,"
   Opinion on
   
    @redheadmomma
   
   saying teens should not ttc?
  ","
  shes right,  they shouldn't be TTC
  "
831434,"
   what stuff would you do or say to help someone whos not good at sex... serious question
  ","
  that's something for you to figure out
  "
831435,"
   If you could name a burger after yourself...what would you name it?
  ","
  Gabby
  "
831436,"
   SEARCH YOUR SOUL.....ARE YOU OK???
  ","
  fuck a soul
  "
831437,"
   some people need some respect and manners.
  ","
  thank you
  "
831438,"
   saggy ass mfin titties. ew
  ","
  lmao okay you must be blind
  "
831439,"
   Do you prefer superheroes with extraordinary abilities (Superman, The Hulk, etc) or superheroes with no ""powers"" who rely more on intellect or hand-to-hand combat (Batman, Captain America, etc)?
  ","
  someone with no powers
  "
831440,"
   Have you ever dated someone or had a sexual encounter with someone who had an extremely weird fetish?
  ","
  haha, my boyfriend has weird fetishes
  "
831441,"
   Personal question here have you ever been extremely nervous to have sex with someone?
If you have what was your reasoning for being so nervous?
  ","
  yeah with my boyfriend when we first started because i was self conscious about my body
  "
831442,"
   Pardon me, I am a miserable creature so I must make everyone else as miserable. I don't have the guts to insult you directly, so I'll use false 'kindness' & 'politeness' as a guise. Don't take it personally, I treat everyone as trash can for vomiting into because what can I say? I am trash :).
  ","
  i honestly could care less
  "
831443,"
   What works best for muscle cramps? I'm having them in my leg where my huge scar is thanks to the cold -.-
  ","
  I honestly have no idea tbt
  "
831444,"
   what part of the house are you in
  ","
  my living room , I'm so lazy to get up right now lol
  "
831445,"
   do you have a man
  ","
  yeah EST 2011
  "
831446,"
   u seen the insta drama
  ","
  yeah I have lol
  "
831447,"
   what's something you want right now
  ","
  I want food right now
  "
831448,"
   last text you sent said ?
  ","
  can I just kiss you all over *emjoi lips*
  "
831449,"
   What is the biggest argument you and your parter  has gotten into over something stupid (they didn't take the trash out, etc). Use parent if you don't have a partner
  ","
  I can't even name anything it's happened a lot lol
  "
831450,"
   ever been beat
  ","
  yeah i have
  "
831451,"
   do you remember fallons mom's ask?
  ","
  nope LMAOO, i think she deactivated because she knows shes lying
  "
831452,"
   you like what Hitler did? What the actual fuck....
  ","
  okay, shit happens in life and now since he did what he did, lets hope history doesn't repeat itself
  "
831453,"
   how old are you
  ","
  I'm 20
  "
831454,"
   What is your favorite season?
  ","
  fall
  "
831455,"
   how are you
  ","
  I'm fine
  "
831456,"
   what are you doing
  ","
  smoking
  "
831457,"
   I love how she said she's in Michigan but she just posted a picture of a Florida police report lol
  ","
  i know she went from Michigan to Flordia in a day
  "
831458,"
   ITS ALL SO FAKE IM LAUGHING SO HARD
  ","
  it is and all her ""supporters"" believe her, thats sick of her to make some shit up to scam people outta money
  "
831459,"
   What would you name your first child?
  ","
  i already have a kid and his name is Joseph
  "
831460,"
   I bet you don't even know what he did
  ","
  I bet your an idiot
  "
831461,"
   LMAO THAT LANIE GIRL ON INSTAGRAM THO
  ","
  OMG YOU SEE IT, IM DYING
  "
831462,"
   What is your opinion abour Hitler and his nazi ideology?
  ","
  i actually like what he did
  "
831463,"
   Do you use Ask as a site or an app?
  ","
  an app
  "
831464,"
   should I deactivate?
  ","
  no
  "
831465,"
   has Ask ever logged you out randomly? mine just did and I'm confused
  ","
  yeah lmao
  "
831466,"
   what are the pros and cons of shaveing downbelow
  ","
  do whatever you like
  "
831467,"
   what is her ask?
  ","
  i have no idea, but this shits crazy
  "
831468,"
   idk y she would scam ppl
  ","
  to get money out of her followers
  "
831469,"
   is Fallons mom faking
  ","
  idk that's what it seems like, nothing makes sense
  "
831470,"
   Ever hurt yourself and you have no idea how you hurt yourself? I have a cut on my arm and I don't have any idea how I did it!
  ","
  yeah that happens at work
  "
831471,"
   Do you ever wish you were a kid again?
  ","
  nope
  "
831472,"
   What's your wildest fantasy?Mine is to be the owner of the Oakland Raiders.
  ","
  i rely havent thought of it
  "
831473,"
   Ever have someone ask you to follow them and then bitch about the amount of questions you ask ?
  ","
  ha ha no
  "
831474,"
   Has a pet or a younger or even older sibling ever destroyed something of yours that meant a lot to you?
  ","
  yes
  "
831475,"
   Do you get cold or hot easily?
  ","
  cold
  "
831476,"
   My Instagram is teen.moms for this page follow:)
  ","
  ^^^
  "
831477,"
   True or false:Its ok for men to wear pink clothing.
  ","
  true
  "
831478,"
   I'm having honesty night! If you could let your followers know that'd be great❤️
  ","
  ^^^^^^
  "
831479,"
   Something that makes you nervous for your son being a teenager?
  ","
  the people he hangs out with
  "
831480,"
   you do drugs
  ","
  i smoke bd which isnt a drug
  "
831481,"
   hello
  ","
  hiiii
  "
831482,"
   Its only one real ass nigga in da hood n dats me ho
  ","
  no a question ✌
  "
831483,"
   what kind of questions can we ask you
  ","
  anything
  "
831484,"
   has it snowed yet
  ","
  no it hasnt but i wish it would
  "
831485,"
   ever sent a nude
  ","
  yeah to my boyfriend
  "
831486,"
   what r u doing
  ","
  watching Everybody Hates Chris
  "
831487,"
   ur perfect
  ","
  no im not
  "
831488,"
   ✨ tired of the empty inbox
  ","
  send in those questions
  "
831489,"
   Do you ever find yourself feeling the need to be alone often? Why do you think this happens?
  ","
  yeah sometimes , because sometimes i just hate eveything and just wanna be alone other times im just feeling down
  "
831490,"
   Best way to manage stress?
  ","
  i smoke , drink, walk around or listento music
  "
831491,"
   Do you ever think of how different your life could be right now if you did something differently in your past?
  ","
  yeah all the time
  "
831492,"
   anon is always a perv smh
  ","
  i know right
  "
831493,"
   45+ min? what ya do? masturbate?
  ","
  no wth, i like to take long showers,  i don't see the problem
  "
831494,"
   The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory - Full Documentary (Brian Greene)
   
    http://m.youtube.com/playlist?list=PL512DFA77C3BD9E53&amp
   
","
  quiet honestly i don't care
  "
831495,"
   Do you think parents should put their kids in pre school? Why/why not?
  ","
  yes , so ther child or childern should get a head start in school and interact with other kids
  "
831496,"
   If you're not in a rush for time, how long are your typical showers?
  ","
  like 45 minutes or more
  "
831497,"
   you're annoying
  ","
  good to know
  "
831498,"
   what do you want for Christmas
  ","
  i don't want anything
  "
831499,"
   Do you think you could ever do a photo shoot where you're completely naked for the world to see?
  ","
  hell no, thats extreme
  "
831500,"
   How do you feel when you get in a fight with your partner?
Does it bother you or do you just not care?
  ","
  it depends on the fight, sometimes i care
  
  and other times i dont
  "
831501,"
   What is your biggest regret?
  ","
  ask me stuff guys ,
  
  i have way too many followers for
  
  my inbox to be empty
  "
831502,"
   did u breastfeed
  ","
  no i didnt
  "
831503,"
   u had a c section
  ","
  yeah i did
  "
831504,"
   have you farted while having sex?
  ","
  no that's nasty and weird
  "
831505,"
   When's the last time you had a day where you ate nothing but junk food?
  ","
  when I was pregnant last year
  "
831506,"
   you have a nice body
  ","
  thank ya
  "
