,Question,Answer
670500,"
   your lips eyes hair face body personality just every single little thing about you is complete perfection
  ","
  ❤️❤️❤️❤️❤️❤️❤️
  "
670501,"
   If I buy your thong can I see it on you
  ","
  Depends on how I feel lol
  "
670502,"
   You're stunning x sleep tight beautiful
  ","
  Omfg thank you so much ❤️?
  "
670503,"
   Is it better to to make a Caesar salad or pipe it up ?
  ","
  I don't know what you are saying to me
  "
670504,"
   catch up slowly babe no one is in a hurry. You're gorgeous
  ","
  thank you amazingness <3 haha youre wonderful
  "
670505,"
   What are you bored of?
  ","
  I CANT DO THIS, THIS IS MAKING ME SLEEPY AHAHHA.
  
  im going to go and ill try to be on later tonight <3
  "
670506,"
   Yeah I guess they would look stunning on your feet
  ","
  wow i have a lot of catching up to do haha
  "
670507,"
   If you could live in any fictional universe what would it be?
  ","
  i want to be a mermaid
  "
670508,"
   beautiful boom
  ","
  hello there.
  "
670509,"
   Calvin Klein thing will be brought for you soon
  ","
  omgomgmogomg
  "
670510,"
   One main reason why I wanna go to the State's is because of you :3 
To meet you?❤
  ","
  that is the cutest thing ive ever heard, because its coming from you. <3 id love it if you came
  "
670511,"
   so today I got a dose of boom and I boom'd.
  ","
  OMFG YOU'RE BACK!!!
  "
670512,"
   How the crap did you get verified
  ","
  ask did it hahha.
  "
670513,"
   I like turtles
  ","
  its a turtle climbing a fence hahhah
  "
670514,"
   What is your favourite line from a movie?
  ","
  Boondock Saints is an amazing movie
  "
670515,"
   Uhmmm then let me polish them in black?
  ","
  i like that color lol
  "
670516,"
   are you an actress or not really
  ","
  i can be ahhaah
  "
670517,"
   Well,I don't think that winter is so great over here.I rather would trade it to one in Australia,Greece,Spain,Florida or California.
  ","
  thats what everyone says, honestly i cant really see myself living somewhere really cold.
  "
670518,"
   I would love to massage your feet and polish your toes in pink
  ","
  i look awful in pink hahah
  "
670519,"
   yes I do but it maybe a while until i get something going
  ","
  of course!!
  "
670520,"
   Do you mind if I dm you on Instagram atleast??
  ","
  sure go for it. but i hope you dont mind i cant check till bae comes back
  "
670521,"
   but why would u wanna be verified
  ","
  because that little blue check mark can only be gotten if you send ask a selfie of yourself saying your name and date proving you are who you say you are. so literally NO ONE can come on my page and say im fake.
  "
670522,"
   i'm thinking about doing an epic film
  ","
  if you need any actors let me know (;
  "
670523,"
   hey I don't know you but I wanted to say you're extremely gorgeous and seem like such an amazing person and I'd love to get to talk to you. You're so astonishingly gorgeous
  ","
  i dont know you either, but you are too kind for saying such nice things about me just by looking at me. id love to get to know you too!  <3 just remember i dont do private chats. thank you so much for thinking that darling <3
  "
670524,"
   why did you say oh boy princess ?
  ","
  because its you, so this is going to be interesting.
  "
670525,"
   yea i have some great news
  ","
  go on
  "
670526,"
   No spring acutally by them weather but jep ????
  ","
  im sorry i have no idea what you are saying haha
  "
670527,"
   hey Princess...
  ","
  oh boy hello
  "
670528,"
   What celebrity annoys you the most?
  ","
  taylor swift like can she please shut up for one second?
  "
670529,"
   great thanks
  ","
  thats wonderful to hear<3
  "
670530,"
   Are you from Arizona
  ","
  no i am not
  "
670531,"
   your face is like heaven your soft voice is like angels
  ","
  AWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWH OMG
  "
670532,"
   how are you
  ","
  pretty good you?
  "
670533,"
   Ewww ? here is shit raining ?
  ","
  well it is spring! you're lucky  you live in an area that actually has seasons.
  "
670534,"
   who said ""Life is Fair""???
  ","
  God did before Eve fucked everything up ahha
  "
670535,"
   howd u get verified on here
  ","
  well i had to contact ask and see if i was even allowed to by the requirements.
  "
670536,"
   hey
  ","
  hi
  "
670537,"
   Glad you're agree ? how is the weather there ?☀️ ?
  ","
  the weather is beautiful today, its really sunny :)
  "
670538,"
   the ABC® Women Boho Tank Top is on the way to you. Enjoy all your weekend haul it was fun to make you happy. Some girls are just deserving :-)
  ","
  you are the best and nicest person ever.
  "
670539,"
   are you pregnant
  ","
  hell no
  "
670540,"
   I do expect to lose a follower or two and probably block an annoying anon, but my closest friends, co-workers and my brother all approve so that's all I need
  ","
  i'm so confused!!!! what is going on
  "
670541,"
   nothing Princes...
  ","
  i feel like youre lying
  "
670542,"
   Can you do a video ? I would love to hear your voice
  ","
  not right now no
  "
670543,"
   Just know it's all good :)
  ","
  i can tell <3
  "
670544,"
   because they want my friends to hate me...
  ","
  what did  you do?
  "
670545,"
   Where ?
  ","
  probably on my arm
  "
670546,"
   Princess i don't have a fake.. someone made a fake account of me :(
  ","
  why
  "
670547,"
   I think because right now I have perfect positive feedback so I don't want to potentially ruin it lol
  ","
  i get that. i have this superstition that once i talk about something or someone it wont work out.
  "
670548,"
   Would you like a tattoo ?
  ","
  i would love one
  "
670549,"
   I got a haircut
  ","
  i'm proud of you hahah
  "
670550,"
   Princess i did not say that ... that is  fake of me
  ","
  why do you have a fake?
  "
670551,"
   Not sure why I am not telling you. lol
  ","
  neither am i
  "
670552,"
   Ok.
  ","
  lol
  "
670553,"
   Are your eyes blue or hazel ?
  ","
  a little of both to be honest
  "
670554,"
   Lawyers can be full of s--- sometimes.
  ","
  yeah but thats how they get shit done
  "
670555,"
   lol It's weird, but I can't actually say right now because I don't want it out just yet, but trust me it's a big deal, one that I am really happy for and one that so far everyone has been awesome about
  ","
  damn it now i want to know!
  "
670556,"
   The offer would only work if the price was raised is kind of saying yes in a way
  ","
  no, saying 'yes' is saying yes. talk to a lawyer.
  "
670557,"
   Watch it !
  ","
  yes sir.
  "
670558,"
   what you up to Princess ? :)
  ","
  just on here chilling hah how about you?
  "
670559,"
   Isn't it great? Like I have always been happy, but I have been over the moon lately
  ","
  what got you so cheesin?
  "
670560,"
   Ever watched angry beavers ??
  ","
  no i have not haha
  "
670561,"
   Opinion on
   
    @yhashmi90
   
","
  super nice
  "
