,Question,Answer
729504,"
   Where do you want to live when you retire?
  ","
  somewhere down south .
  
  i live in the states and i live up north .
  
  New York
  
  so somewhere below
  "
729505,"
   What are some things that make you really happy?
  ","
  my kids
  
  money
  
  my husband
  
  food
  
  shopping
  
  smoking
  "
729506,"
   Have you set an appointment yet for your 1st tattoo ever?
  ","
  yeah like 8 years ago
  "
729507,"
   🌼🌼 OOTD 🌼🌼
  ","
  shorts and a tank top
  "
729508,"
   Do you believe in love at first sight? 👩‍❤️‍👨
  ","
  when you have kids you’ll know that feeling
  "
729509,"
   Iiysm
  ","
  uh. no ya don’t
  "
729510,"
   Space
  ","
  i HATE peoples so fxcking much
  
  my mom is so fxcking annoying
  
  my husband can be so annoying
  
  my mil is so fxcking annoying
  
  my job is fxcking annoying
  
  i want to me left tf alone
  "
729511,"
   What's your favorite seafood?
  ","
  I DONT LIKE SEAFOOD
  
  IVE SAID THIS PLENTY OF TIMES
  "
729512,"
   Work It: Do you know how to dance?  💃🕺
  ","
  yeah
  "
729513,"
   🤣🤣🤣
  ","
  this isn’t a question
  "
729514,"
   last time you had sxx
  ","
  stop asking this
  "
729515,"
   Have you heard the song WAP by cardi b and Megan thee stallion? How do you like it
  ","
  it’s a good song
  "
729516,"
   Why is everyone asking about favorite movies on here? Seems to be the theme for weeks now.
  ","
  i have no idea .
  
  it’s kinda annoying tho lol
  "
729517,"
   Do
   
    @elysssa_d
   
   Buddy Meter
   
    https://buddymeter.com/quiz.html?q=otfNCJx#_=_
   
","
  okay
  "
729518,"
   Am I the only one who has 2 crushes at the same time?
  ","
  idc
  "
729519,"
   what r ur favorite activities u do in autumn?
  ","
  going to take a nap 😴
  "
729520,"
   Do you like your life?
  ","
  it’s alright
  "
729521,"
   Do you have a lot of real friends? 👫👭👬
  ","
  nope .
  "
729522,"
   What 3 movies could you not live without?
  ","
  • John Q
  
  • ATL
  
  • Juice
  "
729523,"
   what is worse forgetting your gf birthday or your anniversy
  ","
  both
  "
729524,"
   I see
  ","
  k
  "
729525,"
   What you doing now
  ","
  about to smoke with my husband
  "
729526,"
   So can ask or
  ","
  if you want
  "
729527,"
   What would you name your first child?
  ","
  his name is joseph
  "
729528,"
   If you could travel anywhere in the world, where would it be?
  ","
  Australia
  "
729529,"
   Do you own a crockpot?
  ","
  no. but i want one so freaking bad
  "
729530,"
   have you ever blacked out?
  ","
  i have unfortunately
  "
729531,"
   do you like seafood?
  ","
  HELL NO 🤢🤮
  "
729532,"
   131. I want to give out a bunch of coins so if you don’t mind me spamming you, answer this.
  ","
  yay 🥺✨
  "
729533,"
   what foods do you refuse to eat?
  ","
  seafood
  "
729534,"
   I paid 50 coins for that?
  ","
  lol yes Tom
  "
729535,"
   !
  ","
  not a question
  "
729536,"
   127. what phone do you have?
  ","
  iphone xs max
  "
729537,"
   128. where do you order coffee from?
what is your coffee order?
how much does it cost?
  ","
  starbucks lol.
  
  it’s usually $5.70
  
  i get a double chocolate chip frappe
  "
729538,"
   130. how do you like your eggs?
  ","
  i’m not an egg eater lol
  "
729539,"
   Use this to plug your other socials
  ","
  ig: xgabs.xo
  
  snapchat: muvax2x0
  
  twitter NineGdxFourO
  
  fb: ________
  "
729540,"
   So can I asked you open minded Ask
  ","
  idc
  "
729541,"
   So I be straightforward and direct do you mind
  ","
  idc wtf
  "
729542,"
   Do you think you are open minded person
  ","
  sure
  "
729543,"
   Do you like mango juice? Have you ever had mango juice before? Would you?
  ","
  it’s alright . not my fav fav
  "
729544,"
   What type of person you categorize yourself as
  ","
  a nice , hard working , down to earth person
  "
729545,"
   124. do you have the receive shoutout questions feature on or off?
  ","
  i have it on & now i have to ask shout out questions for vip+ 🙄🙄🙄
  "
729546,"
   What can be Ask
  ","
  whatever pretty much
  "
729547,"
   What's your favorite top 3 subjects from high school or college?
  ","
  social studies
  "
729548,"
   Are you poor?
  ","
  no
  "
729549,"
   Would you rather go Skydiving or bungee jumping ?(:😂
  ","
  both
  "
729550,"
   123. does your state have a mask mandate?
  ","
  yes but nobody listens much but yea
  "
729551,"
   122. is there a plastic ban in your state?
there is in mine.
  ","
  i don’t think so .
  
  i mean we have to pay 5 cents for plastic bags 🥴 & some restaurants and stores use the paper straws .
  "
729552,"
   Oh okay! I was sad for a second! 😂 I was like oh no!

Same back to you. 😊 I always love coming check on ya and your page and your answers.

Always enjoy hearing from ya. Your baby is adorable! Always love seeing your baby. ❤
  ","
  lol oh no . i’m glad you’re not sad anymore lol. & thank you love 💕🥺.
  
  i also enjoy reading your answers to . love how detail they can be 😊
  "
729553,"
   Would you say that you are a shy person? Or noooo. Not even close or maybe in some aspects?

Rank it if ya want to.
1-10
1 being not shy
10 being extremely.
  ","
  i’m a 10 on the shy scale.
  
  until i fully get to know you . lol
  "
729554,"
   What I just sent you?
  ","
  no lol. what the anon sent me .
  
  i love everything you send me.
  "
729555,"
   Regardless of being male or female would you ever get artificial hair, any sort of extensions in your hair? Do you already have that?
  ","
  id get extensions
  "
729556,"
   People are strange. Lol
  ","
  they are . sometimes things sent to me like this . annoy me lol
  "
729557,"
   What is a big pet peeve of yours?
  ","
  having to repeat myself
  "
729558,"
   Cause you might get chased by the police! and you know what’s going to happen after! Lol!
  ","
  idk why you’re telling me irrelevant shxt.
  
  either ask questions or get off my page
  "
729559,"
   What's the last thing you ate?
  ","
  i just woke up from a lovely nap
  "
729560,"
   Don’t drink and drive !!
  ","
  yeah i know....
  "
729561,"
   Is it possible to be in love with two people at the same time?
  ","
  i guess
  "
729562,"
   Dat ass doe🍑
  ","
  uh
  "
729563,"
   You will answer any Ask or
  ","
  uh yeah
  "
729564,"
   What would like to achieve in your life?
  ","
  i need more coins 🥺☹️
  "
729565,"
   Do you have Snapchat? If so, what's your Snap-Score?
  ","
  my other snapchat score was like 30,000 but i had to start over
  "
729566,"
   What are you doing today?
  ","
  nothing that i know of
  "
729567,"
   What do you hate most about your country?
  ","
  everything lmao
  "
729568,"
   Have you ever eaten crabs before? 🦀
  ","
  i don’t like seafood
  
  but i’m making my husband crab legs tomorrow for lunch
  "
729569,"
   If someone offered to take over the child support payments you have to pay your mother in law, would you accept?
  ","
  uh no
  "
729570,"
   last time you had sxx
  ","
  stop asking me this
  "
729571,"
   how was your day?
  ","
  my day was shxtty this morning cuz i was hungover with a bad headache .
  
  but now it’s good
  "
729572,"
   What’s your Snapchat? Asking for a friend..
  ","
  muvax2x0
  "
729573,"
   Stop telling other people what to do with their social media. Snapchat wouldn’t have a story feature if they didn’t want it used.
  ","
  thank you .
  
  and i was at a gender reveal party last night lol
  "
729574,"
   Stop posting too much on Snapchat
  ","
  no .
  
  i do what i want.
  
  if you don’t like it unfollow me
  "
729575,"
   Sorry if I'm bothering you but what are the requirements back then?
  ","
  i don’t remember
  "
729576,"
   Did you know that the word 'emotion' stands for 'energy in motion'? 💡
  ","
  o
  "
