,Question,Answer
852876,"
   What's the last text msg you received?
  ","
  “This is meg❤️❤️❤️”
  "
852877,"
   Do any of the things that used to upset you a few years ago matter at all to you today?
  ","
  No actually, I’ve come to a point where nothing that used to really bothers me anymore. I’m numb to a lot of things. Its good & kind of bad that I am.
  "
852878,"
   What is the biggest challenge you are facing right now?
  ","
  VA System, it is so trash.. so slow. The virus isn’t helping any either.
  "
852879,"
   Do you believe in love?
  ","
  No, I don’t.
  "
852880,"
   What books do you plan to read?
  ","
  Beloved Benjamin is Waiting, it was a really good book I read // 12 years ago.
  "
852881,"
   If you could only eat one thing for the rest of you life what would it be? PAP!
  ","
  Eggplants or potatoes
  "
852882,"
   Who is your favorite YouTuber?
  ","

   @jack_p
  
  is the best YouTuber and Twitch streamer.
  "
852883,"
   Scooter or roller skates?
  ","
  I don’t know how to ride either, but rollers skates sound awesome
  "
852884,"
   Who ??is your best friend?
  ","
  Mmm.. His name starts with an L. IRL their names start with H, W, S, M, M, V, M, J & there are a few more.
  "
852885,"
   What should be illegal?
  ","
  The thought that you can just take somebody’s life for whatever reason. That ‘thought’ should be illegal.
  "
852886,"
   Do you agree that some people focus so hard on being overly descriptive with their writing that they neglect characterization?
  ","
  YESSS
  "
852887,"
   Who is the funniest comedian?
  ","
  MOI. [Cheeky grin]
  "
852888,"
   How many messages do you send per day?
  ","
  About 0
  "
852889,"
   What do animals dream about?
  ","
  Sex, that one annoying neighbor goat. What to have for dinner. The itchy left leg.
  "
852890,"
   Penis
  ","
  Always
  "
852891,"
   Will you marry me?
  ","
  No Crowley
  "
852892,"
   What's the biggest fashion faux-pas for you?
  ","
  I have no idea what that even is but plaid works.
  "
852893,"
   If someone told you they could tell you your future, and it be true, would you really want to know what your future holds?
  ","
  I already know about 7 years ahead of me..
  "
852894,"
   How quickly have you fallen in and out of love?
  ","
  10 days
  "
852895,"
   What do you miss?
  ","
  Penis
  "
852896,"
   What color pencil you use for drawing?
  ","
  Pink
  "
852897,"
   How do you prefer to be awakened up in the morning?
  ","
  Penis slap on the face
  "
852898,"
   If you had more money than you ever need, would you give it away?
  ","
  I'd buy dildos
  "
852899,"
   What have you been thinking about lately?
  ","
  Penis
  "
852900,"
   Do you have any strange phobias?
  ","
  Huge penis strangling me
  "
852901,"
   Who's your number one friend?
  ","
  Noooooboddyyyy. I don't make bffs
  "
852902,"
   5 Ask.fm people you would like to meet?
  ","
  The spammers, so I could back hand them
  "
852903,"
   Who is the cruelest person in history?
  ","
  HITLAH and all the other killers
  "
852904,"
   Can I get your help with a retweet on this? My friend's about to make it big.
   
    https://twitter.com/IlluminateYeahh/status/551477730597146624
   
","
  No
  "
852905,"
   Somebody sent me something about you, its page with video that somebody turn on live.  In this video is girl who insults you. You must see this and check it. you can find this in my questions. This page has unfortunately been blocked to watch this you need to complete a free questionnaire.
  ","
  Grow the fuck up
  "
852906,"
   Somebody sent me something about you, its page with video that somebody turn on live.  In this video is girl who insults you. You must see this and check it. you can find this in my questions. This page has unfortunately been blocked to watch this you need to complete a free questionnaire.
  ","
  Grow the fuck up
  "
852907,"
   How old were you when you learned how to ride a bike?
  ","
  I still don't know how to..
  "
852908,"
   What’s the best thing to do after a long and hard day?
  ","
  Drink water and sit down
  "
852909,"
   Can I get your help with a retweet on this? My friend's about to make it big.
   
    https://twitter.com/IlluminateYeahh/status/551477730597146624
   
","
  No
  "
852910,"
   Somebody sent me something about you, its page with video that somebody turn on live.  In this video is girl who insults you. You must see this and check it. you can find this in my questions. This page has unfortunately been blocked to watch this you need to complete a free questionnaire.
  ","
  Grow the fuck up.
  "
852911,"
   If you could visit the past or the future, which would you choose and where would you go?
  ","
  Future, back to.. Or well, future to my 2021 home, husband, and kids.
  "
852912,"
   If you could have lunch with 5 people dead or alive who would it be?
  ","
  John, Mom, Benny the vampire, Jessica, and Kevin.
  "
852913,"
   Somebody sent me something about you, its page with video that somebody turn on live.  In this video is girl who insults you. You must see this and check it. you can find this in my questions. This page has unfortunately been blocked to watch this you need to complete a free questionnaire.
  ","
  How about grow the fuck up and stop spamming people.
  "
852914,"
   What is your favorite thing in your room?
  ","
  A picture of baby Sammy, me, dad, and Mary.
  "
852915,"
   If you could meet any person, alive or dead, who would it be and why?
  ","
  My adoptive mom, Mary. I liked her a lot and my own mom Siren.
  "
852916,"
   What annoys you the most?
  ","
  When the people you aren't following for a reason ask you to follow them multiple times
  "
