,Question,Answer
713412,"

    @AbhinayShakya
   
   he would make love to your feet
  ","
  Sureee
  "
713413,"
   Hi how are you ashleigh❤
  ","
  I'm good💞
  "
713414,"
   He probs sent a pic of his skinny knob to your insta
  ","
  Nahh
  "
713415,"
   Lol well im part Indian myself, and i cant believe my eyes here, no wonder Indian guys get a bad reputation, look at all this perverted shite 😫😒
  ","
  Lmfao😂😂
  "
713416,"

    @AbhinayShakya
   
   He thinks your feet are sexy too
  ","
  😂😂😂
  "
713417,"
   So this is where all the creepy indian boys are at!  What a disgrace 😒😧
  ","
  Lmfao
  "
713418,"
   Ik check ur pm😂😈😈
  ","
  Okayy😂😂
  "
713419,"
   Come whrre 😈😈😈
  ","
  😂😂😂 I'm on there
  "
713420,"
   Thn whrre😈😈😏
  ","
  Maybe I'll come on
  "
713421,"
   Come on insta thn😈😈😈
  ","
  Nahhh
  "
713422,"
   Here
  ","
  Suree😂😉
  "
713423,"
   Here
  ","
  What do you wanna show me?
  "
713424,"
   Here
  ","
  Yes it is.. and go ahead it's all yours
  "
713425,"
   Here
  ","
  Hmm maybe if that's what you want😉
  "
713426,"
   Haha baby.. it will be more fun if we talk question to question as it will look cheap for you n for me too 😈❤❤
  ","
  Ehhh but it's fun😘
  "
713427,"
   Body pic?
  ","
  No
  "
713428,"
   Ever tasted it when he finshed it
  ","
  Yes
  "
713429,"
   Here😈😈
  ","
  Hmm do it💞
  "
713430,"
   Do you want kids
  ","
  Yeah
  "
713431,"
   Are you going to have b day sex
  ","
  Maybe😉
  "
713432,"
   Here
  ","
  Suree about that? 😂😉 or am I going to have to find out for myself ?
  "
713433,"
   Do u like it deeper n faster??😈😈😈
  ","
  Yeah
  "
713434,"
   Do you like fast or slow
  ","
  Fast
  "
713435,"
   Thn where 😈😈😈
  ","
  Hmmm I don't know🙄
  "
713436,"
   Did sex hurt first time
  ","
  A little
  "
713437,"
   Fav fruit
  ","
  Apples
  "
713438,"
   Haha where babe¿😈😈 Sc??
  ","
  Nahh😉
  "
713439,"
   So you've been with 4 people
  ","
  Yes
  "
713440,"
   Here
  ","
  Maybe🙄
  "
713441,"
   Post here haha
  ","
  It will😂😂 unless you just wanna leave in there
  "
713442,"
   Here❤❤😈😈
  ","
  Yeah😉
  "
713443,"
   Like you, i also feel horny all the tim3😈😈❤❤😂😂
  ","
  Oh really?
  "
713444,"
   How many d have  you seen
  ","
  4
  "
713445,"
   Post here,😂😂😈
  ","
  😂😂 hmm😉🙄
  "
713446,"
   Can we be friends
  ","
  No😂
  "
713447,"
   Does it feel weird
  ","
  No
  "
713448,"
   Post here😈😈😂
  ","
  I'd let you😉😂
  "
713449,"
   Do you feel it when  they finish in you
  ","
  Sometimes
  "
713450,"
   You will love it?😈😈😈❤❤
  ","
  Yeah🙄
  "
713451,"
   So you've always finished has anyone ever finished inside of you
  ","
  Yeah
  "
713452,"
   Ever done it but never finished
  ","
  Nope
  "
713453,"
   Haha babe we can do everywhere we can do and we can feel like😂😈😈... ❤❤
  ","
  Omfg😂 suree I guess
  "
713454,"
   Weirdest place you've done it
  ","
  Car
  "
713455,"

    https://ask.fm/AshleighRBenson/answer/142254898256?utm_source=copy_link&utm_medium=android
   
   talking about this shit😂😂
  ","
  I know
  "
713456,"
   Wtf😂😂😂😂 man my name in your wall duh😂😂😂😂😂😂😂😂😂😂😂😂
  ","
  It always is🙄
  "
713457,"
   Do you love abhinay
  ","
  As a friend
  "
713458,"
   Dont make me realize that thing... I want to love u more thn him.. just beyond that
  ","
  Suree😂
  "
713459,"
   good i love youuuu
  ","
  I don't love you
  "
713460,"
   I JUST WANT A WINKY FACE AND A HEART TOO.
  ","
  😉💞
  "
713461,"
   You're sexxyyyy ;) major bon er !!
  ","
  Okayy
  "
713462,"
   Why tf u r not here or im not there mahn❤❤❤❤ you made me fall ash❤❤❤ .. i really want to love you protect you...
  ","
  Awww, but my boyfriend already does that😂😂
  "
713463,"
   I want u everytime my love❤❤
  ","
  Suree ya do🙄😉
  "
713464,"
   Pretty eyes man
  ","
  Thanks
  "
713465,"
   pap of ur stomach
  ","
  No
  "
713466,"
   U r the hottest ash❤❤❤ seriously... I wish i could love you😫
  ","
  Awww 💞 maybe sometime
  "
713467,"
   Damn you are so hot ashleigh❤❤❤❤❤ ilysm
  ","
  Ehhh not really, but if you say so😉
  "
713468,"
   Fuck your last pic❤❤❤ damn dude.. i want u now ilu ❤😈
  ","
  😂😂it was from 4 months ago
  "
713469,"
   Should i leave ??😐😐
  ","
  Noooo😂 you're cool
  "
713470,"
   ur nice to all the pervs
  ","
  I know😂
  "
713471,"
   What does it look llikeeeeee your bikini bod
  ","
  Byeee
  "
713472,"
   so you answer all these sx questions but i cant have a hug.
  ","
  I'm not a hugger
  "
713473,"
   Is your bikini body nice? :)
  ","
  Suree
  "
713474,"
   may i have a hug
  ","
  No
  "
713475,"
   Isn't it?😂 Reply here of my last question 😂
  ","
  Maybe🙄
  "
713476,"
   i told you he's a perv
  ","
  Ehhh I'm used to it
  "
713477,"
   Haha it would be fun with you on bed😂😂😈😈😈❤❤
  ","
  You wouldn't know🙄
  "
713478,"
   Do you get horny a lot
  ","
  Maybe🙄
  "
713479,"
   What were you thinking when you first did it
  ","
  I don't remember
  "
713480,"
   😏😏😏 u r ignoring me now
  ","
  No I'm not
  "
713481,"
   Do you moan when you do it
  ","
  Maybe🙄
  "
713482,"
   Where do you work
  ","
  At a place
  "
713483,"
   Do you have any tattoos
  ","
  No
  "
713484,"
   Do you have a job
  ","
  Yess
  "
