,Question,Answer
750960,"
   your bottom needs a good smacking.
  ","
  Your face needs to scraped against the concrete
  "
750961,"
   Clearly it bothers anons. Mommy didn’t give them enough love.
  ","
  Lmfao ; I wonder how they act when someone doesn’t reply back to them 😭😂
  "
750962,"
   Damn. They pressed. I’m the WORST texter ever. I reply in my head but I forget to irl 😂
  ","
  Honestly I do the same or I walk away and forget .
  
  I know it doesn’t bother you lol.
  "
750963,"
   What were you guys talking about?
  ","
  She said something about herself.
  
  Lol.
  "
750964,"
   Why you ignoring lauren?
  ","
  Nobody is ignoring anyone .
  
  She’s not hurt over it . So why are you? Sometimes she doesn’t reply back to me. It’s okay . Lmao.
  "
750965,"
   What time do you usually go to bed?
  ","
  Idk. It’s always random
  "
750966,"
   Do you have air conditioning
  ","
  Yeah in my room only.
  "
750967,"
   Your relationship is goals 🔥
  ","
  Lol. Nobody is goals but thanks
  "
750968,"
   Does ur boyfriends mom finally like you?
  ","
  We’re civil but that’s probably about it rn
  "
750969,"
   It’s amazing how some people have no faith in relationships anymore.
  ","
  I know right .
  
  Lonely people out there
  "
750970,"
   What are your thoughts on online dating?
  ","
  You ask this all the time .
  
  It’s not my cup of tea and I believe they don’t last . They’re more forced . Unless you take the time out to go visit them every so often
  "
750971,"
   How do you know?
  ","
  Because I obviously trust him & obviously wants to be with me.
  "
750972,"
   You’re a fool
  ","
  And you’re stupid
  "
750973,"
   PAP of the sunset today? Or PAP of the sunset from a previous day!
  ","
  ❤️
  "
750974,"
   Your body is goals
  ","
  Keep being nosey guys 😈🥴
  "
750975,"
   What is one thing you will never do again?
  ","
  I can’t say. I can’t tell the future and sometimes we tend the repeat our mistakes
  "
750976,"
   Nah you're here for attention but your sixhead gets you enough of that
  ","
  Thanks 😇
  "
750977,"
   Are y'all ever gonna move in together
  ","
  We already lived together for 6 years LOL.
  "
750978,"
   Well I just asked one. Learn to read fivehead
  ","
  That’s a conversation starter and I’m not here for those
  "
750979,"
   What color is ur phone case?
  ","
  Yellow. But in itching to get a orange one like the one I have
  "
750980,"
   Why don't u live with ur bf
  ","
  Because I don’t????
  "
750981,"
   Who does ur bf live with
  ","
  His mom?
  "
750982,"
   Would u leave Greg if he cheated on u
  ","
  That’s not something I think about because he wouldn’t 🤷🏽‍♀️
  "
750983,"
   How often does ur son see his dad?
  ","
  Ya know we’re together right . So he sees him often . Whenever he wants lmao. No set days because we’re together and live 3 houses down from each other
  "
750984,"
   When you imagine yourself as really, really relaxed and happy, what are you doing?
  ","
  Smoking & being alone
  "
750985,"
   Where’s kasey 😂
  ","
  I’m not her keeper
  "
750986,"
   I thought you guys lived together
  ","
  Nope.
  "
750987,"
   When’s the last time you saw ur man
  ","
  Earlier today for a lil
  "
750988,"
   What inspires you?
  ","
  My kids
  "
750989,"
   What's up fivehead
  ","
  Do you have a question?
  "
750990,"
   Where’s ur bf?
  ","
  He’s home I’m assuming. Lol
  "
750991,"
   When will you be 25?
  ","
  In Nov
  "
750992,"
   do you like curiouscat or ask better? why?
  ","
  I like ask better . & I think that’s because nobody really knows much about that site & I hardly get any questions on that site
  "
750993,"
   what’s ur opinion on pickles?
  ","
  I have to be in the mood for them. Lol.
  "
750994,"
   what’s ur opinion on Donald Trump?
  ","
  I don’t pay him much mind.
  "
750995,"
   That’s racist
  ","
  But not what they said?
  
  Sad sad world we live in.
  "
750996,"
   She’ll be back in an hour when she realizes she has no life without ask.
  ","
  And when she needs the attention she so desperately needs.
  "
750997,"
   Kasey and Italy both gone? Whaaaaat? 😂😂😂
  ","
  Lmfaooo ; awe she finally deactivated
  "
750998,"
   leave Kasey alone
  ","
  “lEaVe kAsEY aLoNe”
  "
750999,"
   Have you ever used a meal kit delivery service like Hello Fresh, Blue Apron?
  ","
  No
  "
751000,"
   there’s a video going around about a brawl between multiple adults in disneyland (
   
    https://youtu.be/7RBWuYFeg9Y
   
   ) ⬅️ video provided !

have you seen it ? what do you think of people who fight in a public setting around children ?
  ","
  I’ve never seen it .
  
  But honestly I’m outraged. That’s unacceptable tbh. No grown people should ever be fighting around small children or let alone at a theme park full of kids / people . Such a terrible look & makes me cringe
  "
751001,"
   How are you & your man?
  ","
  We’re good
  "
751002,"
   What’s your daughters name?
  ","
  I can’t wait to get my wrist tattoo that says “Joy” ❤️.
  
  That’s her middle name btw
  "
751003,"
   Are you in love?
  ","
  I definitely am
  "
751004,"
   Yay you’re #7 in America
  ","
  I’m trynna get on the top #5 🙃
  "
751005,"
   Hence the fan pages. Okay I get it now.
  ","
  She’s probably behind it 🤷🏽‍♀️
  "
751006,"
   Have you ever been crabbing
  ","
  Yes. Once
  "
751007,"
   💵💵💵💵💵 *throwing racks at you*
  ","
  *smack dat ass*
  "
751008,"
   You’re a hater. Stop picking on Kasey. She is curvy
  ","
  Lmfao. 🤧.
  
  That was a good joke
  "
751009,"
   What’s your job?
  ","
  I’m a stripper
  "
751010,"
   How much fun is the 'Kiki challenge':-)? Have you done it yet?
  ","
  How do I get my coins up there lmao.
  
  Give me all y’all coins 😇
  "
751011,"
   would u and the person/people u live w have been friends in high school, if u were non-related peers? (u and ur roommate, u and he husband, u and ur mom, whatever.)
  ","
  Lmao no
  "
751012,"
   I’m under the impression that there’s only good looking people in LA.
  ","
  Ask meh whatever you want guys 😈
  "
751013,"
   That’s a good saying
  ","
  Gee, thanks
  "
751014,"
   Did Greg cheat on you
  ","
  Has nothing to do with our relationship. Lmao
  "
751015,"
   Why?
  ","
  Extremely personal
  "
751016,"
   You’re rude asf.
  ","
  Thanks
  "
751017,"
   What is one thing that you wish more people understood?
  ","
  There’s more to life
  "
751018,"
   Can TV make us stupid?
  ","
  Probably lmao
  "
751019,"
   Where would you bury your treasure if you had some?
  ","
  If I had some I wouldn’t tell anyone besides my kids when they’re older and my man
  "
751020,"
   Do you have good friends from your very childhood?
  ","
  I have zero friends
  "
751021,"
   Last time you cried
  ","
  Last Tuesday
  "
751022,"
   How many countries have you visited?
  ","
  Only 1
  "
