,Question,Answer
568584,"
   a: 8
  ","
  Obrigada. s2
  "
568585,"
   0-10 7
  ","
  Obrigada. s2
  "
568586,"
   Obrigada por me receberem tao bem ^^ eu estou com uma amiga *-* entao, e como estao? #Patinho
  ","
  Ahah.
  
  ~ Doente.
  "
568587,"
   a: 8,5 :)
  ","
  Obrigada. s2
  "
568588,"
   8,5 :) conhecia :)
  ","
  Obrigada e podes. s2
  "
568589,"
   0-10? 8.5 *
  ","
  Obrigada. s2
  "
568590,"
   a: 9 :)
  ","
  Obrigada. s2
  "
568591,"
   a: 10 (:
  ","
  Obrigada. s2
  "
568592,"
   a: 8
  ","
  Obrigada. s2
  "
568593,"
   av. 7
  ","
  Obrigada. s2
  "
568594,"
   Ola, eu sou um novo adm da ask, e espero que a gente se venha a divertir muito, vou~assinar como #Patinho ^^ Ja agora, o que andam voces a fazer ? *-* #Patinho
  ","
  Olá olá. s2
  
  ~ Comer.
  "
568595,"
   a: 8,5 (:
  ","
  Obrigada. s2
  "
568596,"
   e:gira :3
  ","
  Obrigada. s2
  "
568597,"
   Boa tarde :3 O meu tele caiu á água hoje , já vos aconteceu ? :3 Se sim , digam me cenas para lhe tirar agora :3 Dizem que dá se poseremos em arroz durante 1 dia :3
  ","
  Tira a bateria, cartão de memória e o cartão do telemóvel para ambos secarem, normalmente se eu fosse a ti deixava-o assim durante uns 2 ou 4 dias, pois se esteve muito tempo na água, ou foi numa possa de água na rua grande, é capaz de estar cheio dela. xdddd Mas não, não me aconteceu, mas aconteceu ao meu pai e o telemóvel voltou a funcionar passado 3 dias. ;-; E caiu na sanita. ;---;
  "
568598,"
   Dedique algo a alguém especial:
  ","
  Só és importante, por tornares as coisas diferentes, únicas e especiais.
  "
568599,"
   kkkkk
  ","
  :D
  "
568600,"
   Dedique algo a alguém que odeia:
  ","
  Quem odeia, admira.
  "
568601,"
   Sobre Séries: Faça um pequeno resumo da série:
  ","
  Apocalipse Zombie.
  "
568602,"
   Sobre Séries: Quem é o seu personagem favorito?
  ","
  Zombie.
  "
568603,"
   Sobre Séries: Qual é a sua favorita?
  ","
  TWD
  "
568604,"
   adeus
  ","
  See ya.
  "
568605,"
   Uma frase ☮
  ","
  Sobe, mas sempre com consciência de que um dia irás cair.
  "
568606,"
   O que te ajuda a dormir melhor?
  ","
  Som da chuva.
  "
568607,"
   oiii
  ","
  Olá.
  "
568608,"
   Sobre Séries: Do que se trata a série?
  ","
  Zombies.
  "
568609,"
   Sobre Séries: Qual sua temporada favorita?
  ","
  Primeira do TWD
  "
568610,"
   Bom dia babes, tudo bem? vou mandar umas perguntas agora ta?
  ","
  Boas. s2
  
  ~ Sim.
  "
568611,"
   Não saiu de casa sem _______________ .  ☮
  ","
  O telemóvel.
  "
568612,"
   Dedique algo a alguém que está longe:
  ","
  Distância não significa nada.
  "
568613,"
   ♥ Oque vcs nunca perdoariam ?
  ","
  Traição.
  "
568614,"
   30 likes ao primeiro 10 ao segundo e 2 ao resto
  ","
  Ok.
  
  ~Quero Anónimos~
  "
568615,"
   Segui
  ","
  Obrigado.
  "
568616,"
   -  Seeguindoo .... ><><
  ","
  Obrigado.
  "
568617,"
   a: 9
  ","
  Obrigada. s2
  "
568618,"
   anonimas ffofas  procuram se
  ","
  Também quero. xd
  "
568619,"
   Não consigo seguir em frente porque és TU o meu destino*.*
  ","
  Que querido. o.ô
  "
568620,"
   +
  ","
  Velha.
  "
568621,"
   ❥ Aguá ou Suco ?
  ","
  Água.
  "
568622,"
   Espaço para foto vossa.
  ","
  R.I.P. cabelo.
  "
568623,"

    http://ask.fm/dimcm/answer/118923289887
   
   fiquem com uma foto minha e divirtam-se. ;-;
  ","
  Ahahah, que gira.
  "
568624,"
   A coisa mais importante p'ra ti é? askme
  ","
  Eu.
  "
568625,"
   A coisa mais importante p'ra ti é? askme
  ","
  Eu.
  "
568626,"
   Sou a única a tratar os animais como bebes? ;-;
  ","
  Não és. s2
  "
568627,"
   Ninguém faz ideia do quanto eu amo o meu hamster, ninguém mesmo. ;-; espaço livre para animais.
  ","
  Eu amo o meu cão. *-*
  "
568628,"
   e. linda
  ","
  Obrigada.
  "
568629,"
   Quem tbm não gosta de desprezo?  '-.-'
  ","
  Eu.
  "
568630,"
   bom dia gente e boas aulas ♥
  ","
  Boas. s2
  "
568631,"
   és linda :o
  ","
  Obrigada. s2
  "
568632,"
   a. 9
  ","
  Obrigada. s2
  "
568633,"
   s2
  ","
  Ele é tão lindo.
  "
568634,"
   +
  ","
  •Time•Sad•Smile•
  "
568635,"
   A:9
  ","
  Obrigada. s2
  "
568636,"
   A-8,conhecia e passava
  ","
  Obrigada e podes conhecer. s2
  "
568637,"
   Que achas de ti!? :)
  ","
  Nada.
  "
568638,"
   tu cortaste bue o cabelo :O
  ","
  Foi-se todo.
  "
568639,"
   oi gata ;)
  ","
  Olá.
  "
568640,"
   Qual o pior presente que alguma vez recebeste?
  ","
  Meias.
  "
568641,"
   Se tens Tumblr *-* Claro,se gostares :
   
    http://feitonalinhadesintra.tumblr.com/
   
","

   http://psico--scene.tumblr.com/
  
"
568642,"
   Bom dia e boas aulas. <3
  ","
  Boas. s2
  
  ~ Nem fui há escola.
  "
568643,"
   Avalias , dizes se conhecias , passavas , ou namoravas a todos ?
  ","
  Ok.
  "
568644,"
   Qual o sítio mais frio onde estiveste e qual era a temperatura?
  ","
  Sei lá.
  "
568645,"
   Adicionem-me no snap: dimcm e venham falar comigo. D:
  ","
  unicorniia_69
  "
568646,"
   Hmm okay .
  ","
  :D
  "
568647,"
   Sempre :D 
Qual e a tua musica favorita do ' The pretty reckles ' ?
  ","
  Não tenho favoritas.
  "
568648,"
   Tambem estou * 
xD enganei-me.
ps: Obrigado kk :$
  ","
  Ahah, tranquilo. xD
  "
