,Question,Answer
665136,"
   is love blind.........
or deaf.......
or both???
  ","
  When did love become a person with senses?
  "
665137,"
   you have a cute smile and beautiful lips
  ","
  Thank you ?
  "
665138,"
   Sprite or 7up?
  ","
  7-up
  
  It has more flavor to me
  "
665139,"
   Would you stick your hand in a guys pants to get him to do what you want?
  ","
  I need to eat a lot of bread today ugh I hate how things mold ?
  "
665140,"
   Sup cutie
  ","
  Nothing much ? hbu? ?
  "
665141,"
   Your belly looks really pretty ????
  ","
  Thank you ???
  "
665142,"
   yes it is?
  ","
  I started it, love it?
  "
665143,"
   I think that you can legitly claim New York City to be the ""capital of the world"" based on the fact that it houses the UN Headquarters.
  ","
  I wasn't kidding when I said Wall Street.. ???
  
  That place literally control all the economy, everything.
  
  But at the same time Vatican City has there own bank which has the most money in the world, I don't see how that's not the capital because holy shit  that's a lot of money. So idk it's all confusing.
  "
665144,"
   Why are you sad who hurt you let me give them a piece of my mind Im from cali and I can turn into a powerful ninja trained by master splinter HE HO HAAAA!!
  ","
  My uterus is beating me up ? you need to make it stop. NOW.
  "
665145,"
   give me some of that youth juice then sounds good
  ","
  You have to born with it sorry, it's just how God wants it.
  "
665146,"
   how come you're 21 and look like a kid ?
  ","
  Because I was born in the fountain of youth and when your disgusting, I'll still be looking like I'm 10 years younger than I am.
  
  Everyone always judges those who look young when there young? but they won't be judging when I'm 50 looking like I'm 30
  "
665147,"
   ?❤ ""Don’t wake up with the regret of what you couldn’t accomplish yesterday. Wake up while thinking about what you will be able to achieve today."" ❤? Good morning! ??
  ","
  ❤️have a beautiful day❤️
  "
665148,"
   its not about culture nor bout close minded its about how pure you are pure in sense talking good stuffs and avoiding bad language
  ","
  Well I think your culture is one of those opinionated one, who thinks they need to tell people what they should and shouldn't talk about when it's BIOLOGY.
  
  So are you telling me in school it's ""bad language"" and ""impure"" for a girl to discuss poop in Heath class as well?
  
  It's a personal opinion and how comfortable someone is with themselves. It doesn't make someone impure just because they are talking about what comes out of there bum, and it sure as hell not bad language since you know doctors talk about poop all day.
  "
665149,"
   my research continues then?
  ","
  That's good ?
  "
665150,"
   starbucks dont fullfill my thirst nor does water?
  ","
  And nothing on here will either. So?
  "
665151,"
   If I dig down will I get to Australia? ?
  ","
  No you'd probably figure out what hell is going to be like.
  "
665152,"
   If you could wake up tomorrow in the body of someone else, who would you pick and what would you do?
  ","
  Snoop dogg❤️❤️
  
  He's a pimp and I would probably just smoke all his weed ?
  "
665153,"
   i want something which could fullfill my thirst
  ","
  You're at the wrong place.
  
  Starbucks is down the street ?
  "
665154,"
   but its not something you talk openly shameless girl??
  ","
  Depends on which culture you're from.
  
  There's a lot of Asian cultures who believe it's stupid to be shy and quiet about the way of life.
  
  My grandpa would use to say I need to poop in Japanese before he would go.
  
  South Koreans especially will literally scream out they have to poop because why should we all be so closed minded about something we all do? Something every creature has to do?
  "
665155,"
   Good looking :)
  ","
  Says the pretty boy ?
  
  Thank you so much ?
  "
665156,"
   If you could only have one meal for the rest of your life, what would it be?
  ","
  Pasta ??
  "
665157,"
   Oh true that makes sense lol
  ","
  Yes?
  "
665158,"
   Why was that anon asking if you pooped? ?
  ","
  Everybody poops
  "
665159,"
   Tbh? You're really pretty and just randomly liked my answers
  ","
  Thank you??
  
  I have to spam those who like my answers.
  "
665160,"
   Could you invent a new ice cream flavor?
  ","
  Yes it would be the flavor of boom. ? with little chocolate Carmel bombs in it ?
  "
665161,"
   how are you today?
  ","
  Oooooowwwwww
  
  My uterus fucking kills.
  
  Wtf.
  "
665162,"
   Why can't iOS 10 come out already
  ","
  Why, so there can me more ways for your phone to get fucked up?
  
  I swear every update, something goes wrong.
  "
665163,"
   hello
  ","
  Good morning ☀️
  "
665164,"
   Smh
  ","
  ???
  "
665165,"
   sup
  ","
  I haven't felt this sad for awhile.
  "
665166,"
   You're really lovely ?
  ","
  Thank you? this made me feel better
  "
665167,"
   ????
  ","
  ????
  "
665168,"
   I'm here
  ","
  I thought I wanted to be on but now I'm not too sure
  "
665169,"
   North Africa is the rich part of Africa though?
  ","
  Yeah cause it's more city based.
  
  I'm not looking for that. My friend has family who lives in South Africa because he is South African and he has a ""server"" for every little thing. They have like 20+ bedroom house, there own security team. Literally everything and anything he's got it. That's the kind of lifestyle I want, plantation farm shit but I don't do any of it lol
  
  I must have lived on a plantation in my passed life or something
  "
665170,"
   get back on I'm gonna die
  ","
  IM ON
  "
665171,"
   You are adorable
  ","
  Thanks ?
  "
665172,"
   Where should you never take a first date?
  ","
  McDonald's
  "
