,Question,Answer
225288,"
   Have you tried any plant-based meat?
  ","
  Yeah I can dig it
  "
225289,"
   Would you ever take a vow of silence?
  ","
  Don’t see the reason. There have been whole days where I’m by myself and I don’t speak, so I know it wouldn’t be overly difficult in those situations, but most of the time I’m around people where I need to be able to vocalize things
  "
225290,"
   What is ur favourite food 🍲?
  ","
  Stuffed pasta shells! I love how the ricotta cheese and tomato sauce taste together. Italian food is awesome and very filling. What’s your fav dish?
  "
225291,"
   Wow that's a really weird middle name.
  ","
  Hilarious..
  "
225292,"
   Wanna join my polygamous cult? We have cookies!
  ","
  No I’m good
  "
225293,"
   Sleep , eat , wash clothes, hangout and go fishing 🎣
  ","
  Nice :)
  "
225294,"
   yo
  ","
  Hi
  "
225295,"
   Are you dating that sexy Asian guy?
  ","
  No idea what you’re talking about. This is my bf and his horsie 💕
  "
225296,"
   You should .. it’s your goals for that year
  ","
  I know my goals :) don’t need a vision board to figure them out this year
  "
225297,"
   If married where were your proposal located?
  ","
  Don’t have a place in mind really. I feel like if I set it all up in my head a certain way I’ll go into it having expectations that won’t be met and I’ll just ruin it for myself. I’ll be happy however it happens and wherever I am 😊
  "
225298,"
   How many have made visions boards for  2021?
  ","
  Never made a vision board lol
  "
225299,"
   What is your middle name?
  ","
  Not telling. Bad luck
  "
225300,"
   What would you do if you won the Publisher's Clearinghouse Sweepstakes?\
  ","
  No idea what that is tbh
  "
225301,"
   What do u do in ur holidays? 🐥
  ","
  Hope for snow, drink warm coffee and hot chocolate, decorate the house, wrap gifts, make cookies, watch movies with my family, and listen to Christmas music. Hbu?
  "
225302,"
   Who won your state, Trump or Biden?
  ","
  Biden
  "
225303,"
   How would you rate TikTok?
  ","
  I don’t use tiktok
  "
225304,"
   Have you really, truly found a bra that fits?
  ","
  Not interested in discussing that
  "
225305,"
   Why are you so regular?
  ","
  ? What do you mean by that
  "
225306,"
   💀Halloween👻 
or
🎄Christmas🎅🏻?
  ","
  Halloween 🎃
  "
225307,"
   Any piercings
  ","
  Ears and belly button
  "
225308,"
   How are you tonight ?
  ","
  Can’t sleep :/
  "
225309,"
   Is this app still as popular as it was a couple years ago? Wondering from the community :)
  ","
  Nah. Peak popularly was in middle school years
  "
225310,"
   Do you miss an ex?
  ","
  Fuck no lol
  "
225311,"
   Has anybody heard of a YouTuber name Jennxpenn? 🤷🏼‍♀️
  ","
  Nope
  "
225312,"
   What did you have for breakfast this morning?
  ","
  Nothing, I don’t usually eat breakfast
  "
225313,"
   When purchasing things online do you go by ratings?
  ","
  Ratings and what’s the best price for what I’m trying to buy
  "
225314,"
   Happy Friday everyone
  ","
  ✌🏻 ☮️
  "
225315,"
   Which cereal is your favorite?
  ","
  Either captain crunch or lucky charms. It’s a pretty even tie
  "
225316,"
   If you could chose only one breakfast food to eat everyday what would it be?
  ","
  Cereal
  "
225317,"
   seriously its on vice news, and I have a unicorn to sell their customers lol
  ","
  No idea what that is lol so no
  "
225318,"
   What is your favorite type of ice cream cone: cake cone or sugar cone?
  ","
  Waffle cone
  "
225319,"
   Can you deliberately cough real hard with a mask on, 6ft away from a employee in a store as a joke during the Corona pandemic?
  ","
  You can, it’s a free country, but you’re just gonna make people uncomfortable and you’re gonna look like a jerk so I don’t see the point
  "
225320,"
   Converse or Vans?
  ","
  Vans
  "
225321,"
   What do you think about company selling thin air in a can?would you buy it? 😂😂😂
  ","
  ?? Thin air in a can? What?
  "
225322,"
   Have you ever been on a silly diet?
  ","
  No
  "
225323,"
   What do you cook for yourself ? If you feel like to cook
  ","
  Whatever’s in the pantry. I don’t like cooking
  "
225324,"
   What would you do if you had a week to live?
  ","
  Whatever I wanted
  "
225325,"
   take care 💞
  ","
  You too
  "
225326,"
   What does the word ""home"" mean to you? Is it a person, place, or...?
  ","
  Sandy! He’s my home 💕
  
  Mom always said “home is where the military sends you” lol cause both parents are navy veterans and we did a LOT of moving when I was a little kid before my dad retired. She instilled in me the idea that home is where your loved ones are. You can bloom wherever you’re planted if you only decide to
  "
225327,"
   Do you like green bean casserole?
  ","
  Don’t know if I’ve ever tried it
  "
225328,"
   very nice💕
  ","
  ☺️
  "
225329,"
   Do you think that everyone should write some thank you notes to their loved ones before the year ends?
  ","
  Totally. Thank you notes are cute
  "
225330,"
   What are your go-to stores when you’re at the mall?
  ","
  I don’t go to the mall very often but in highschool it was always Forever 21, Hollister, American Eagle, Papaya, and Pacsun
  "
225331,"
   Which dog breed do you resemble the most by appearance/character?
  ","
  Shiba Inu in character, Husky in looks
  "
225332,"
   Out of the fours seasons, which one is your favorite?
(Spring, Summer, Fall, Winter)
  ","
  Fall
  "
225333,"
   what’s your favorite sitcom and what’s your favorite sci-fi show?
  ","
  No idea
  "
225334,"
   .
  ","
  Dotttt
  "
225335,"
   ☀️
  ","
  ☀️
  "
225336,"
   aww.. really powerful boy he is😎
  ","
  Pic sure makes him look that way! He was a real sweetie, so gentle. This was the highest we ever jumped I think. It was a good day :)
  "
225337,"
   Any plans for New Year’s Eve ?
  ","
  Gonna see the bf and some friends and do a socially distanced bonfire party with cornhole and maybe beer pong
  "
225338,"
   oh thats awesome 😍
  ","
  Thanks :) Horse’s name was Archie. He was an ex polo pony. Loved to jump him. He was always a challenge. If you didn’t set him up just right for the fence he’d throw on the brakes and dump you on your head 😅 happened to me more than once
  "
225339,"
   When you close your eyes and you want to relax . Where do you envision yourself at? .
  ","
  A summertime field with yellow flowers and horse grazing in the distance
  "
225340,"
   Who was the last person you saw?
  ","
  My dad right before I walked to my room to go to bed
  "
225341,"
   U have gf?😱
  ","
  I have a bf lol
  "
225342,"
   How many times have you ever been to court?
  ","
  Traffic court one time to clear my driving record after getting a ticket
  "
225343,"
   It has been said that the strongest beer in the world has an alcohol content of 67.5% 👀 would you ever try at least the tiniest bit of this beer?🤔🍺
  ","
  Bet it tastes terrible but I’d try it
  "
225344,"
   Such a pretty boi!!
  ","
  Thank you! He’s the bestest boy for sure ☺️
  "
225345,"
   Do you watch Nailed It and Sugar Rush on Netflix?
  ","
  Nope never heard of it
  "
225346,"
   Do you like the ocean?
  ","
  Definitely 🌊
  "
225347,"
   Favorite weather? 🦋
  ","
  Springtime weather
  "
225348,"
   What's your ""everyday carry""? How has the pandemic changed what items you always take with you? 📱💄🔑
  ","
  Only thing I’ve added was a mask. Always have my phone, keys, and wallet
  "
225349,"
   Do you like baking cookies?
  ","
  Yeah it’s fun
  "
225350,"
   If you could pick anyone in the world,who would you pick for president?
  ","
  Nugget for president!
  "
225351,"

    https://youtu.be/D_xpPG7nqLk
   
","
  I don’t open random links
  "
225352,"
   Where do you shop the most?
  ","
  The grocery store
  "
225353,"
   What is something you wish you were better at?
  ","
  Singing lol
  "
225354,"

    https://youtu.be/U5nJhOa222Y
   
","
  I don’t open links
  "
225355,"
   What do you want for Christmas?
  ","
  Money for my savings tbh
  "
225356,"
   Do you know the difference between a nice guy and a good dude?
  ","
  They can be one and the same or vastly different
  "
225357,"
   am i chatting with the horse?
  ","
  ...what? No you’re talking to Nikki obviously
  "
225358,"
   are there any towns you have been to that you would describe as “creepy”
  ","
  No I don’t think so
  "
225359,"
   Saddest death of 2020?
  ","
  The 311k Americans that died of covid :/
  "
