,Question,Answer
804600,"
   wyd now whats for dinner today?
  ","
  i'm sitting outside lol. and i'm not sure what's for dinner.
  "
804601,"
   Nice body
  ","
  i got it like that lol
  "
804602,"
   That's so cute
  ","
  i know lol i wasn't even suppose to know about it.
  "
804603,"
   Did he ever buy you a ring?
  ","
  yes he did. he's hiding tho aha. he's waiting for the perfect moment
  "
804604,"
   Why are you mad?
  ","
  bc ppl are so stupid && annoying that's all
  "
804605,"
   What phone do you have?
  ","
  iPhone 6s plus
  "
804606,"
   You don't know what sex is?
  ","
  i'm sorry i don't ://
  "
804607,"
   How many times your boyfriend fuck you per week
  ","
  what is this sex you speak of? 😱
  "
804608,"
   What type of questions do you like?
  ","
  any type tbh. if it's to sexual i'll delete or give a stupid response lmao
  "
804609,"
   Is it disgusting ?!
  ","
  maybe, maybe not who knows lmao
  "
804610,"
   Why go girls love sucking......
  ","
  i can't speak for all females
  "
804611,"
   exactly ! only you know when you are ready and no one can change that. I was just interested on your point of view which is pretty agreeable. Atleast you have a kid you know? Just dont let people bash you , you are an amazing mother always remember that people on here just got nothing better to do
  ","
  thank you! see anons should be more like you aha. 😊😊😊😊😊
  "
804612,"
   I'm sorry if that word hurtful or a bad word but I wonder why did hated that word while a lot of girls loveit and be very happy to listen it !?!
  ","
  bc i have a boyfriend and it's disrespect . i'm not like other females tbh some like it some done
  "
804613,"
   Completely understand !  its just crazy how at 18 you were more ready you know? plus i guess deep down everyone in a serious relatinship wants a lil baby because of all that love and stuff you have for one another
  ","
  ppl might say that's stupid to have 1 at 18 but not 21 but nobody knows anybody's situation all ppl can do is judge. if i was to say i'm not ready to bring another baby into the world but say i do then i'll get hate. so it's never a win win situation especially on this site
  "
804614,"
   Haha no because I haven't said any bad thing.
  ","
  you just said from a sexy like me. sorry but don't call me that or you'll be blocked 😇
  "
804615,"
   I know more than you hahahay but i want a recognition from a sexy like you !
  ","
  wanna be blocked i see 😇
  "
804616,"
   ok two questions: #1 what made you not get one when you found out?
 
#2 knowing how you felt when you got pregnant with joseph how come you say if you were to get pregnant now you would have an abortion? dont you think you would feel attached and just keep it?
  ","
  bc i knew when i took all 6 test with my boyfriend we knew this is what we wanted. and we're not ready for another child especially not now. has nothing to do with money or anything. just i know in my heart we aren't ready for another little bean. and i don't want to bring another child into the world knowing we aren't ready.
  "
804617,"
   Haha so what does it mean then
  ","
  it obviously feels good.
  
  tbh if you don't know about sex your a little to young
  "
804618,"
   You look so freaking gorgeous without glasses
  ","
  thank you
  "
804619,"
   Have you ever had chick fil a before?
  ","
  nope i believe there's only one where i live and it's in NYC maybe i'm wrong lol. i heard it's good tho
  "
804620,"
   being that you believe in abortion , did that ever cross your mind? what made you keep the baby?
  ","
  never crossed my mind . my parents wanted us to get one but i couldn't and plus i was already 3 months along when i told them
  "
804621,"
   So why the girls shout and moan in porno while fucking
  ","
  that doesn't mean it hurts lmao.
  "
804622,"
   What do you like to get from ihop?
  ","
  lmfao omg i like total forgot bc we haven't been there in a while but i love Dennys
  "
804623,"
   Have you ever put Joceph in time out?
  ","
  yeah lmao he's almost 3 he's bad aha but he's just a typical 3 year old
  "
804624,"
   You are my absolute favorite 
(Recent)
  ","
  how freaking cute 😩💕😭
  "
804625,"
   What does Joceph like to get from ihop?
  ","
  pancakes with bacon.
  
  he use to like eggs but now he doesn't lol
  "
804626,"
   yayy for storytime ! lol do you remember her reaction like was she mad? and omg what did your dad say lol
  ","
  yeah she was mad and my dad was beyond mad and he didn't talk to me until i gave birth
  "
804627,"
   So why do you like sex although it gives you pain
  ","
  it doesn't give me pain and it shouldn't
  "
804628,"
   Do you wear mascara?
  ","
  i should but no
  "
804629,"
   Did you have any pregnancy symptoms when you found out you were pregnant?
  ","
  i had morning sickness bad. i only threw up once and that's when i ate all of my ihop came home and threw it all up lmao. come to find out Joseph loves ihop to this day 😂
  "
804630,"
   Do you think high end makeup is a waste of money?
  ","
  no
  "
804631,"
   how exactly did you tell your mom you were pregnant? can you go into detail ?😁
  ","
  i forgot tbh how we exactly told her but i know we were all 3 in the kitchen and i was crying and i fell to the floor and i believe my boyfriend told her then she said ""call your dad"" i said ""no mom i don't want to"" and i forgot the rest tbh
  "
804632,"
   You became pregnant by your mouth haha  and you was born by your mouth .you still virgin !!!! Lol
  ","
  how childish lmao but okay
  "
804633,"
   Yeah
  ","
  that's not a question lmao
  "
804634,"
   Are you virgin
  ","
  yes i am with a 2 1/2 year old son 😇 and a boyfriend of 5 years 😊
  "
804635,"
   Post a picture with a geotag filter from snapchat.
  ","
  i have this. i don't save those filters
  "
804636,"
   How did you get verified?
  ","
  i emailed ask a month ago
  "
804637,"
   Are you in love?
  ","
  i definitely am
  "
804638,"
   😂😂
  ","
  😂😂😂😹😹😹🙃🙃🙃
  "
804639,"
   Funny stuff
  ","
  i know i'm funny 😂😂
  "
804640,"
   ما حكينا شي حجة لا تؤاخذيني 😌
  ","
  english
  "
804641,"
   You should dye your hair this weekend
  ","
  i'm thinking about it tbh
  "
804642,"
   Do you have a favorite anon?
  ","
  i do lmao idk where they are now
  "
804643,"
   What are you doing?
  ","
  making pancakes for King Joseph
  "
804644,"
   Sounds like fun.
  ","
  it should be 😊😊😊😊
  "
804645,"
   Have you ever sneaked through you partner's phone in secret?  Did you like what you found out? 
Do you allow your partner to go through your phone?
  ","
  never had to do that bc i've always trust him. idc if he goes through mine. i don't have anything to hide
  "
