,Question,Answer
938700,"
   Yes I know...but why?
  ","
  Some people call me ""J"" bc my name starts with a J
  "
938701,"
   Favorite social media app?
  ","
  Instagram
  "
938702,"
   So my friend lost a bet and I wanna embarrass tf outta him so what are some things I could do to him of make him do ?
  ","
  Oh gosh, idk, I don't wanna be a part of this 😅😅
  "
938703,"
   Who does the author in a handful of dates the story portrays most sympathetically ?
  ","
  Sorry, what?
  "
938704,"
   Black...yeaaaaa I got it
  ","
  Yessss 😂😂
  "
938705,"
   Your behavior online to in real life
  ","
  Yeah, for some people I think there's definitely a big difference.
  "
938706,"
   Did you think all that and a bag of chips?  Were men calling you chips and smiling? If so it’s a negative
  ","
  Nah, it came from two of my younger cousins. We were all in the car going to my aunts and their dad has nicknames for them and so they were calling each other them and then decided that I needed a nickname too. I assume one of them came up with chips bc there was an empty bag of chips near us in the car and so they voted that that was gonna be my nickname. After that, it just kinda stuck, but I use it more for online things -- no one really calls me it, but I like it. It kinda reminds of like a computer chip bc I really love technology, so it's kinda fitting. A nickname that people call me a lot is ""J"" tho
  "
938707,"
   It’s my accent and I’m eating..haha
  ","
  Haha
  "
938708,"
   A famous quote that you completely disagree with:
  ","
  ""You can't really love someone else unless you really love yourself first""
  "
938709,"
   ,,
  ","
  I really want some root beer rn 🤔
  "
938710,"
   What’s your favorite old cartoon?
  ","
  I don't really know any ngl
  "
938711,"
   Hi💙
  ","
  hi
  "
938712,"
   There’s a pretty big difference in my opinion
  ","
  Difference to what?
  "
938713,"
   Double for life is the womb, this is our life, and the afterlife is after ur life...🤣🤣
  ","
  Assuming that you mean ""before"" instead of ""double,"" yeah I guess that makes sense...
  "
938714,"
   Yeah
  ","
  👌🏾👌🏾
  "
938715,"
   Agreed, I’ve been told I sound like that online but when you were face-to-face with me you see the passion rather than the asshole
  ","
  I try to be pretty authentic so as not to act differently online than I would be in person. Sometimes, I don't do a very good job of that, but I try 💯
  "
938716,"
   I guess. That’s why I question.
  ","
  Interesting question for sure.
  "
938717,"
   Do you have brothers?
  ","
  I do
  "
938718,"
   Favorite Chinese food
  ","
  Egg rolls maybe
  "
938719,"
   Would it be an issue if your friend has weed to smoke but has to ask you to borrow money for gas. And this is not the first time.
  ","
  It depends on whether it felt like this 'friend' was taking advantage of me or not. If they just want my money and they haven't even been paying me back, then yeah, it's become an issue. If they have the qualities of a good friend and I can tell they are really in need and that asking me for help is hard for them but they have no other choice, then yeah, I'd lend em money.
  "
938720,"
   rant about anything
  ","
  Today in DBT group the leader was asking us in what kinds of situations do our emotions 'fit the facts' and we were starting with fear. No one was saying anything so I decided to say what came first to my mind and I basically said ""when we see a snake we might experience fear"" and she was all like smiled and said ""I feel like that's more disgust,"" and I get how she may not wanna write that specifically down bc not everyone is afraid of snakes and there's not always a reason to be afraid of them (though some can be dangerous). But she could have at least accepted my idea as like ""if we see something that we think might hurt us or that we have a phobia for, we may experience fear."" I mean, that does fit the facts bc the fact is, we are afraid of snakes and so when we see one, it makes sense that we might experience fear. The dismissiveness of my suggestion just made me feel like 'why do I even bother speaking up in group... it gives me anxiety anyway and it just feels like the leaders have smth against whatever I have to say a lot of the time like maybe I just need to stay in the background' and that annoyed me bc I'm trying to work on my anxiety and it's like the world wants to keep giving me reasons on why I should feel uncomfortable... I know this is kinda unreasonable bc not everything we say is gonna be accepted, but it gets really frustrating when it feels like the ratio is really uneven. I think for this particular situation I just felt really invalidated afterward. I'm sure the leader didn't mean to make me feel that way, but she could have approached everything differently than just humiliating me bc I'm scared of snakes. After that, I just kinda tuned out for the rest of group, pretending to listen but really just chilling bc I just felt really frustrated with myself and the group and just life.
  "
938721,"
   What kind of things you can't tolerate most of all?
  ","
  Idk about ""most of all"" cus I'm not good with labeling superlatives on things in my life, but I really don't like people who are judgmental and stuck up
  "
938722,"
   who like me
  ","
  Huh?
  "
938723,"
   How's your New Year's resolution going? ☺
  ","
  Wack
  "
938724,"
   What triggers you ?
  ","
  Triggers me to do what?
  "
938725,"
   What makes someone a hero?
  ","
  If they save someone in any way
  "
938726,"
   Is what good?  If ur asking about that, ofc it is, I dont chase after things I don’t need in my life going forward
  ","
  I feel like an overly nice guy is not too bad of a thing to have
  "
938727,"
   Who else is tired of wearing mask 😷
  ","
  Ngl, I actually kinda like it. But I also am stuck in the house a lot so I don't have to wear it a whole lot. But for some rreason I feel more comfortable with it. Like more protected, not just from Covid, but life
  "
938728,"
   Favorite thing to do?
  ","
  These days I don't really have a favorite thing to do. I'm honestly finding it hard to have joy in anything
  "
938729,"
   Yes I will definitely dive into that for sure. You know what I’m talking about too...Especially the one with the crib in the room and u warped ur voice
  ","
  Nah bro, I got no idea what you talking about 🙄
  "
938730,"
   Well that’s good...So again where were we?
  ","
  Is it good though?
  "
938731,"
   Do you cuddle something when you go to bed
  ","
  I do haha
  "
938732,"
   It means you’re not a full meal, you’re not the main dish you always just be the chips on the side
  ","
  Wow, that's deep 😐 I never thought about it that way, but I guess that could be a reasonable interpretation.
  "
938733,"
   Is it white?
  ","
  Nope!
  "
938734,"
   How was your week?
  ","
  Wack asf. Felt sad, self-hatred, shame, frustration, anger, unmotivated, uncomfortable, hopeless and anxious a lot. I really want to have a good week sometime soon. One where I feel motivated and hopeful...
  "
938735,"
   Jenny - Studio Killers
  ","
  What is this?
  "
938736,"
   Purple?
  ","
  Nah, read the verse, it rhymes! 😂
  "
938737,"
   Which is the overly nice guy? Can’t be me, right?
  ","
  I don't have an ""overly nice guy"" in my life
  "
938738,"
   Be happy for this moment. This moment is your life
  ","
  Life sucks, not enough things to be happy about
  "
938739,"
   Pap of your socks
  ","
  I'm not wearing any rn
  "
938740,"
   What y’all doing?
  ","
  Answering questions and watching Fresh Prince of Bel Air
  "
938741,"
   Have you ever been to a real working farm with animals and crops? 🌽 🍎 🐮 🐔 🐷 🐴 🌾 🥔 🥕
  ","
  I have before
  "
938742,"
   Favorite color
  ","
  My favorite color, is a shade you might say /
  
  It's one of the colors for chess you might play /
  
  It goes with everything, brightness it lacks /
  
  My favorite color is for surely _ _ _ _ _! [guess!]
  "
938743,"
   Oh no it’s not over there was actually another addition to the war I haven’t even started yet. But that information is going to be the bat breaker
  ","
  😳
  "
938744,"
   I honestly feel like I’m gonna be alone forever 😭 I get attached to the wrong people and always end up giving the wrong ones a chance. Then a overly nice guy comes along and I can’t bring myself to like him. What’s wrong with me?
  ","
  Idk, but I have the same fear.
  "
938745,"
   Do you ever think about the money you don't have?
  ","
  Yeah, sometimes
  "
938746,"
   What’s Your Favorite Candy?
  ","
  Maybe sour patch kids
  "
938747,"
   yeah
  ","
  🤟🏾
  "
938748,"
   Finally ending this fucking cold war that you were suddenly losing pretty badly
  ","
  Oh. When did I end it? 🤔
  "
938749,"
   Wanna be friends?
  ","
  I haven't had much luck with friends on here in the past tbh...
  "
938750,"
   If there’s an afterlife can there be a beforelife?
  ","
  There's gotta be, right?
  "
938751,"
   Your hobby?
  ","
  I like to dance, I used to like drumming, playing piano is aight and I sometimes enjoy writing
  "
938752,"
   What's your favorite root vegetable?
  ","
  A carrot
  "
938753,"
   1 God is our refuge and strength, an ever-present help in trouble. Psalms 46:1
  ","
  Not for everyone apparently...
  "
938754,"
   So I hope you believe me, the men in my family do not like to address things that have already been addressed. That’s it, if I’m lucky enough for it to occur I’m not gonna fuck it up immediately.
  ","
  Wait, sorry, what are we talking about?
  "
938755,"
   Do you have crush on famous people ?
  ","
  Nah, not anymore. I had smth for Zendaya for a little bit...Idk if it was a crush tho
  "
938756,"
   What is your go to thing for something sweet?
  ","
  I don't really have a goto
  "
938757,"
   Whats your favorite vegtable🥦🥒🥔?
  ","
  Idk....maybe carrots?
  "
938758,"
   What state are you in ?
  ","
  Right now, I'm in the Pacific NW of US
  "
938759,"
   What happens if I fight ayane
  ","
  Ayane?
  "
938760,"
   Oh which is sad I know what it means... and I think I know what the other one is too don’t I?
  ","
  Nah, chips ain't anything bad 😂
  "
938761,"
   Post a picture of you  in the beginning of 2020 and at the end
  ","
  I can only do one picture at a time
  "
938762,"
   Hi
  ","
  hello
  "
938763,"
   😘
  ","
  ❤
  "
938764,"
   Call of duty
  ","
  What about it?
  "
938765,"
   It’s about time
  ","
  I think so
  "
938766,"
   If you were to get married what colors would your wedding be..?i’m talking for as the decorations!
  ","
  I'm not all about big weddings
  "
938767,"
   Which is?!  Haha
  ","
  Well, one of them is Chips
  "
938768,"
   That sounds awesome
  ","
  Oh yeah
  "
938769,"
   Who’s better looking Selena Gomez or Ariana Grande ?
  ","
  Honestly, I'll pass on both
  "
938770,"
   Okay?
  ","
  Hmm?
  "
938771,"
   tall girl
to all the boys
the perfect date
a lot.....
  ","
  Ooh I've never seen those!
  "
938772,"
   Favorite outfit?
  ","
  Don't have one
  "
938773,"
   Do you have a nickname?
  ","
  I do
  "
938774,"
   Fav Tv show/streaming show 🖤
  ","
  How I Met Your Mother, Iron Fist, Teen Wolf, Survivor's Remorse
  "
938775,"
   Would you rather live in the Enchanted Forest or Oz?
  ","
  I don't think either
  "
938776,"
   What's the best thing that you can remember that has happen in your life that you admire with all your heart?
  ","
  THere is nothing
  "
938777,"
   Anyone here ever wants a sugar mommy?!
  ","
  no
  "
938778,"
   If you could meet anyone, living or dead, who would you meet
  ","
  Zendaya
  "
938779,"
   What is your favorite grocery store to go to? (Walmart, Target, etc.)
  ","
  I don't like grocery shopping, but if I had to and it was nearer to my house, Target I guess bc there's more than just food there. So maybe Fred Meyer too, idk cus I haven't gone there in forever
  "
938780,"
   Thick or thin pillow?
  ","
  plumpy
  "
938781,"
   What’s worse than you thought it would be? An example, being an adult 😅
  ","
  College
  "
938782,"
   do you use chapstick? if so, what kind?
  ","
  Yeah, but idk what kind and I can't find it. Swear someone took all my chapstick and hid it 😂🤦🏾‍♂️
  "
938783,"
   What's y'alls favorite horror movie?
  ","
  Oooh I don't do those
  "
938784,"
   Teddy gram cookies. Yay or nay?
  ","
  I don't think I've ever had em
  "
938785,"
   Do you like to meet people from abroad ?
  ","
  sure
  "
938786,"
   If your partner cheated on you and a friend of yours found out, would you want that friend to tell you about it or not?
  ","
  yeah
  "
938787,"
   What is your favorite thing to do over the weekend?
  ","
  sleep, listen to music
  "
938788,"
   Have you ever played Pokémon go?
  ","
  I have not
  "
938789,"
   It actually feels good that i finally got a burden  off me that was aggravating me...I don't think i would go out my way to help anyone else agin unless they go out they way to help me and that real talk
  ","
  honestly 💯
  "
938790,"
   Do You Like Broccoli And Cheese?
  ","
  Together? Not particularly
  "
938791,"
   Hello
  ","
  hey
  "
938792,"
   any kids
  ","
  no
  "
938793,"
   Best person to follow on Facebook?
  ","
  No one
  "
938794,"
   Hi
  ","
  hi
  "
938795,"
   What's your favorite cologne?
  ","
  Don't have one
  "
938796,"
   Do you talk much?
  ","
  No, I'm pretty quiet
  "
938797,"
   Do you like candy 🍧 ?
  ","
  not particularly
  "
938798,"
   Well, time to turn in & ""attempt"" sleep... Adios y buenas noches... Besitos.. Mwah
  ","
  good night
  "
938799,"
   do you relate more to heroes or villains?
  ","
  ugh neither
  "
938800,"
   Is shopping a form of entertainment for you?
  ","
  depends on what it's for
  "
938801,"
   Are you a fan of the Snopie comics?
  ","
  never read them
  "
938802,"
   Do you like long trips?
  ","
  nah
  "
938803,"
   I planted a mango tree seed today 💕
  ","
  awesome
  "
938804,"
   Do you like European soccer
  ","
  nah
  "
