,Question,Answer
64368,"
   Sauerkraut. Yay or nay?
  ","
  Fuck no. Lol
  "
64369,"
   What is the secret of happy relationship?
  ","
  Well besides having mutual feelings, I’d say it’s transparency and trust.
  "
64370,"
   Where are you from?:P
  ","
  I’m from Bakersfield.
  
  What about you.
  "
64371,"
   Where does all your money go?
  ","
  Bills. And food. And whatever subscriptions I have or need for work.
  "
64372,"
   Seattle burns.
  ","
  Nobody to blame except for the ones starting the fires
  "
64373,"
   Do you believe in happy endings?
  ","
  I believe they’re possible, yea.
  "
64374,"
   If you had to choose a different nationality, what would you choose?
  ","
  I wouldn’t.
  
  I don’t want to Imply anything different either.
  
  Plain and simple.
  "
64375,"
   If you could have any wild animal as a pet what would it be?
  ","
  A Fox.
  "
64376,"
   Coletiva: Você acha que se fosse embora do Ask agora alguém sentiria sua falta?
  ","
  Translation:
  
  “Collective:
  
  Do you think that if you left Ask now, someone would miss you?”
  
  Answer:
  
  I can’t see why anyone would, I feel like I leave a lot of questions unanswered. Perhaps theirs might fall under that category.
  
  BUT!!
  
  IF someone did, It’d be nice to know. As well as who. Perhaps they’d give me more incentive to want to stay.
  "
64377,"
   Ada ga sih yang bisa di ajakin konsultasi TA skripsi wkwk tapi bukan jasa :') . Stuck with perTAan
  ","
  Translation:
  
  “Is there anything that can be consulted for TA thesis, but not services :') Stuck with rules”
  
  Response:
  
  Rules are meant to be broken.
  "
64378,"
   a warm blanket or a cup of tea? coffee?
  ","
  I’m going with warm blanket.
  
  But I’ll take the cup of tea so I can quench my thirst.
  "
64379,"
   NBA live
  ","
  Dafuq?.....
  
  I never said ANYTHING about playing or liking of all games, NBA Live... lol
  "
64380,"
   Ok cool that cool to hear to know you like that video game.
  ","
  Which one?
  "
64381,"
   What is your favorite curse 🤬word?
  ","
  Cunt
  "
64382,"
   Favorite brand of mouthwash?
  ","
  I use my own, i call it;
  
  All Natural Teabaggs
  "
64383,"
   Who is the biggest gossiper you know?
  ","
  I’m not going to put her on blast for it; but she bows damn well who she is. lol
  "
64384,"
   How do you think your mentality would be if you knew everything?
  ","
  I’m not sure. I wouldn’t know how to handle it, nor would anyone else be able to. Because if you already know everything, that means even stuff you don’t like, will be happening or have already happened and there’s nothing you can do to stop it because, that’s the whole reason for knowing everything. I don’t what to know everything, I just want to know the truth.
  "
64385,"
   Name a person who has never let you down
  ","
  There isn’t one....
  "
64386,"
   What's your favorite pickup line?
  ","
  Works every time.
  "
64387,"
   I'm sorry you had to eat it. That should be a type of torture for national secrets
  ","
  I mean it wasn’t the WORST thing in the world but you know.
  
  It’s obviously not something I’d try to again. Nor would I ever choose to eat willingly. Ha.
  
  I guess it’s an “acquired taste”
  
  I mean it’s almost as bad as kale chips.
  "
64388,"
   If you somehow meet your ex , how would you treat to that?????
  ","
  What do you mean by how would I treat to that? You mean like how I would react to seeing her, or what I would do/say?
  
  We’ll considering that I haven’t seen my last actual last ex in roughly 4 years, I would say I would be happy. I can say that I’d be as excited as I was a few years ago, as she blocked me from every Single social media there is. Who knows why. And it’ sucked because even though we dated for almost 8 years, she was my best friend. So it’d be nice to at least see her. And to know how she’s doing. Why wouldn’t I want to know how she’s been in life.
  
  I know she’s at least getting married or she’s at least engaged, so I’d wish her the best for the future. Then probably see if she wanted to grab something to eat and catch up on the lost years. So much time had passed It’d be interesting to see how much had changed between us. But I’m sure it’d be fine. And I’ve always enjoyed her company. So it’d be nice to catch up. And of course Id ask to see how Puka(her dog) is doing.
  
  I miss Puka
  "
64389,"
   Which celebrity or band has the worst fan base?
  ","
  Anything K-Pop
  "
64390,"
   What do you think about the new Ariana Grande’s song Positions??? Do you think is a good start for this new era???
  ","
  Haven’t heard. Don’t really care to.
  "
64391,"
   how old are you
  ","
  I’m 31. why do you ask.
  "
64392,"
   hi
  ","
  Hello
  "
64393,"
   👌
  ","
  Word
  "
64394,"
   What’s the worst thing you’ve eaten out of politeness?
  ","
  Cow tongue
  "
64395,"
   What matters to you most - money, good looks or attitude?
  ","
  You can have wealth and still be a piece of shit. You can have great looks and still be an asshole.
  
  I’ve been around people with vast amounts of wealth. Some of them were great and amazing people; some of them were assholes.
  
  Money changes people.
  
  I’ve been around beautiful and great looking people. Some can really nice, and some can be assholes. Looks changes perspective.
  
  Attitude can change all of that from the very beginning.
  
  Attitude is most important.
  "
64396,"
   Is hemophobia really a thing?
  ","
  Why wouldn’t it be a thing. If Blood can gross people out, or make people nauseous, then people can definitely have a fear of it.
  "
