,Question,Answer
1029884,"
   u got some1 who u love?
  ","
  nah sadly
  "
1029885,"
   What is the weirdest thing you've heard somebody say?
  ","
  I agree these ads are the worst
  "
1029886,"
   You got a disorder
  ","
  yes yes I do
  "
1029887,"
   Do you sing in the shower? What kind of songs?
  ","
  sigh man where can I find a mans @?
  "
1029888,"
   someone i follow on instagram posted about u but she doesn’t follow u so i’m so confused
  ","
  what did she say?👀
  "
1029889,"
   Who was the last person you talked to?
  ","
  MIKEEEEE
  "
1029890,"
   My brother bought Chester's AMG.
  ","
  a what now?
  "
1029891,"
   Hey
  ","
  hello hello
  "
1029892,"
   Nooooo slow down there cowgirl bear is a blessing
  ","
  noo Mike Shinoda is a blessing
  "
1029893,"
   How many people do you consider your ""best friends?""
  ","
  forget bear I FREAKIN LOVE MIKE
  "
1029894,"
   Your hard to understand in your video is english your first language?
  ","
  I'm about to punch you
  "
1029895,"
   If your real post a video
  ","
  🤷‍♀️🤦‍♀️
  "
1029896,"
   K no
  ","
  yeah lol
  "
1029897,"
   No problem! My mental health has been rough lately and I've heard a lot of negative comments towards mental health in a short amount of time from online and from family members and I'm stressed enough so I've been easily irritated and ready to fight this week
  ","
  I know how it feels. Don't worry Chester is here with us too in spirit 🙏🏻
  "
1029898,"
   Hey anon? If a family member of yours passes away, are we allowed to tell you to get over it? People grieve in different ways and to the LP fam, Chester was and is family to us. He helped a lot of us get through a lot of shit
  ","
  thank you OMG bless you💕🙏🏻
  "
1029899,"
   Nice fake account you got
  ","
  LMAO I'm
  "
1029900,"
   Guys someone made a creepy account of me. Go report them. Here's there account
   
    @autumn_fait_2
   
","
  oh my
  "
1029901,"
   How often do you make love?
  ","
  24/7 duh
  "
1029902,"
   SINGLE AND AGE?!
  ","
  Yes I'm single lol and 18
  "
1029903,"
   What was the last thing you paid for?
  ","
  I'm swimming in the smoke of bridges I have burned so don't apologize in losing what I don't deserve
  "
1029904,"
   i got 1 question for u
  ","
  what is your question
  "
1029905,"
   Nicole?
  ","
  how can I help you?
  "
1029906,"
   how old are u
  ","
  18
  "
1029907,"
   u got facebook <3 ?
  ","
  not for you
  "
1029908,"
   u got boyfriend?
  ","
  no I don't
  "
1029909,"
   u love massage?
  ","
  I do love massages
  "
1029910,"
   swety <3
  ","
  it's sweetie*
  "
1029911,"
   hotaayyy
  ","
  I think you got the wrong page buddy
  
  I'm not hot
  "
1029912,"
   Nicole=نيكول
  ","
  excuse me?
  "
1029913,"
   How do you cheer up a friend when they're feeling down?
  ","
  somebody best pop up
  "
1029914,"
   You're pretty.
  ","
  thank you!💕
  "
1029915,"
   نيكوووووول
  ","
  what language is this lol
  "
1029916,"
   Uou do know it's been awhile since his death right? Why are you so obsessed
  ","
  are you seriously kidding me? I've been a huge fan of Chester ever since I was a little girl and nothing is gonna change that. He has inspired me and impacted me since day 1. So no don't go there with me. His music has helped me so many times and always will. So you can leave now
  "
1029917,"
   Do you like to spend your free time alone or in company?
  ","
  alright yall imma sleep
  "
1029918,"
   What do you think people think about you?
  ","
  I honestly don't know
  "
1029919,"
   Go Snapchat x
  ","
  yes sir x
  "
1029920,"
   Do you believe in Karma?
  ","
  look how precious she is awh💕
  "
1029921,"
   I think you are quite attractive 😊💋
  ","
  thank ya lover💋
  "
1029922,"
   tbh YOU SUCK AT REPLYING DAMN, but ayee one of my favs, v chill and nice, cute, its lit bc when its like 4 am and im high ur usually always up to talk to n for u to hear my high thoughts😂 miss you fam, text me
  ","
  I do I do aha miss you too nicoooo
  "
1029923,"
   Which was worse? First or last day of highschool?
  ","
  honestly first day tbh. graduating was the best
  "
1029924,"
   How many teeth do you have?
  ","
  sigh I'm bored
  "
1029925,"
   What was the best thing you ever found on the street?
  ","
  I freaking love criminal minds
  "
1029926,"
   It's Labour Day! Are you going to do some work or relax today?
  ","
  lol
  "
1029927,"
   Scale of 1 to 10 how crazy are u?
  ","
  sigh I want some of Neeka's anons to come talk to meh😩😩
  "
1029928,"
   I miss youuuuu 😭
  ","
  oh my goodness hey love!
  "
1029929,"
   Have you ever broken any bones? If so, how many and which ones?
  ","
  someone hmu
  "
1029930,"
   Rev up your engines!!
  ","
  lol what even
  "
1029931,"
   You are the cutie
  ","
  Thank you awhhh
  "
1029932,"
   Cutie :)
  ","
  Where
  "
1029933,"
   you have beautiful ears
  ","
  my ears are wonderful
  "
1029934,"
   Would you pick brains or beauty?
  ","
  Neeka is seriously so gorgeous I can't
  "
1029935,"
   Look in the mirror. What do you see?
  ","
  I see a ugly child
  "
1029936,"
   Rate : bms x
  ","
  THANK YOU CAMM❤️ you da best x
  "
1029937,"
   Do you have posters on your wall?
  ","
  sigh I lost two followers
  "
1029938,"
   How are you today?
  ","
  I'm doing alright
  "
1029939,"
   Hello beautiful 😙😚❤
  ","
  oh hello
  "
1029940,"
   PAP of your favorite person?
  ","
  imma leave
  "
1029941,"
   What celebrity irritates you the most?
  ","
  Yall
  "
1029942,"
   Name your three biggest weaknesses!
  ","
  Kimberly stop it you're gorgeous
  "
1029943,"
   If you were stranded on a tropical island what 2 things would you want with you?
  ","
  I have long arms and legs 😂
  "
1029944,"
   Beyoncé or Nicki Minaj?
  ","
  I'm gonna be the next FBI  director so watch it 😉
  "
1029945,"
   What is the secret of happy relationship?
  ","
  guess I can't get a nose piercing since I'm gonna be in the FBI
  "
1029946,"
   Who is Chester?
  ","
  are you kidding me?
  
  Chester Bennington 😔💔
  "
1029947,"
   What is your reaction when someone ignores you?
  ","
  I get sad
  "
1029948,"
   Pap
  ","
  🌸🌹🌻🌼
  "
1029949,"
   Are you able to play any musical instrument?
  ","
  Jozy is super gorgeous I'm jealous
  "
1029950,"
   Which is your favorite dessert?
  ","
  Gracie hasn't done my @ yet :(
  "
1029951,"
   PAP your talisman!
  ","
  okay I'm tired night yall
  "
1029952,"
   How long does it take to really 'know' someone?
  ","
  it's officially May now
  "
1029953,"
   You got a bf?
  ","
  no I'm single :(
  "
1029954,"
   That is may right now 😜
  ","
  no it's still April here
  "
1029955,"
   Немој да лажеш већ је мај😜
  ","
  what are you saying
  "
1029956,"
   You are pretty 😍
  ","
  Thank you loves💋
  "
1029957,"
   И да сам султан са 100 конкубина цео харем би дао само тебе да имам 😸
  ","
  oh it's almost may
  "
1029958,"
   Who are the people you spend the most time with?
  ","
  I feel dead
  "
1029959,"
   You're stuck between a rock and a hard place, what are you going to do?
  ","
  Sigh again
  "
1029960,"
   Do you agree with the saying that the squeaky wheel gets the grease?
  ","
  Lizzzz I TEXTED YOU
  "
1029961,"
   How often do you change your mobile phone?
  ","
  meow
  "
1029962,"
   What was the last time you were angry? What happened?
  ","
  sigh
  "
1029963,"
   Do you struggle to find your place in the world?
  ","
  I should leave
  "
1029964,"
   Why do u want attention?
  ","
  excuse meh
  "
1029965,"
   What chocolate is your favorite?
  ","
  hey yall
  "
1029966,"
   Which kind of natural disaster scares you the most?
  ","
  can someone give me some attention
  "
1029967,"
   I wish you could be one of them
  ","
  yeah well
  "
1029968,"
   My goal is to have sex with 5000 women
  ","
  good lord
  "
1029969,"
   What was the longest conversation you have had with someone recently? What was it about?
  ","
  I'm I'm
  "
1029970,"
   What is your dream job?
  ","
  also Adrianna is a goddess
  "
1029971,"
   What would you do if you found a celebrity's phone?
  ","
  Gracie is gorgeous x
  "
1029972,"
   What’s the last sport event you watched?
  ","
  I need some milk
  "
1029973,"
   Do you believe in horoscope compatibility?
  ","
  I do actually
  "
1029974,"
   Are you happy with the amount of information in your head?
  ","
  sigh
  "
1029975,"
   What is your all-time favorite song?
  ","
  we can't even put body pictures as are profile picture wtf
  "
1029976,"
   What would you do if you knew you couldn't fail?
  ","
  wtf is with this new profile picture thing
  "
1029977,"
   Do you believe in Karma?
  ","
  I'm so bored
  "
1029978,"
   Murica trump yeah!!
  ","
  I feel like this is my brother 😂
  "
1029979,"
   Do you believe in miracles?
  ","
  not really
  "
1029980,"
   Pap toes
  ","
  someone talk xx
  "
1029981,"
   Do you laugh at other people's failures?
  ","
  I'm a failure
  "
1029982,"
   Yeah I did kinda lied too welp😕
  ","
  lie about what?
  "
1029983,"
   Hey I love you,  just thought I’d let you know.
  ","
  probably sent to everyone
  "
1029984,"
   I just looked at your IG and I didn't see any bikini pics
  ","
  I haven't lol
  "
1029985,"
   what is your favorite drink?
  ","
  pink drink from Starbucks and boba
  "
1029986,"
   Do you plan to go to college?
  ","
  I'm in college lmao
  "
1029987,"
   nikki stop being greek ok
  ","
  how can I stop being Greek? lmao
  "
1029988,"
   Phony
  ","
  that you are 😉
  "
1029989,"
   Thanks😊. I was so proud of it😂
  ","
  what exactly are you talking about?
  "
1029990,"
   Would you prefer to have the power to fly or be invisible?
  ","
  anyways imma sleep
  "
1029991,"
   Continue with a rhyme: ""From my window I can see…""
  ","
  Imagine having someone like you for who you are
  "
1029992,"
   Product placement for.. ""Catus Maximus""
  ","
  I'm now bored
  "
1029993,"
   I just farted😖
  ","
  great
  "
1029994,"
   Do you pay attention to the material your clothes are made of?
  ","
  sigh
  "
1029995,"
   Would you call yourself a “happy person”?
  ","
  I'm literally so done
  "
1029996,"
   HAHAH I love you 💖
  ","
  I love you too💗
  "
1029997,"
   How would  be the perfect bf for you?
  ","
  Adam Levine or Christian Grey
  "
1029998,"
   @
  ","
  NICOOOO
  
  you're awesome
  
  and I love eyes and eyelashes
  
  you're tall
  
  and very kind
  
  pop up
  "
1029999,"
   Hot or not: hot
  ","
  thankssss Alexxxx💕
  "
1030000,"
   @
  ","
  HAMZA
  
  you're so chill
  
  also we both love tennis
  
  you're kind
  
  and we shall talk more :))
  "
1030001,"
   @
  ","
  LIZ you're a beauty queen
  
  UGH I want your hair and face pls
  
  you're sweet
  
  also you live on Cali lets hang outtttt
  
  anyways you're amazing don't forget that
  
  pop up more 😍
  "
1030002,"
   @@
  ","
  Camboooo
  
  you're awesome
  
  very adorable
  
  also we have a strong streak so yay
  
  you're kind
  
  very chill
  
  and I'm coming to the UK to meet you (; and so we can go drinking
  
  also I love your hair flufyyyyyyy
  "
1030003,"
   @
  ","
  Alexxxxx
  
  we should go kayaking together
  
  anyways you're hot okok don't say you're not
  
  I'm always here for you
  
  you're a great guy
  
  and you deserve the best
  
  also we gotta meet soon!
  
  I love your accent too x
  
  ily
  
  pop up more tho
  "
1030004,"
   DO @'S?
  ","
  only if people actually send in their @'s
  "
1030005,"
   Gracie is fake
  ","
  who's that lol
  "
1030006,"
   When it comes to texting are you good at texting people back ?
  ","
  no I barley ever text people back
  "
1030007,"
   What is under your bed?
  ","
  I'm extremely bored
  "
1030008,"
   What is the craziest thing one of your teachers has done?
  ","
  I'm in love with boba
  "
1030009,"
   me i like ur profile pic bc youre beaut
  ","
  awh ily💕you're the beaut
  "
1030010,"
   What personality trait do you admire in other people?
  ","
  does anyone even like my profile picture?
  "
1030011,"
   Should school/study hours be moved to the afternoons as you are more awake then?
  ","
  CRAWLING IN MY SKIN
  "
1030012,"
   Even been to Paris?
  ","
  yes I have!
  "
1030013,"
   Give us your best ALPACA pun
  ","
  Oh god I can't 💔💔😔😔
  "
1030014,"
   Smoothie or milkshake?
  ","
  I PUT MY TRUST IN YOU
  "
1030015,"
   Guuuurl get some weight 😱
  ","
  I'm aware my friend
  "
1030016,"
   tbh ur such a sweetheart and ur lovely
  ","
  awh Jacob I love you ❤️
  "
1030017,"
   Chester’s gone get over it ffs
  ","
  excuse me? Don't you dare go there with me. No he's not gone he will always be here with us in spirit 💕
  "
1030018,"
   Have you ever locked yourself out of the house?
  ","
  I miss Chester 💔
  "
1030019,"
   What did you have for lunch today?
  ","
  can't sleep
  "
1030020,"
   What has been the scariest experience in your life?
  ","
  yup gotta use the bathroom but my dog is sleeping on my legs help
  "
1030021,"
   What is your favorite month of the year?
  ","
  good lord
  "
1030022,"
   no, you meant exception*
  ","
  I forgot how to spell words :(
  "
1030023,"
   wtf is an acceptation
  ","
  I meant acception
  "
1030024,"
   me
  ","
  well yes you're an acceptation
  "
1030025,"
   Which animals scare you most? Why?
  ","
  It's 11:11 make a wish
  "
1030026,"
   What was the last drink you had?
  ","
  coke lol
  "
1030027,"
   Block
   
    @joe_hauser
   
   for engaging in homosexuality
  ","
  lol oh my
  "
1030028,"
   Hey, aint life wonderful?
  ","
  nah it's not
  "
1030029,"
   I dont go to sleep to dream
  ","
  that's wonderful
  "
1030030,"
   What's something that everyone should do every day?
  ","
  Samantha is gorgeous x
  "
1030031,"
   I will buy you a garden where your flowers can bloom. I will buy you a new car, perfect, shiny, and new. I will buy you that big house way up in the west hills. I will buy you a new life
  ","
  yeah buy me a new life pls
  "
1030032,"
   5'7"" is only a little above average
  ","
  yeah I'm pretty tall
  "
1030033,"
   why werent you in the skype call
  ","
  who's Skype call?
  "
1030034,"
   What time is it there its 9:15pm here
  ","
  7:14 pm
  "
1030035,"
   Are you republican or democrat
  ","
  Democrat
  "
1030036,"
   How do successful people differ from unsuccessful ones?
  ","
  Neeka is a goddess okok
  "
1030037,"
   What is in your fridge?
  ","
  awh Alex is kayaking without me tho smh
  "
1030038,"
   OKAY STOP YOURE FUCKING STUNNNING
  ","
  awhhhhhhh thank you💗
  "
1030039,"
   Has anyone ever smelt your feet
  ","
  I feel sick
  "
1030040,"
   see u r bi hun x
  ","
  I'm not x
  "
1030041,"
   What are your top 3 fav places around LA for food?
  ","
  ooh that's hard
  "
1030042,"
   Would you rather have white hair or no hair?
  ","
  do you guys like Trump?
  "
1030043,"
   Bend me, break me any way you need me all I want is you.
  ","
  ooh is that a song
  "
1030044,"
   Are you in relationship?
  ","
  nah I'm single
  "
1030045,"
   What was the best gift you ever received?
  ","
  going to prom next month with my best fran as a guestttttt
  "
1030046,"
   First three songs in your favorite playlist?
  ","
  Why is no one talking to me 😭😭
  "
1030047,"
   If you had an extra hour of free time every day, what would you do with it?
  ","
  someone hmu
  "
1030048,"
   Are you scared of the dark?
  ","
  I mean I took a 4 hour nap earlier and yet I'm still sleepy what else is new
  "
1030049,"
   PAP your favourite Pokemon!
  ","
  goodnight friends
  "
1030050,"
   Noo😂
  ","
  yes mate
  "
1030051,"
   Who is sleeping at 9 am😂
  ","
  my friend its 12:11 am
  "
1030052,"
   I am on fir u
  ","
  lol
  "
1030053,"
   Nothing 😊
  ","
  is anybody on
  "
1030054,"
   why
  ","
  can I help you? ""Austin Mahone""
  "
1030055,"
   Maybe is 😜
  ","
  excuse me?
  "
1030056,"
   И кад си туђа знам да волиш само мене 😆
  ","
  yeah that's not English
  "
1030057,"
   How tall are you?
  ","
  I'm 5'7
  "
1030058,"
   hey
  ","
  good lord I'm bored
  "
1030059,"
   Hey any update on FBE getting back to you ?
  ","
  I haven't checked yet
  "
1030060,"
   awww thankkdd nikkiii love yoouuu
  ","
  I love you too girly💕
  
  pop up more
  "
1030061,"
   When was the last time somebody shouted at you?
  ","
  lol I don't remember
  "
1030062,"
   Oh if helps s lot
  ","
  Are you okay?
  "
1030063,"
   Catus maximus
  ","
  lol what even
  "
1030064,"
   I will get u
  ","
  great
  "
1030065,"
   We all missed you the world has missed you
  ","
  nah doubt that highly
  "
1030066,"
   burn tongue neck help look at my page
  ","
  What? lol
  "
1030067,"
   @@@ aka new account
  ","
  DANNNN
  
  oh no what happened
  
  you're a chill guy
  
  I have you on snapchat
  
  we never talk tho
  
  so pop up whenever
  "
1030068,"
   @
  ","
  NO WAY!
  
  I remember you!
  
  it's been so long
  
  where have you been?
  
  you're gorgeous
  
  pop up
  "
1030069,"
   Why do gypsies sit around begging all day?
  ","
  or how about no one send their @
  "
1030070,"
   @
  ","
  Kimberlyyyy
  
  you're one of my favs
  
  so sweet
  
  I love your page
  
  you're gorgeous don't forget that
  
  I love youuu💕
  
  also lets talk more
  "
1030071,"
   @@@@
  ","
  ANG
  
  I miss ya
  
  you live in Palm Springs which is awesome
  
  I love it up there
  
  you're sweet
  
  and gorgeous
  
  pop up more
  "
1030072,"
   I haven't been in ask in a little while and I honestly missed you.
  ","
  oh anon that's sweet
  "
1030073,"
   @@
  ","
  CAMBOOO
  
  I love your accent
  
  you're a great guy to talk to
  
  you're sweet
  
  always there for me
  
  can't wait to come to the UK
  
  so we can hang out aha
  
  keep doing you
  
  you're awesome
  "
1030074,"
   Do @'s???
  ","
  Send THEMMM IN
  "
1030075,"
   uve def tried it hehe xx
  ","
  nah mate
  "
1030076,"
   u seem bi tho x
  ","
  I'm definitely not
  "
1030077,"
   hey
  ","
  hello people's
  "
1030078,"
   nikki wants a gf
  ","
  nah I'm straight
  "
1030079,"
   Who inspires you?
  ","
  so yall dead?
  "
1030080,"
   If you had to choose a type of color that you thought represented yourself, which would it be?
  ","
  Bright colors
  "
1030081,"
   I'd talk to you
  ","
  please do
  "
1030082,"
   How to find true love?
  ","
  ooh Daquarn is mad
  "
1030083,"
   Where did you meet your best friend?
  ","
  someone talk
  "
1030084,"
   Do you agree with the saying that if you love yourself, others will love you too?
  ","
  I'm extremely happy y'all spammed me back to 298k 😭
  "
1030085,"
   Are you talking about meee? :'))
  ","
  yesssss wifey😍
  "
1030086,"
   What's your height?
  ","
  5'7
  "
1030087,"
   Do you follow fashion trends actively?
  ","
  My wifey is so hot
  "
1030088,"
   Rate your dancing skills from 1 (worst) to 10 (best)
  ","
  Anyways why am I awake
  "
1030089,"
   i like that you have high expectation of people :)
  ","
  I do I do
  "
1030090,"
   they can give you only 50 a day that's likes
  ","
  let's do this people
  "
1030091,"
   you got 292681 likes more  than anyone on ask you must have been on here when ask started?
  ","
  Alright so whoever spams me back to 298k I'll love ya
  "
1030092,"
   Which movies or books have made a big impact on you?
  ","
  what I lost all my likes why 😭
  "
1030093,"
   What's your favorite video game?
  ","
  I'm going to sleep
  "
1030094,"
   What year will you be finishing college? Do you know what you want to do after you finish college?
  ","
  university after
  "
1030095,"
   who is nicer mom or dad
  ","
  both
  "
1030096,"
   Were you from
  ","
  from L.A.
  "
1030097,"
   Do you have a fb
  ","
  nahhh
  "
1030098,"
   I'm here cutie
  ","
  that's great
  "
1030099,"
   How you doing
  ","
  I'm alright I guess you?
  "
1030100,"
   Would you rather have $50,000 free and clear or $150,000 that is illegal?
  ","
  anyone on
  "
1030101,"
   How do you deal with negative thoughts? 👿
  ","
  I just try to get over them
  "
1030102,"
   You like comedy shows?
  ","
  I love the office! And impractical jokers
  "
1030103,"
   What is your favorite place to eat?
  ","
  for gods sake you're 24 and you act like you're 12
  "
1030104,"
   What did you have for breakfast today?
  ","
  here's an idea how about you grow up and move on from high school :))
  "
1030105,"
   What is the most serious problem in the world?
  ","
  Oh but hunny I am pretty x
  "
1030106,"
   Feet pap?
  ","
  anyways someone pop up
  "
1030107,"
   Why you say that?!
  ","
  excuse me?
  "
1030108,"
   ur so cute
  ","
  awh I'm not but thank you favvv💕
  "
1030109,"
   You're beautiful
  ","
  Thank you❤️
  "
1030110,"
   Do you have a boyfriend?!
  ","
  Nope I'm single
  "
1030111,"
   I knew I loved you then
But you'd never know
'Cause I played it cool when I was scared of letting go
I know I needed you
But I never showed
But I wanna stay with you until we're grey and old
Just say you won't let go 
Just say you won't let go
  ","
  oh goody
  "
1030112,"
   I wish you were here ❤
  ","
  I wish I was asleep
  "
1030113,"
   How are you today?
  ","
  eh I'm still alive
  "
1030114,"
   Hello my beautiful amazing one of a kind diamond 😍😚😙❤
  ","
  hello lovely anon❤️
  "
1030115,"
   What is the strongest animal?
  ","
  hello humans pop up
  "
1030116,"
   Is it easier to fall in love in spring?
  ","
  how about don't ever fall in love
  "
1030117,"
   Come on girl
  ","
  excuse me?
  "
1030118,"
   How fast do you fall in love?
  ","
  anyways I'm going back to sleep now
  "
1030119,"
   All fake people talking to each other. It is quite lame.
  ","
  yeah because everyone on here is so fake man
  "
1030120,"
   Is it ethical to eat meat?
  ","
  oh Cam I've been caught too I'm fake x
  "
1030121,"
   Who’s the weirdest famous person of all times?
  ","
  get a grip anon
  "
1030122,"
   Yes, you are all either the same person or just a bunch of fake users.
  ","
  how am I other people? lol man
  "
1030123,"
   You do nothing but talk to other fake people on here.
  ","
  you calling my friends fake? smh
  "
1030124,"
   FAKE ACCOUNT.
  ","
  oh yes it's so fake you caught me
  "
1030125,"
   You haven’t lived until…
  ","
  Is that better Cam? x
  "
1030126,"
   What do you value the most in your life?
  ","
  Still I like it x
  "
1030127,"
   What was the worst age you’ve had so far?
  ","
  my background is better Cam x
  "
1030128,"
   What song is currently your favorite?
  ","
  this will never get old 😂😂
  "
1030129,"
   You are really kindest ever 😊 You are truly amazing and awesome 😮
  ","
  thank you awh
  "
1030130,"
   Why do people do crimes?
  ","
  good question
  "
1030131,"
   Is having adhd bad?
  ","
  nahhh
  "
1030132,"
   What worries you the most?
  ","
  I'm sleepy
  "
1030133,"
   If you saw someone shoplifting, what would you do?
  ","
  Is everyone asleep?
  "
1030134,"
   What one thing do you need to do next?
  ","
  Max is cute ok
  "
1030135,"
   What annoys you the most?
  ","
  MY SONGGGGGG
  "
1030136,"
   OH sorry.
  ","
  eh it's in the past now
  "
1030137,"
   Love my sexy black guy
  ","
  good for you? lol
  "
1030138,"
   Are you afraid of being cheated on?
  ","
  I've been cheated on so yes
  "
1030139,"
   It's me
  ","
  it's who?
  "
1030140,"
   You are literally too gorgeous. #crushing
  ","
  thank you sm❤️
  "
1030141,"
   I bet you are wondering who it is that has so much faith in you to even help you try and fulfill a dream aren't u ?
  ","
  I am tbh actually
  "
1030142,"
   I'm gonna find you a bf
  ","
  PLEASE DO
  "
1030143,"
   Hey have you gotten a response back from FBE ?
  ","
  not yet no
  "
1030144,"
   Don't delete
  ","
  whoops ask deleted it
  "
1030145,"
   What is your favorite hobby?
  ","
  I give up man
  "
1030146,"
   I hope you meet karma
  ","
  already have oops
  "
1030147,"
   Awesome I hope you everything goes as planned
  ","
  yeah I hope so too
  "
1030148,"
   I LOVE FBE
  ","
  I might just be apart of adults react 👽
  "
1030149,"
   You could always tweet them and ask for a way to contact them if u can't find an email
  ","
  yeah I just emailed them!
  "
1030150,"
   I believe in you and I think you would really popular on there your really pretty seems super sweet & down
  ","
  thank you awh & I should find their email because I've always wanted to do it
  "
1030151,"
   I think you have what it takes 🙂
  ","
  I should email them
  "
1030152,"
   You should contact the fine bros and try and become a reactor on teens react
  ","
  OMFG I've always wanted to! but I'd be on adults react
  "
1030153,"
   Quit being so gorgeous
  ","
  you're so sweet
  "
1030154,"
   doing not too bad
  ","
  do your essay Erick smh
  "
1030155,"
   hi, how are you?
  ","
  YOOO Erick I'm alright you?
  "
1030156,"
   Me?
  ","
  who lives close to me 😭😭
  "
1030157,"
   Such a stunner
  ","
  I want a mans 😩
  "
1030158,"
   Show us your favorite emoji!
  ","
  YO
  "
1030159,"
   How are you today?
  ","
  I'm so hot dear god
  "
