,Question,Answer
724140,"
   What’s your favourite flavour smoothie?
  ","
  peach or pomegranate
  "
724141,"
   How do I stop caring and become a ""bad"" employee without losing my job?
  ","
  stop being a loser
  "
724142,"
   Im dressing up as a character with a skirt but I don't want to wear a skirt what do I do?
  ","
  send me questions y’all
  "
724143,"
   what you been upto today
  ","
  nothing rly . just took a nap . about to run to the store soon
  "
724144,"
   thats cool
  ","
  yep
  "
724145,"
   hello how are you?
  ","
  i’m good
  "
724146,"
   stfu you don’t even have ur daughter
  ","
  and? the ? was? suppose? to be? an? insult?
  "
724147,"
   Hello
  ","
  i’ll leave this here
  "
724148,"
   Show us your favorite emoji!
  ","
  some of you anons on here are 🤡
  "
724149,"
   How old are you?
  ","
  26.
  "
724150,"
   Weekend plans?
  ","
  i’m not sure tbh ; i know i have to work .
  
  and i’m excited my husband has a better job opportunity
  "
724151,"
   Anyone know if the vaccines are ok if you have CKD? I was told to wait so they can test it more but want it asap
  ","
  idk & i’m not taking the vaccine . probably have to do more research or ask a doctor
  "
724152,"
   According to studies, new generation children are having difficulties recognizing human emotions and body signals. Have gadgets and apps taken away emotions?
  ","
  probably tbh
  "
724153,"
   Space
  ","
  so my mother-in-law tired to come to my house again even tho she’s banned for a while. calling me a bxtch all of this.
  "
724154,"
   Favorite color?
  ","
  lime green
  "
724155,"
   hahaha how does one get tired of being around a person they supposedly are In love with though...... haha
  ","
  because you can get tired of anyone.
  
  why would you want to be up your partners ass 24/7???
  
  you do need space .
  "
724156,"
   Probably did?
  ","
  i got cheated on over 10 years ago .
  
  which was before my husband
  "
724157,"
   Sucks like hell, doesn’t it?
  ","
  probably did
  "
724158,"
   but why is it a problem? idk rather have someone whom I can tell is only about me
  ","
  because that can ruin a relationship wanting to cling and be around someone 24/7.
  
  but i hate clingy anyways . it irks me
  "
724159,"
   Do you have n!pple piercings?
  ","
  i had my right one pierced , took it out after i gave birth to my daughter cuz i was pumping .
  
  i’m glad tho i hated it .
  "
724160,"
   Have you ever been cheated on?
  ","
  yep
  "
724161,"
   Would you ever go to the Dominican replubic?
  ","
  probably
  "
724162,"
   Hello from my prostate
  ","
  hello from my blocklist
  "
724163,"
   Have you ever watched Downton Abbey?
  ","
  never heard of it
  "
724164,"
   What do most you females see as clingy? Why is it clingy and not a man tryna be about you?
  ","
  i think males or more clingy .
  "
724165,"
   Can you follow me 🥰🥰
  ","
  anon
  "
724166,"
   How old are you
  ","
  26.
  "
724167,"
   Do you wash your dishes by hand or do you use the dishwasher more?
  ","
  i like to use the dish washer more
  "
724168,"
   What makes you feel dumb?
  ","
  took the best 6hr nap ever 😩
  "
724169,"
   i dont have a coins😡
  ","
  that sucks for you
  "
724170,"
   opinion on starbucks peppermint mochas?
  ","
  they’re good
  "
724171,"
   Are you wearing a tracking device? Actually you are cause your cell phone has the GPS on it. #bigbrotheriswatching
  ","
  fxcking weird lol
  "
724172,"
   Would you rather go downtown or go to the mall . ?
  ","
  downtown
  "
724173,"
   Do you like Starbucks?
  ","
  yea
  "
724174,"
   spearmint or peppermint
  ","
  peppermint?
  "
724175,"
   Do you have high hopes for 2021?
  ","
  NOOOO. it’s already turning into a fxcking shxt show . the Capitol Breach
  "
724176,"
   Are you dramatic?
  ","
  hahah yes
  "
724177,"
   what’s the farthest you’ve ever moved?
  ","
  out of America for sure . after all this shxt show that just went down . i’m sick of it all
  "
724178,"
   trump supporters are stupid and violent
  ","
  i agree! it didn’t prove anything and it’s even more blows my mind how they were able to just storm in with no problems . NO NOTHING
  "
724179,"
   Is love complicated? Why?
  ","
  i mean it can be .
  "
724180,"
   8in to big?
  ","
  small
  "
724181,"
   True. Black or white is a great song. Now it's all just degenerate mumble sounds.
  ","
  yeah it is
  "
724182,"
   What's your favorite alcoholic beverage?
  ","
  i’m trynna figure out if Kanye & Jeffree was a thing before
  "
724183,"
   Do you like Micheal Jackson?
  ","
  he had great music
  "
724184,"
   Gooood morning to all. Morning space for you. How are you feeling?
  ","
  the chaos at Capital Hill is just fxcking NUTS!
  "
724185,"
   hello
  ","
  hi-
  "
724186,"
   Do you have any tattoo’s?
  ","
  yep. & i’m getting a new one soon
  "
724187,"
   Would you rather be born again in a totally different life or born again with all the knowledge you have now? 😏
  ","
  STOP SENDING ME
  "
724188,"
   Do you have a best friend? How long have you been friends and how did you meet?
  ","
  my best friend is my husband
  "
724189,"
   Do you miss anyone?
  ","
  nope not at all
  "
724190,"
   why the comma mate?
  ","
  accident
  "
724191,"
   You ever just get that feeling where you just know you’re not going too be able to sleep tonight? Because yeh, same😑
  ","
  that’s me all day
  "
724192,"
   Yeah it's for children, soy boys and numales.
  ","
  k,
  "
724193,"
   I love Keanu Reeves and Nintendo switch. Over 50k karma. I own over 35 funko pops. Alas I don't own baby yoda and don't play animal crossing and Minecraft so only barely wholesome and mildly chungus.
  ","
  Nintendo Switch is trash
  "
724194,"
   WHAT IS YOUR WORST GETTING TROLLED STORY?
  ","
  i have trolls everyday that come to my page
  "
724195,"
   u cappin bro?
  ","
  wtf?????
  "
724196,"
   Whoa take it easy, I didn’t give her 11 so don’t worry about it...I know all about your minimum, so this doesn’t even pertain to you!
  ","
  don’t give fxck .
  
  now you’re blocked
  "
724197,"
   Does it count if my girl fucked me on New Year’s Day?
  ","
  idc i don’t give a fxck
  "
724198,"
   Did your hubby fck you on new years eve or new years day?
  ","
  idk
  "
724199,"
   Are boob guys more democrat or republican?
  ","
  don’t. care
  "
724200,"
   How often do you post on your instagram story?
  ","
  i haven’t posted since Dec 25,2019 but i post on my ig story
  "
724201,"
   do u love me?
  ","
  ew 🤮
  "
724202,"
   Have you ever been to Atlanta, GA?
  ","
  no
  "
724203,"
   what
  ","
  either ask me QUESTIONS OR get off my page
  "
724204,"
   What does wifi stand for?
  ","
  all this chaos is to much
  "
724205,"
   Joe and the h0e need to go
  ","
  wtf
  "
724206,"
   Why
  ","
  either as a question or be gone
  "
724207,"
   Hi
  ","
  bye
  "
724208,"
   Girl all of those places sound nice wtf 😭 I’d love that
  ","
  omg yay i’m so happy. i’d definitely love to do that with you 🥺🤩❤️
  "
724209,"
   I’m glad it made you happy too haha 🥰🥰💖💖💖 I’m literally smiling at that, I really really hope we can do that someday!! That would be amazing 🥺🥺🥺😘😘😘  girls night 🤩
  ","
  like a trip to cali , vegas or Miami 🤩
  "
724210,"
   Do you like your local police force or not? Why?
  ","
  they’re alright . in my town i haven’t seen or read any cops kxlling just BECAUSE
  "
724211,"
   Do you wear your wedding band or just your engagement ring?
  ","
  i wear both in the winter and my engagement ring in the summer .
  
  in the summer your fingers swell and get bigger and my wedding band is tight . in the winter your hands shrink and they both fit in me lol
  "
724212,"
   This literally made my whole day no joke 😭🥰🥰🥰💖💖 I’d love to meet you too! Hopefully one day 🥺
  ","
  omg i’m so glad i can make your day. that actually makes me so happy 🥺🥰❤️. i’m hoping one day i can fly out to you or you can come to ny or girls trip somewhere 😊🤪🥰
  "
724213,"
   I love you more cutie! 🥺🥺💖💖🥰🥰🥰
  ","
  you’re my fav . i rly want to meet you one day ❤️🥺
  "
724214,"
   🐥🐥🐥
  ","
  day drunking & drunk already
  "
724215,"
   What percentage is your phone battery at?
  ","
  84%
  "
724216,"
   Hi everyone:) I just joined 🦋♥️
  ","
  hello
  "
724217,"
   If you are in a BAD MOOD 😤😡, do you prefer to be left alone or have someone to cheer you up?
  ","
  left tf alone or i just go off on everyone
  "
724218,"
   Hello do you like instagram?
  ","
  stop sending out this shout out .
  
  it’s rly fxcking annoying
  "
724219,"
   Would you ratherhave everyone you know be able to read your thoughts or for everyone you know to have access to your Internet history? 🙂
  ","
  i tell you guys everyday i’m not playing would you rather on this site
  "
724220,"
   What do you JUDGE people for most often? Appearance, attitude, manners, clothes or speach?
  ","
  we judge everybody for EVERYTHING
  "
724221,"
   yes life is too short to be sad
  ","
  i hate that saying life’s to short like who cares
  "
724222,"
   vote the picture with a cup of coffee
   
    https://ask.fm/legendask/photopolls/188989624
   
","
  nah
  "
724223,"
   Which state is the best state in America?
  ","
  can i have some of someone’s coins 🥺
  "
724224,"
   Are you going to take the covid vaccine?
  ","
  no. i’m definitely not
  "
724225,"
   who don’t you like on here
  ","
  haha i think maybe like 5 total
  "
724226,"
   What’s ur ig?
  ","
  xgabs.xo
  "
724227,"
   Why do guys match you on dating apps just to send insults in your DMs?
  ","
  mhm can’t answer that
  "
724228,"
   ur beautiful ☺️
  ","
  thank you
  "
724229,"
   What things do you value in people? What traits do you like and dislike?
  ","
  i’m gonna day drink at 11am 😌
  "
724230,"
   .
  ","
  ilysfm
  
   @OGalpacasarenice3
  
  🥺❤️
  "
724231,"
   What makes you angry instantly?
  ","
  the thought of my mother-in-law
  "
724232,"
   Last time u were pregnant
  ","
  i had 2 miscarriages.
  "
724233,"
   what are you doing
  ","
  just laying here. going through social media
  "
724234,"
   Ok people (hot wings) 🍗🥵are you a drum for flat kind of person?
  ","
  flats
  "
724235,"
   Which chicken sandwich you like better. Popeyes or chick fil a
  ","
  chick fil a but i rarely get it because there’s only 3 where i live & the closest one to me is always packed & i don’t want to wait 30+ minutes
  "
724236,"
   What did you dream about last night?
  ","
  being pregnant
  "
724237,"
   Syd says u bought the vip+
  ","
  i rly truly whole heartedly DONT care
  "
724238,"
   stop calling
   
    @CrxstalCastles
   
   baby
  ","
  no, i do what i want
  "
724239,"
   I have a confession
  ","
  don’t care
  "
724240,"
   She was probably throwing shade at you
  ","
  shady you say
  "
724241,"
   Who was she talking about then?
  ","
  am i her???
  
  no so how tf would i know
  "
724242,"

    https://ask.fm/syd133kid/answers/164774091459
   
   syd said people on here pay for
   
    https://ask.fm/syd133kid/answers/164774091459
   
","
  and okay? didn’t even know she posted that . somebody sent this in my inbox an hr ago. and i just SS how i don’t pay for it....
  
  so how irrelevant
  "
724243,"
   you paid for your vip+?
  ","
  lol why tf would i pay if you can apply for it and do the task???? frfr y’all are real life fxcking stupid
  "
724244,"
   do you have a love regret that made you wish you could turn back time? 💔
  ","
  nope not even close
  "
724245,"
   do you live on your own?
  ","
  yup!
  "
724246,"
   What’s the difference between love at first sight and lust?
  ","
  lust - you just love it like the idea of the person or relationship
  "
724247,"
   Have you ever cheated in a relationship ? If so what was your reason to why
  ","
  yeah a very long time ago
  "
724248,"
   Are you happy right now?
  ","
  yup
  "
724249,"
   Omg ur so pretty
  ","
  thanks
  "
724250,"
   are you pretending to be a dj when you're at the cooker and there are many knobs
  ","
  stfu
  "
724251,"
   Hi 💫 I just joined 🙈 how is everyone :)
  ","
  good
  "
724252,"
   Gabby can't compute. Gabby can't compute. Enter the NPC mode. Say preprogrammed phrases. idc. idk. dumbass. bye.
  ","
  blocked
  "
724253,"
   no, that's like saying it's cool that you have eyes
  ","
  idc
  "
724254,"
   every girl has two boobs
  ","
  that’s cool
  "
724255,"
   what do you like about it?
  ","
  everything
  "
724256,"
   Stop posting nudity. There are minors on this site!
  ","
  either they can unfollow or get off this site
  "
724257,"
   Are you a kind of person that everybody wants as a friend ?
  ","
  so what happens if the bank i have in file for the IRS is closed. do i still get my 2nd stimulus???? or???? what happens???
  "
724258,"
   are you from sex and city?
  ","
  dumbass question
  "
724259,"
   sorry for what
  ","
  wtf bye
  "
724260,"
   how long was ur longest relationship
  ","
  my current one ; 9 years together
  
  almost a year married 🥺❤️
  "
724261,"
   ?♈️♉️♊️♋️♌️♍️♎️♏️♐️♑️♒️♓️?
  ","
  ?
  "
724262,"
   I miss ma baby 🤗😘
  ","
  fxck off
  "
724263,"
   What was a toy that was popular when you were younger that you always found creepy?
  ","
  Raggedy Ann
  "
724264,"
   What’s the STRANGEST DATE you’ve ever been on?
  ","
  mhm
  "
724265,"
   If you need to laugh what do you watch, read, listen to etc.?
  ","
  i watch Big Mouth
  "
724266,"
   What’s the weather like where you are?
  ","
  😊
  "
724267,"
   MUST WE HAVE EVIDENCE TO KNOW THE TRUTH?
  ","
  obviously
  "
724268,"
   Would you ratherhave another 10 years with your partner or a one-night stand with your celebrity crush? 🤪
  ","
  i’m not playing this game
  "
724269,"
   wow beby
  ","
  stop fxcking calling me that
  
  blocked & reported
  "
724270,"
   What do you think of rapist?
  ","
  they should d!e
  "
724271,"
   One long crack across the bottom you say?
  ","
  smh
  "
724272,"
   How many cracks does your phone screen have?
  ","
  one long one across the bottom of the screen.
  
  like where my keyboard is lmao
  "
724273,"
   I don't like your Snapchat
  ","
  so unfollow 🥰
  "
724274,"
   Good morning
  ","
  good morning
  "
724275,"
   Why?
  ","
  because i don’t want some stranger i don’t know calling me baby .
  
  my husband can do that
  "
724276,"
   Good morning baby!! 😘😘😘
  ","
  STOP CALLING ME BABY .
  
  that’s why i have a husband
  "
724277,"
   i didnt ask that was someone else lol stay blessed
  ","
  well then ur comment wasn’t needed
  "
724278,"
   Thats not how you lose weight
  ","
  well then don’t ask strangers .
  
  go seek professional help
  "
724279,"
   fastest way to lose weight? please, really need it!!😭
  ","
  stop eating
  "
724280,"
   Laughing at yourself is healthy
  ","
  i know i’m not popular and don’t care to be on this shxtty site.
  
  never claimed to be
  "
724281,"
   Do you play games?
  ","
  lmao when ppl think they’re popular on this site ; but in reality NOT .
  "
724282,"
   Would you date a professional bull rider
  ","
  im married to my husband
  "
724283,"
   What’s your favorite Christmas movie?
  ","
  only 5 🥱🤣?????
  "
724284,"
   Does what they say about your zodiacal sign generally match your personality?
  ","
  yessss! a scorpio is definitely ME 100%
  "
724285,"
   Have you ever had a fake account and people just stalk?
  ","
  i had plenty of fake accounts made of me . smh
  "
724286,"
   Thick or thin?
  ","
  depends on what you’re talking about
  "
