,Question,Answer
970884,"
   Do you watch cartoons? What is your recent favorite one?
  ","
  I do! I watch Spongebob Squarepants, Adventure Time and We Bare Bears!
  "
970885,"
   Sea 🌊 or mountain ⛰
  ","
  The sea!
  "
970886,"
   It’s a rare thing.. ❤️❤️ but also beautiful
  ","
  I absolutely agree with you lol
  "
970887,"
   Lightning or thunder? ⚡️ 🌩
  ","
  I don’t mind neither I guess lol
  "
970888,"
   Have you ever felt unconditional love? If so explain..
  ","
  I have, yes.
  "
970889,"
   Civil War reenactments: cultural insensitivity or living history lessons?
  ","
  Maybe living history lessons
  "
970890,"
   Have you ever caught the neighbors staring at you while you sunbathed?
  ","
  lol no?🤣
  "
970891,"
   You are Nikki whiplash
  ","
  🤨🤨
  "
970892,"
   What is your favorite and least favorite holiday?
  ","
  Favorite holiday is halloween and my least favorite would probably be actually I don’t think I have a least favorite holiday lol
  "
970893,"
   Who is the nicest person you know?
  ","
  hmmm I know so many kind people!
  "
970894,"
   You taught me to believe in Love At First Ask
  ","
  🤔🤔
  "
970895,"
   Have you ever bought something on the internet?
  ","
  Yes lol
  "
970896,"
   Do you believe in love at first sight... on the internet?
  ","
  not necessarily
  "
970897,"
   What do you do to relieve stress or stop worrying?
  ","
  I don’t know how to, that’s why I’m always stressed out all the time. It’s so bad🙁
  "
970898,"
   Well vaccine is gonna be developed by the end of this year.thats sort of a good news though😂my ziodic is strong I can see 💪
  ","
  Haha we can only hope!😊
  "
970899,"
   Swimming Pool or Beach? ❣️
  ","
  I would say both tbh! 🤪
  "
970900,"
   Whats your next adventure?
  ","
  I don’t know just yet!
  "
970901,"
   What’s your MOST FAVORITE SEASON OF THE YEAR????
  ","
  Summer!
  "
970902,"
   WHEN WE GET THREW THIS SOCIAL DISTANCING CORONATION PANDEMIC.. what’s the first thing your gonna go DO??
  ","
  through * probably travel!
  "
970903,"
   eat soy
  ","
  🤨🤨
  "
970904,"
   Why?
  ","
  It’s pretty obvious why
  "
970905,"
   Well my ziodic sign says 2020 is gonna be good year for me lol...
  ","
  Yikes lol
  "
970906,"
   Do you ever pretend to be in your phone so people will stop bothering you?
  ","
  Sometimes, I do!
  "
970907,"
   What's you  favorite time of day?
  ","
  the afternoon when it’s really hot and also night time 😁
  "
970908,"
   What was the last movie you saw?
  ","
  I’m not sure, I watch so many
  "
970909,"
   Do you believe in zodiac sign?
  ","
  I do
  "
970910,"
   do you get very upset when someone disagrees with you.? and if so then explain why?
  ","
  Not necessarily, no
  "
970911,"
   Are you living a meaningful life? ...
  ","
  No, I’m not
  "
970912,"
   You searched it?
  ","
  gotta love getting ghosted by friends.
  "
970913,"
   Your pretty an I’m cute me and you would go great together because then we’d be pretty cute 🤪
  ","
  no thank you, you’re dismissed
  "
970914,"
   Has 2020 gone according to plan for you?
  ","
  Not at all, no
  "
970915,"
   Wow nice me too. Have a great day! ☀️
  ","
  Thank you! have a great day as well 😊
  "
970916,"
   Are you afraid of dying?
  ","
  I’m not afraid of dying, no
  "
970917,"
   What is your zodiac sign?
  ","
  I’m a Virgo
  "
970918,"
   Hi how old are u
  ","
  I’m 20
  "
970919,"
   Do you believe in astrology?
  ","
  Yes, I do!
  "
970920,"
   Bbq and fireworks
  ","
  Probably lol
  "
970921,"
   76. do you like dark humor?
  ","
  I guess I do
  "
970922,"
   Follow for follow✌😁
  ","
  Sure thing!
  "
970923,"
   Have you ever felt jealousy in a friendship? What it's actually about?
  ","
  Not necessarily, no I haven’t
  "
970924,"
   Would you rather quit your idea or stick to it, if everybody is against it?
  ","
  I’d rather stick to my idea even if everyone was against it
  "
970925,"
   Do you eat brocolli?
  ","
  Yes I do
  "
970926,"
   Do you have a criminal record.If yes what would you done.If no why would you don't do any crime?
  ","
  No I don’t have one lol
  "
970927,"
   What have you learned the hard way?
  ","
  I’ve learned so many things the hard way🥺
  "
970928,"
   NEVER HAVE I EVER: 😈🔥 
Have you ever been on a blind date? 💕
  ","
  I never have, no!
  "
970929,"
   When did you last do something outside of your comfort zone?
  ","
  It’s been awhile actually
  "
970930,"
   What are 3 things that positively impact your life, not including people?
  ","
  Linkin Park, my doggos, traveling
  "
970931,"
   If you could live one day with no one recognising you, what would you do?
  ","
  I would do everything differently and enjoy life aha🤣
  "
970932,"
   What album would you love to have on vinyl?
  ","
  I’m not sure tbh lol
  "
970933,"
   What film, in your opinion, has the best cinematography and/or special effects?
  ","
  That’s tough because there’s so many movies with good special effects ahhh!
  "
970934,"
   Tell us about an average morning for you, on a day you have to work or have plans, and a day you have no plans.
  ","
  Lol well I wake up, and then fall back asleep for awhile lol
  "
970935,"
   What show do you watch after a long day?
  ","
  I watch so many shows lol but yesterday I watched 90 day fiancé: happily ever after?
  "
970936,"
   Has your opinion changed on something recently?
  ","
  Most definitely!
  "
970937,"
   Plans for the 4th of July?
  ","
  I’m not sure!
  "
970938,"
   Whats your favorite fish to eat?  Tilapia, Salmon, Tuna
  ","
  I don’t like fish
  "
970939,"
   Have you ever fallen asleep during a class?
  ","
  I have!
  "
970940,"
   Do you feel like this year is just going to keep getting worse? Idk what it is but every month there's just something else.
  ","
  Yeah, I definitely feel it’s getting worse.
  "
970941,"
   You love him
  ","
  No I hate him
  "
970942,"
   O hated it? Who is o?
  ","
  I hated it* lol
  "
970943,"
   Do you ever go to antique shops? If you go what kind of things do you look for specifically? Do you have any favorites?
  ","
  I don’t usually go to stores like that, nope.
  "
970944,"
   It don’t give you lung cancer and it ain’t addictive 🤷‍♂️ suit yo self but you missing out I promise you
  ","
  I’m definitely not!
  "
970945,"
   Dog ya cat?
  ","
  🤨🤨
  "
970946,"
   Vacation to... where? You rather...

1. Panama City
2. Tokyo, Japan
3. Fairbanks, Alaska
4. New South Wales
5. Costa Rica
6. Netherlands
7. Nova Scotia

Pick 1. What number?
  ","
  Definitely New South Wales, Costa Rica and Netherlands 😁
  "
970947,"
   Pretend land was a lot of fun last night. It was really fun to pretend things. I was super super rich and have a house in Thousand Oaks that was on like 40 acres and I had people that I had a crush on living with me as roommates. lol
  ","
  that’s wonderful anon! Haha enjoy pretend time 😁
  "
970948,"
   Trump is the nicest liberal democrat of all existence and forms!
  ","
  🤣🤣
  "
970949,"
   How did you feel when you woke up this morning?
  ","
  I felt quite sleepy lol
  "
970950,"
   What? You crazy omg you missing out like fr
  ","
  absolutely not
  "
970951,"
   😍😍😍
  ","
  Lol thank you?
  "
970952,"
   What was high school like for you?
  ","
  It was pretty decent although o hated it lol
  "
970953,"
   What is your country
  ","
  United States lol
  "
