,Question,Answer
16092,"
   When is the last time you had coffee?
  ","
  I want to make my own but I didn’t want to add too much sugar so it was bitter so I added sugar and it was too sweet so I mixed it down some more until it was to my liking
  "
16093,"
   Have you ever sent a text message to the wrong person?
  ","
  Plenty of times
  "
16094,"
   If you could be able to grow your own produce, would you do it?
  ","
  Penis
  "
16095,"
   Your in Pearsall arent you?!?
  ","
  New York
  "
16096,"
   If you could live forever, would you want to?
  ","
  I’m too busy thinking about other stuff, so think about other stuff
  "
16097,"
   6 days till my birthday 🥳
  ","
  Happy birthday
  "
16098,"
   Who went out for Black Friday  and killed they’re pockets!?!?!? What is the most expensive thing you got 🤔
  ","
  What kind of questions is that? Lol if they get killed how’re they supposed to respond?
  "
16099,"
   Why do zombies like brain so much?
  ","
  I don’t like zombies as much as you think.
  "
16100,"
   Are you good at drawing?
  ","
  I suck, I need to partner up with someone for that, drawing isn’t my thing.
  "
16101,"
   You can re-read it you know exactly what I mean. Because he’s not gonna be here tomorrow if you can’t. I’m not asking to run away with me I’m asking to see me.
  ","
  Umm
  "
16102,"
   If you could change the world to one language and one color - would you?
  ","
  I believe this is part of the new world order some bul...... having to do with masonry or something I don’t care about it, I’m under the same organization called Hinduism, I don’t believe in it but they serve their purpose.
  "
16103,"
   Do you like to spend your free time alone or in company?
  ","
  Mostly alone, but I do go places in the city only.
  "
16104,"
   Do you fix cars? Yes or nooo.
  ","
  No, but check the diy stuff on car repairs on YouTube
  "
16105,"
   Seeing the man of your dreams in the one that wants to marry you and make you a proper lady by giving you everything you need, is not essential?
  ","
  Huh?
  "
16106,"
   What’s your favorite ice cream flavor?
  ","
  Chocolate and strawberry, if not vanilla and chocolate and if not bananas and strawberry or if not bananas and chocolate or if not bananas and vanilla and if not that I occasionally like nacho cheese Doritos with frosting
  "
