,Question,Answer
262836,"
   Buenas noches huéspedes de mis pensamientos :3 ¿con quien te gustaría tener una conversación próximamente? ¿como enmendamos los errores? un abrazo.
  ","
  ¿con quien te gustaría tener una conversación próximamente? No tengo ánimos de eso.
  
  ¿como enmendamos los errores? Asumiéndolos, no repetirlos, arrepentirse y pedir disculpas.
  "
262837,"
   Be safe on this night
  ","
  Así es.
  "
262838,"
   Hola! Todo bien? Si tu 2019 fuera un libro: Cual seria su titulo? Ok, si quieres visita mi Ask, deja un Mg en mi ultima respuesta y/o activa la ⭐.. Hasta la próxima..
  ","
  -.-
  "
262839,"
   Hola personitas medibles en momentos. sucede que estaba tostando unas hojas de plátano para las hallacas, en eso me preparo un trago ""suave"" con ron, apenas me termine el vaso ya confundía lo cefalo con lo caudal :o ¿que fue lo ultimo que subestimaste? ¿que fue lo ultimo que te sorprendió? un beso.3
  ","
  ¿que fue lo ultimo que subestimaste? Jamás subestimó nada, ni a nadie.
  
  ¿que fue lo ultimo que te sorprendió? Ya nada me sorprende.
  "
262840,"
   Can you personally define ""forever""?
  ","
  Desde el momento en que se expresa una acción, en adelante y que esta jamás dejará de ocurrir.
  "
262841,"
   Zou het een probleem zijn als degene die je leuk vindt heel kort of heel lang is? / Would it be a problem if your crush is very short or very tall? / Sería un problema si la persona que te gusta es muy bajita o muy alta?
  ","
  Amar a alguien te hace restarle importancia a ciertas cosas y sumarle a otras que con el resto de las personas no lo harías.
  "
262842,"
   Se está con la tradición que se acaba el año, porque solo quedan horas, pero también está la el cierre de la década y última la pregunta es, ¿qué te pareció los años 2010-2019? ¿Cómo lo resumes? ¿Qué fue lo mejor y lo peor que te pasó?
  ","
  Tengo pereza de responder esto.
  "
262843,"
   ¿Que harías si una persona intenta destruirte?
  ","
  Solo hay alguien que puede hacerlo y se que no lo hará
  
   @LaliEspositoHOficial
  
  te amo.
  "
262844,"
   Hola! Todo bien? Según tu criterio y gustos: Cual fue la película del año? Cual fue tu favorita? Y ya que estamos: Cual fue la serie del año? Cual fue tu favorita? Ok, si quieres visita mi Ask, deja un Mg en mi ultima respuesta y/o activa la ⭐.. Hasta la próxima..
  ","
  Hace algún tiempo ya que dejé de ver películas o series.
  "
262845,"
   Hola buenos días:

•¿Hay algo que puedes hacer hoy que no podrías haber hecho hace un año? ¿El qué?

Te sigue y te lee:
  ","
  Puede ser un viaje, aún no lo sé.
  "
262846,"
   Are nerds cute?
  ","
  Cada quien tiene sus gustos.
  "
262847,"
   What colour are the socks you're wearing today?
  ","
  Gris plomo.
  "
